"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
AK,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,20,1,1,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,15,0,7,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,4,24,5,47
AL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,5,49,18,17
AL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,8,47,28,6
AL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,74,0,4,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,18,0,39,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,18,0,39,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,44,5,21,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,33,0,47,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_CABG,Rate of readmission for CABG,0,21,0,2,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,82,0,6,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,3,67,2,17,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,40,0,9,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,85,0,3,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,82,0,6,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,2,18,6,38
AR,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,2,45,15,12
AR,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,10,48,15,3
AR,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,53,0,9,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,13,0,27,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,16,0,27,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,33,3,18,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,26,0,38,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_CABG,Rate of readmission for CABG,0,16,0,1,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,67,0,6,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,4,58,0,12,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,33,0,7,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),8,64,4,0,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,3,68,2,3,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2016,06/30/2019,Not Available,Not Available,Not Available,Not Available
AS,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2016,06/30/2019,Not Available,Not Available,Not Available,Not Available
AS,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2016,06/30/2019,Not Available,Not Available,Not Available,Not Available
AS,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,5,33,7,16
AZ,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,8,42,6,21
AZ,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,9,46,11,12
AZ,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,53,0,9,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,21,0,32,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,21,0,32,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,7,44,1,10,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,44,0,16,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_CABG,Rate of readmission for CABG,2,22,0,2,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,57,0,21,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,55,1,21,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,49,1,5,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,72,2,3,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,65,1,12,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,30,110,52,120
CA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,32,182,67,47
CA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,31,156,107,39
CA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,212,2,58,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,5,99,2,128,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,104,1,128,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,14,183,17,87,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,4,188,0,120,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_CABG,Rate of readmission for CABG,1,95,0,30,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,2,265,2,58,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,16,258,7,47,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,197,5,77,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),21,277,27,10,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,19,271,4,39,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,13,19,2,32
CO,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,14,38,2,27
CO,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,29,38,0,15
CO,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,57,0,10,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,31,1,32,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,32,0,32,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,8,44,1,19,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,34,0,32,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_CABG,Rate of readmission for CABG,0,14,0,1,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,53,1,27,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,49,5,27,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,54,1,13,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,74,3,5,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,65,2,15,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,1,19,3,6
CT,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,0,17,12,1
CT,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,2,15,12,1
CT,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,28,0,0,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,20,0,5,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,20,1,5,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,24,2,0,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,23,0,6,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_CABG,Rate of readmission for CABG,0,10,0,0,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,29,0,1,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,27,1,1,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,23,1,2,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),5,24,0,2,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,3,26,0,1,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,0,2,5,1
DC,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,0,1,7,0
DC,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,0,1,7,0
DC,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,7,0,0,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,5,0,2,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,5,0,2,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,5,0,1,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,7,0,1,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_CABG,Rate of readmission for CABG,0,1,1,1,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,8,0,0,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,7,0,0,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,5,0,1,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,6,0,0,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,7,0,0,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,0,5,1,1
DE,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,0,5,2,0
DE,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,0,4,3,0
DE,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,6,0,0,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,5,1,0,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,5,0,0,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,6,0,0,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,6,0,1,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_CABG,Rate of readmission for CABG,0,3,0,0,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,7,0,0,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,5,1,0,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,6,0,0,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,5,1,0,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,7,0,0,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,6,74,62,35
FL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,10,95,75,8
FL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,12,82,89,6
FL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,157,0,17,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,41,1,104,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,40,2,104,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,8,135,11,16,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,2,138,2,35,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_CABG,Rate of readmission for CABG,2,64,0,11,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,8,173,1,7,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,24,154,2,8,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,6,134,4,21,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),44,131,7,3,,07/01/2018,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,9,167,7,6,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,5,42,12,49
GA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,3,68,27,33
GA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,12,75,33,12
