"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","Phone Number","Measure ID","Measure Name","Denominator","Score","Lower Estimate","Higher Estimate","Footnote","Start Date","End Date"
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,Not Available,Not Available,Not Applicable,Not Applicable,"5, 20",07/01/2017,06/30/2019
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,PSI-8,In-Hospital Fall With Hip Fracture Rate,Not Available,Not Available,Not Applicable,Not Applicable,"5, 20",07/01/2017,06/30/2019
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,PSI-9,Perioperative Hemorrhage or Hematoma Rate,Not Available,Not Available,Not Applicable,Not Applicable,"5, 20",07/01/2017,06/30/2019
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,PSI-90,Serious complications,Not Applicable,Not Available,Not Available,Not Available,"5, 20",07/01/2017,06/30/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,1238,0,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-11,Postoperative Respiratory Failure Rate,1067,1.471,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,2191,3.879,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-13,Postoperative Sepsis Rate,1159,0.585,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-14,Postoperative Wound Dehiscence Rate,757,0.992,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,1851,0,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-3,Pressure Ulcer Rate,5767,1.169,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-4,Death among surgical inpatients with serious treatable complications Rate,53,119.36,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-6,"Iatrogenic pneumothorax, adult Rate",10323,0.318,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,5855,0.151,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-8,In-Hospital Fall With Hip Fracture Rate,9820,0.128,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-9,Perioperative Hemorrhage or Hematoma Rate,2051,0.846,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-90,Serious complications,Not Applicable,0.88,0.603,1.165,20,07/01/2017,06/30/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,1957,1.602,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-11,Postoperative Respiratory Failure Rate,1630,4.388,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,3226,4.277,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-13,Postoperative Sepsis Rate,1980,1.899,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-14,Postoperative Wound Dehiscence Rate,936,0.821,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,2124,0,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-3,Pressure Ulcer Rate,8330,0.997,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-4,Death among surgical inpatients with serious treatable complications Rate,95,145.39,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-6,"Iatrogenic pneumothorax, adult Rate",12488,0.331,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,8081,0,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-8,In-Hospital Fall With Hip Fracture Rate,11610,0.19,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-9,Perioperative Hemorrhage or Hematoma Rate,3073,1.945,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,PSI-90,Serious complications,Not Applicable,1.05,0.793,1.298,20,07/01/2017,06/30/2019
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,Not Available,Not Available,Not Applicable,Not Applicable,"1, 20",07/01/2017,06/30/2019
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-11,Postoperative Respiratory Failure Rate,Not Available,Not Available,Not Applicable,Not Applicable,"1, 20",07/01/2017,06/30/2019
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,Not Available,Not Available,Not Applicable,Not Applicable,"1, 20",07/01/2017,06/30/2019
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-13,Postoperative Sepsis Rate,Not Available,Not Available,Not Applicable,Not Applicable,"1, 20",07/01/2017,06/30/2019
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-14,Postoperative Wound Dehiscence Rate,Not Available,Not Available,Not Applicable,Not Applicable,"1, 20",07/01/2017,06/30/2019
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,Not Available,Not Available,Not Applicable,Not Applicable,"1, 20",07/01/2017,06/30/2019
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-3,Pressure Ulcer Rate,701,0,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-4,Death among surgical inpatients with serious treatable complications Rate,Not Available,Not Available,Not Applicable,Not Applicable,"1, 20",07/01/2017,06/30/2019
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-6,"Iatrogenic pneumothorax, adult Rate",1371,0,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,958,0,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-8,In-Hospital Fall With Hip Fracture Rate,1266,0,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-9,Perioperative Hemorrhage or Hematoma Rate,Not Available,Not Available,Not Applicable,Not Applicable,"1, 20",07/01/2017,06/30/2019
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,PSI-90,Serious complications,Not Applicable,0.98,0.326,1.638,20,07/01/2017,06/30/2019
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,45,0,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-11,Postoperative Respiratory Failure Rate,41,0,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,112,8.18,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-13,Postoperative Sepsis Rate,37,8.594,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-14,Postoperative Wound Dehiscence Rate,96,0,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,307,0,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-3,Pressure Ulcer Rate,1788,0,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-4,Death among surgical inpatients with serious treatable complications Rate,Not Available,Not Available,Not Applicable,Not Applicable,"1, 20",07/01/2017,06/30/2019
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-6,"Iatrogenic pneumothorax, adult Rate",2650,0,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,1842,0,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-8,In-Hospital Fall With Hip Fracture Rate,2312,0,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-9,Perioperative Hemorrhage or Hematoma Rate,104,0,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,PSI-90,Serious complications,Not Applicable,0.85,0.33,1.374,20,07/01/2017,06/30/2019
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,1082,4.371,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,PSI-11,Postoperative Respiratory Failure Rate,721,3.566,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,2328,2.355,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,PSI-13,Postoperative Sepsis Rate,1030,8.619,Not Applicable,Not Applicable,20,07/01/2017,06/30/2019
