"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date"
AK,PSI_9_POST_HEM,Perioperative Hemorrhage or Hematoma Rate,0,7,0,0,,07/01/2017,06/30/2019
AL,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,1,40,0,9,,04/01/2016,03/31/2019
AL,MORT_30_AMI,Death rate for heart attack patients,1,36,0,46,,07/01/2016,06/30/2019
AL,MORT_30_CABG,Death rate for CABG surgery patients,0,21,0,2,,07/01/2016,06/30/2019
AL,MORT_30_COPD,Death rate for COPD patients,1,78,0,10,,07/01/2016,06/30/2019
AL,MORT_30_HF,Death rate for heart failure patients,3,69,1,16,,07/01/2016,06/30/2019
AL,MORT_30_PN,Death rate for pneumonia patients,13,68,3,5,,07/01/2016,06/30/2019
AL,MORT_30_STK,Death rate for stroke patients,3,47,0,36,,07/01/2016,06/30/2019
AL,PSI_10_POST_KIDNEY,Postoperative Acute Kidney Injury Requiring Dialysis Rate,1,46,0,10,,07/01/2017,06/30/2019
AL,PSI_11_POST_RESP,Postoperative Respiratory Failure Rate,0,46,0,10,,07/01/2017,06/30/2019
AL,PSI_12_POSTOP_PULMEMB_DVT,Serious blood clots after surgery,4,55,0,11,,07/01/2017,06/30/2019
AL,PSI_13_POST_SEPSIS,Blood stream infection after surgery,1,44,0,10,,07/01/2017,06/30/2019
AL,PSI_14_POSTOP_DEHIS,A wound that splits open after surgery on the abdomen or pelvis,0,51,0,14,,07/01/2017,06/30/2019
AL,PSI_15_ACC_LAC,Accidental cuts and tears from medical treatment,0,63,0,7,,07/01/2017,06/30/2019
AL,PSI_3_ULCER,Pressure sores,3,79,0,1,,07/01/2017,06/30/2019
AL,PSI_4_SURG_COMP,Deaths among Patients with Serious Treatable Complications after Surgery,6,23,2,17,,07/01/2017,06/30/2019
AL,PSI_6_IAT_PTX,Collapsed lung due to medical treatment,0,83,0,0,,07/01/2017,06/30/2019
AL,PSI_8_POST_HIP,Broken hip from a fall after surgery,0,83,0,0,,07/01/2017,06/30/2019
AL,PSI_90_SAFETY,Serious complications,2,81,0,Not Available,,07/01/2017,06/30/2019
AL,PSI_9_POST_HEM,Perioperative Hemorrhage or Hematoma Rate,0,58,0,11,,07/01/2017,06/30/2019
AR,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,34,1,6,,04/01/2016,03/31/2019
AR,MORT_30_AMI,Death rate for heart attack patients,0,26,0,43,,07/01/2016,06/30/2019
AR,MORT_30_CABG,Death rate for CABG surgery patients,1,15,0,1,,07/01/2016,06/30/2019
AR,MORT_30_COPD,Death rate for COPD patients,1,65,0,8,,07/01/2016,06/30/2019
AR,MORT_30_HF,Death rate for heart failure patients,6,55,0,13,,07/01/2016,06/30/2019
AR,MORT_30_PN,Death rate for pneumonia patients,9,63,1,2,,07/01/2016,06/30/2019
AR,MORT_30_STK,Death rate for stroke patients,2,31,0,36,,07/01/2016,06/30/2019
AR,PSI_10_POST_KIDNEY,Postoperative Acute Kidney Injury Requiring Dialysis Rate,0,35,0,6,,07/01/2017,06/30/2019
AR,PSI_11_POST_RESP,Postoperative Respiratory Failure Rate,3,29,1,8,,07/01/2017,06/30/2019
AR,PSI_12_POSTOP_PULMEMB_DVT,Serious blood clots after surgery,1,40,1,1,,07/01/2017,06/30/2019
AR,PSI_13_POST_SEPSIS,Blood stream infection after surgery,2,30,0,9,,07/01/2017,06/30/2019
AR,PSI_14_POSTOP_DEHIS,A wound that splits open after surgery on the abdomen or pelvis,0,32,0,10,,07/01/2017,06/30/2019
AR,PSI_15_ACC_LAC,Accidental cuts and tears from medical treatment,1,39,0,4,,07/01/2017,06/30/2019
AR,PSI_3_ULCER,Pressure sores,1,42,3,1,,07/01/2017,06/30/2019
AR,PSI_4_SURG_COMP,Deaths among Patients with Serious Treatable Complications after Surgery,3,17,2,12,,07/01/2017,06/30/2019
AR,PSI_6_IAT_PTX,Collapsed lung due to medical treatment,0,46,0,1,,07/01/2017,06/30/2019
AR,PSI_8_POST_HIP,Broken hip from a fall after surgery,0,46,0,0,,07/01/2017,06/30/2019
AR,PSI_90_SAFETY,Serious complications,2,41,4,Not Available,,07/01/2017,06/30/2019
AR,PSI_9_POST_HEM,Perioperative Hemorrhage or Hematoma Rate,1,41,0,1,,07/01/2017,06/30/2019
AS,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Not Available,Not Available,Not Available,Not Available,5,04/01/2016,03/31/2019
AS,MORT_30_AMI,Death rate for heart attack patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
AS,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
AS,MORT_30_COPD,Death rate for COPD patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
AS,MORT_30_HF,Death rate for heart failure patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
AS,MORT_30_PN,Death rate for pneumonia patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
AS,MORT_30_STK,Death rate for stroke patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
AS,PSI_10_POST_KIDNEY,Postoperative Acute Kidney Injury Requiring Dialysis Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
AS,PSI_11_POST_RESP,Postoperative Respiratory Failure Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
AS,PSI_12_POSTOP_PULMEMB_DVT,Serious blood clots after surgery,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
AS,PSI_13_POST_SEPSIS,Blood stream infection after surgery,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
AS,PSI_14_POSTOP_DEHIS,A wound that splits open after surgery on the abdomen or pelvis,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
AS,PSI_15_ACC_LAC,Accidental cuts and tears from medical treatment,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
AS,PSI_3_ULCER,Pressure sores,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
AS,PSI_4_SURG_COMP,Deaths among Patients with Serious Treatable Complications after Surgery,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
AS,PSI_6_IAT_PTX,Collapsed lung due to medical treatment,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
AS,PSI_8_POST_HIP,Broken hip from a fall after surgery,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
AS,PSI_90_SAFETY,Serious complications,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
AS,PSI_9_POST_HEM,Perioperative Hemorrhage or Hematoma Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
AZ,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,50,1,4,,04/01/2016,03/31/2019
AZ,MORT_30_AMI,Death rate for heart attack patients,0,44,1,20,,07/01/2016,06/30/2019
AZ,MORT_30_CABG,Death rate for CABG surgery patients,0,24,0,2,,07/01/2016,06/30/2019
AZ,MORT_30_COPD,Death rate for COPD patients,1,54,0,23,,07/01/2016,06/30/2019
AZ,MORT_30_HF,Death rate for heart failure patients,1,50,3,23,,07/01/2016,06/30/2019
AZ,MORT_30_PN,Death rate for pneumonia patients,6,53,6,13,,07/01/2016,06/30/2019
AZ,MORT_30_STK,Death rate for stroke patients,2,40,0,20,,07/01/2016,06/30/2019
AZ,PSI_10_POST_KIDNEY,Postoperative Acute Kidney Injury Requiring Dialysis Rate,0,49,0,4,,07/01/2017,06/30/2019
AZ,PSI_11_POST_RESP,Postoperative Respiratory Failure Rate,4,43,2,4,,07/01/2017,06/30/2019
AZ,PSI_12_POSTOP_PULMEMB_DVT,Serious blood clots after surgery,1,54,0,6,,07/01/2017,06/30/2019
AZ,PSI_13_POST_SEPSIS,Blood stream infection after surgery,0,49,0,4,,07/01/2017,06/30/2019
AZ,PSI_14_POSTOP_DEHIS,A wound that splits open after surgery on the abdomen or pelvis,0,53,0,7,,07/01/2017,06/30/2019
AZ,PSI_15_ACC_LAC,Accidental cuts and tears from medical treatment,1,56,0,4,,07/01/2017,06/30/2019
AZ,PSI_3_ULCER,Pressure sores,2,60,1,0,,07/01/2017,06/30/2019
AZ,PSI_4_SURG_COMP,Deaths among Patients with Serious Treatable Complications after Surgery,0,36,2,11,,07/01/2017,06/30/2019
AZ,PSI_6_IAT_PTX,Collapsed lung due to medical treatment,1,62,0,0,,07/01/2017,06/30/2019
AZ,PSI_8_POST_HIP,Broken hip from a fall after surgery,0,63,0,0,,07/01/2017,06/30/2019
AZ,PSI_90_SAFETY,Serious complications,1,61,1,Not Available,,07/01/2017,06/30/2019
AZ,PSI_9_POST_HEM,Perioperative Hemorrhage or Hematoma Rate,2,53,0,6,,07/01/2017,06/30/2019
CA,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,3,192,5,80,,04/01/2016,03/31/2019
CA,MORT_30_AMI,Death rate for heart attack patients,3,195,4,119,,07/01/2016,06/30/2019
CA,MORT_30_CABG,Death rate for CABG surgery patients,0,97,0,29,,07/01/2016,06/30/2019
CA,MORT_30_COPD,Death rate for COPD patients,5,252,10,59,,07/01/2016,06/30/2019
CA,MORT_30_HF,Death rate for heart failure patients,7,226,45,51,,07/01/2016,06/30/2019
CA,MORT_30_PN,Death rate for pneumonia patients,18,238,40,37,,07/01/2016,06/30/2019
CA,MORT_30_STK,Death rate for stroke patients,7,208,5,93,,07/01/2016,06/30/2019
CA,PSI_10_POST_KIDNEY,Postoperative Acute Kidney Injury Requiring Dialysis Rate,0,260,0,24,,07/01/2017,06/30/2019
CA,PSI_11_POST_RESP,Postoperative Respiratory Failure Rate,5,244,3,31,,07/01/2017,06/30/2019
CA,PSI_12_POSTOP_PULMEMB_DVT,Serious blood clots after surgery,11,272,3,4,,07/01/2017,06/30/2019
CA,PSI_13_POST_SEPSIS,Blood stream infection after surgery,5,248,0,28,,07/01/2017,06/30/2019
CA,PSI_14_POSTOP_DEHIS,A wound that splits open after surgery on the abdomen or pelvis,0,268,0,21,,07/01/2017,06/30/2019
CA,PSI_15_ACC_LAC,Accidental cuts and tears from medical treatment,5,279,0,7,,07/01/2017,06/30/2019
CA,PSI_3_ULCER,Pressure sores,21,257,14,5,,07/01/2017,06/30/2019
CA,PSI_4_SURG_COMP,Deaths among Patients with Serious Treatable Complications after Surgery,5,159,2,101,,07/01/2017,06/30/2019
CA,PSI_6_IAT_PTX,Collapsed lung due to medical treatment,1,295,0,1,,07/01/2017,06/30/2019
CA,PSI_8_POST_HIP,Broken hip from a fall after surgery,0,295,0,2,,07/01/2017,06/30/2019
CA,PSI_90_SAFETY,Serious complications,13,276,8,Not Available,,07/01/2017,06/30/2019
CA,PSI_9_POST_HEM,Perioperative Hemorrhage or Hematoma Rate,0,286,0,4,,07/01/2017,06/30/2019
CO,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,55,0,13,,04/01/2016,03/31/2019
CO,MORT_30_AMI,Death rate for heart attack patients,1,34,0,32,,07/01/2016,06/30/2019
CO,MORT_30_CABG,Death rate for CABG surgery patients,0,14,0,1,,07/01/2016,06/30/2019
CO,MORT_30_COPD,Death rate for COPD patients,1,53,0,26,,07/01/2016,06/30/2019
CO,MORT_30_HF,Death rate for heart failure patients,0,53,1,27,,07/01/2016,06/30/2019
CO,MORT_30_PN,Death rate for pneumonia patients,0,65,2,15,,07/01/2016,06/30/2019
CO,MORT_30_STK,Death rate for stroke patients,0,36,0,38,,07/01/2016,06/30/2019
CO,PSI_10_POST_KIDNEY,Postoperative Acute Kidney Injury Requiring Dialysis Rate,1,46,0,0,,07/01/2017,06/30/2019
CO,PSI_11_POST_RESP,Postoperative Respiratory Failure Rate,4,43,0,0,,07/01/2017,06/30/2019
CO,PSI_12_POSTOP_PULMEMB_DVT,Serious blood clots after surgery,2,45,0,0,,07/01/2017,06/30/2019
CO,PSI_13_POST_SEPSIS,Blood stream infection after surgery,0,47,0,0,,07/01/2017,06/30/2019
CO,PSI_14_POSTOP_DEHIS,A wound that splits open after surgery on the abdomen or pelvis,0,43,0,2,,07/01/2017,06/30/2019
CO,PSI_15_ACC_LAC,Accidental cuts and tears from medical treatment,2,42,0,2,,07/01/2017,06/30/2019
CO,PSI_3_ULCER,Pressure sores,2,45,0,2,,07/01/2017,06/30/2019
CO,PSI_4_SURG_COMP,Deaths among Patients with Serious Treatable Complications after Surgery,1,25,0,17,,07/01/2017,06/30/2019
CO,PSI_6_IAT_PTX,Collapsed lung due to medical treatment,0,47,0,3,,07/01/2017,06/30/2019
CO,PSI_8_POST_HIP,Broken hip from a fall after surgery,0,47,0,3,,07/01/2017,06/30/2019
CO,PSI_90_SAFETY,Serious complications,2,48,0,Not Available,,07/01/2017,06/30/2019
CO,PSI_9_POST_HEM,Perioperative Hemorrhage or Hematoma Rate,0,47,0,0,,07/01/2017,06/30/2019
CT,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,1,22,1,2,,04/01/2016,03/31/2019
CT,MORT_30_AMI,Death rate for heart attack patients,0,24,0,5,,07/01/2016,06/30/2019
CT,MORT_30_CABG,Death rate for CABG surgery patients,0,10,0,0,,07/01/2016,06/30/2019
CT,MORT_30_COPD,Death rate for COPD patients,1,28,0,1,,07/01/2016,06/30/2019
CT,MORT_30_HF,Death rate for heart failure patients,0,27,2,1,,07/01/2016,06/30/2019
CT,MORT_30_PN,Death rate for pneumonia patients,2,24,3,1,,07/01/2016,06/30/2019
CT,MORT_30_STK,Death rate for stroke patients,1,24,1,2,,07/01/2016,06/30/2019
CT,PSI_10_POST_KIDNEY,Postoperative Acute Kidney Injury Requiring Dialysis Rate,0,26,0,0,,07/01/2017,06/30/2019
CT,PSI_11_POST_RESP,Postoperative Respiratory Failure Rate,1,24,0,1,,07/01/2017,06/30/2019
CT,PSI_12_POSTOP_PULMEMB_DVT,Serious blood clots after surgery,2,25,0,0,,07/01/2017,06/30/2019
CT,PSI_13_POST_SEPSIS,Blood stream infection after surgery,0,25,0,1,,07/01/2017,06/30/2019
CT,PSI_14_POSTOP_DEHIS,A wound that splits open after surgery on the abdomen or pelvis,0,27,0,0,,07/01/2017,06/30/2019
CT,PSI_15_ACC_LAC,Accidental cuts and tears from medical treatment,0,27,0,0,,07/01/2017,06/30/2019
CT,PSI_3_ULCER,Pressure sores,1,27,1,1,,07/01/2017,06/30/2019
CT,PSI_4_SURG_COMP,Deaths among Patients with Serious Treatable Complications after Surgery,0,20,0,7,,07/01/2017,06/30/2019
CT,PSI_6_IAT_PTX,Collapsed lung due to medical treatment,0,29,0,1,,07/01/2017,06/30/2019
CT,PSI_8_POST_HIP,Broken hip from a fall after surgery,0,29,0,1,,07/01/2017,06/30/2019
CT,PSI_90_SAFETY,Serious complications,0,30,0,Not Available,,07/01/2017,06/30/2019
CT,PSI_9_POST_HEM,Perioperative Hemorrhage or Hematoma Rate,2,24,1,0,,07/01/2017,06/30/2019
DC,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,5,0,1,,04/01/2016,03/31/2019
DC,MORT_30_AMI,Death rate for heart attack patients,0,7,0,1,,07/01/2016,06/30/2019
DC,MORT_30_CABG,Death rate for CABG surgery patients,0,1,1,1,,07/01/2016,06/30/2019
DC,MORT_30_COPD,Death rate for COPD patients,0,8,0,0,,07/01/2016,06/30/2019
DC,MORT_30_HF,Death rate for heart failure patients,0,6,2,0,,07/01/2016,06/30/2019
DC,MORT_30_PN,Death rate for pneumonia patients,1,6,1,0,,07/01/2016,06/30/2019
DC,MORT_30_STK,Death rate for stroke patients,0,7,0,0,,07/01/2016,06/30/2019
DC,PSI_10_POST_KIDNEY,Postoperative Acute Kidney Injury Requiring Dialysis Rate,0,6,0,1,,07/01/2017,06/30/2019
DC,PSI_11_POST_RESP,Postoperative Respiratory Failure Rate,1,5,0,1,,07/01/2017,06/30/2019
DC,PSI_12_POSTOP_PULMEMB_DVT,Serious blood clots after surgery,4,3,0,0,,07/01/2017,06/30/2019
DC,PSI_13_POST_SEPSIS,Blood stream infection after surgery,1,5,0,1,,07/01/2017,06/30/2019
DC,PSI_14_POSTOP_DEHIS,A wound that splits open after surgery on the abdomen or pelvis,0,7,0,0,,07/01/2017,06/30/2019
DC,PSI_15_ACC_LAC,Accidental cuts and tears from medical treatment,2,5,0,0,,07/01/2017,06/30/2019
DC,PSI_3_ULCER,Pressure sores,2,5,0,0,,07/01/2017,06/30/2019
DC,PSI_4_SURG_COMP,Deaths among Patients with Serious Treatable Complications after Surgery,0,7,0,0,,07/01/2017,06/30/2019
DC,PSI_6_IAT_PTX,Collapsed lung due to medical treatment,0,7,0,0,,07/01/2017,06/30/2019
DC,PSI_8_POST_HIP,Broken hip from a fall after surgery,0,7,0,0,,07/01/2017,06/30/2019
DC,PSI_90_SAFETY,Serious complications,2,5,0,Not Available,,07/01/2017,06/30/2019
DC,PSI_9_POST_HEM,Perioperative Hemorrhage or Hematoma Rate,1,6,0,0,,07/01/2017,06/30/2019
DE,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,5,1,0,,04/01/2016,03/31/2019
DE,MORT_30_AMI,Death rate for heart attack patients,0,6,0,1,,07/01/2016,06/30/2019
DE,MORT_30_CABG,Death rate for CABG surgery patients,0,3,0,0,,07/01/2016,06/30/2019
DE,MORT_30_COPD,Death rate for COPD patients,0,7,0,0,,07/01/2016,06/30/2019
DE,MORT_30_HF,Death rate for heart failure patients,0,7,0,0,,07/01/2016,06/30/2019
DE,MORT_30_PN,Death rate for pneumonia patients,0,7,0,0,,07/01/2016,06/30/2019
DE,MORT_30_STK,Death rate for stroke patients,0,6,0,0,,07/01/2016,06/30/2019
DE,PSI_10_POST_KIDNEY,Postoperative Acute Kidney Injury Requiring Dialysis Rate,0,6,0,0,,07/01/2017,06/30/2019
DE,PSI_11_POST_RESP,Postoperative Respiratory Failure Rate,1,5,0,0,,07/01/2017,06/30/2019
DE,PSI_12_POSTOP_PULMEMB_DVT,Serious blood clots after surgery,0,5,1,0,,07/01/2017,06/30/2019
DE,PSI_13_POST_SEPSIS,Blood stream infection after surgery,0,6,0,0,,07/01/2017,06/30/2019
DE,PSI_14_POSTOP_DEHIS,A wound that splits open after surgery on the abdomen or pelvis,0,6,0,0,,07/01/2017,06/30/2019
DE,PSI_15_ACC_LAC,Accidental cuts and tears from medical treatment,0,6,0,0,,07/01/2017,06/30/2019
DE,PSI_3_ULCER,Pressure sores,2,4,0,0,,07/01/2017,06/30/2019
DE,PSI_4_SURG_COMP,Deaths among Patients with Serious Treatable Complications after Surgery,0,5,0,1,,07/01/2017,06/30/2019
DE,PSI_6_IAT_PTX,Collapsed lung due to medical treatment,1,5,0,0,,07/01/2017,06/30/2019
DE,PSI_8_POST_HIP,Broken hip from a fall after surgery,0,6,0,0,,07/01/2017,06/30/2019
DE,PSI_90_SAFETY,Serious complications,2,4,0,Not Available,,07/01/2017,06/30/2019
DE,PSI_9_POST_HEM,Perioperative Hemorrhage or Hematoma Rate,0,6,0,0,,07/01/2017,06/30/2019
FL,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,3,130,11,21,,04/01/2016,03/31/2019
FL,MORT_30_AMI,Death rate for heart attack patients,2,152,1,27,,07/01/2016,06/30/2019
FL,MORT_30_CABG,Death rate for CABG surgery patients,1,67,0,9,,07/01/2016,06/30/2019
FL,MORT_30_COPD,Death rate for COPD patients,9,165,7,8,,07/01/2016,06/30/2019
FL,MORT_30_HF,Death rate for heart failure patients,11,155,14,8,,07/01/2016,06/30/2019
FL,MORT_30_PN,Death rate for pneumonia patients,23,136,24,6,,07/01/2016,06/30/2019
FL,MORT_30_STK,Death rate for stroke patients,7,134,5,30,,07/01/2016,06/30/2019
FL,PSI_10_POST_KIDNEY,Postoperative Acute Kidney Injury Requiring Dialysis Rate,2,148,1,10,,07/01/2017,06/30/2019
FL,PSI_11_POST_RESP,Postoperative Respiratory Failure Rate,9,135,4,13,,07/01/2017,06/30/2019
FL,PSI_12_POSTOP_PULMEMB_DVT,Serious blood clots after surgery,9,149,3,4,,07/01/2017,06/30/2019
FL,PSI_13_POST_SEPSIS,Blood stream infection after surgery,5,142,2,12,,07/01/2017,06/30/2019
FL,PSI_14_POSTOP_DEHIS,A wound that splits open after surgery on the abdomen or pelvis,0,158,0,5,,07/01/2017,06/30/2019
FL,PSI_15_ACC_LAC,Accidental cuts and tears from medical treatment,0,162,0,3,,07/01/2017,06/30/2019
FL,PSI_3_ULCER,Pressure sores,17,142,8,1,,07/01/2017,06/30/2019
FL,PSI_4_SURG_COMP,Deaths among Patients with Serious Treatable Complications after Surgery,0,110,8,41,,07/01/2017,06/30/2019
FL,PSI_6_IAT_PTX,Collapsed lung due to medical treatment,1,166,0,1,,07/01/2017,06/30/2019
FL,PSI_8_POST_HIP,Broken hip from a fall after surgery,0,167,0,1,,07/01/2017,06/30/2019
FL,PSI_90_SAFETY,Serious complications,13,148,7,Not Available,,07/01/2017,06/30/2019
FL,PSI_9_POST_HEM,Perioperative Hemorrhage or Hematoma Rate,2,159,0,4,,07/01/2017,06/30/2019
GA,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,71,1,15,,04/01/2016,03/31/2019
GA,MORT_30_AMI,Death rate for heart attack patients,0,63,0,52,,07/01/2016,06/30/2019
GA,MORT_30_CABG,Death rate for CABG surgery patients,1,17,0,3,,07/01/2016,06/30/2019
GA,MORT_30_COPD,Death rate for COPD patients,4,100,0,28,,07/01/2016,06/30/2019
GA,MORT_30_HF,Death rate for heart failure patients,1,90,5,35,,07/01/2016,06/30/2019
GA,MORT_30_PN,Death rate for pneumonia patients,8,108,2,14,,07/01/2016,06/30/2019
GA,MORT_30_STK,Death rate for stroke patients,2,70,0,48,,07/01/2016,06/30/2019
GA,PSI_10_POST_KIDNEY,Postoperative Acute Kidney Injury Requiring Dialysis Rate,1,72,0,10,,07/01/2017,06/30/2019
GA,PSI_11_POST_RESP,Postoperative Respiratory Failure Rate,6,66,1,10,,07/01/2017,06/30/2019
GA,PSI_12_POSTOP_PULMEMB_DVT,Serious blood clots after surgery,6,79,0,6,,07/01/2017,06/30/2019
GA,PSI_13_POST_SEPSIS,Blood stream infection after surgery,3,70,0,9,,07/01/2017,06/30/2019
GA,PSI_14_POSTOP_DEHIS,A wound that splits open after surgery on the abdomen or pelvis,0,80,0,9,,07/01/2017,06/30/2019
GA,PSI_15_ACC_LAC,Accidental cuts and tears from medical treatment,3,84,0,8,,07/01/2017,06/30/2019
GA,PSI_3_ULCER,Pressure sores,3,95,1,2,,07/01/2017,06/30/2019
GA,PSI_4_SURG_COMP,Deaths among Patients with Serious Treatable Complications after Surgery,0,50,0,29,,07/01/2017,06/30/2019
GA,PSI_6_IAT_PTX,Collapsed lung due to medical treatment,1,98,0,2,,07/01/2017,06/30/2019
GA,PSI_8_POST_HIP,Broken hip from a fall after surgery,0,99,0,1,,07/01/2017,06/30/2019
GA,PSI_90_SAFETY,Serious complications,5,96,0,Not Available,,07/01/2017,06/30/2019
GA,PSI_9_POST_HEM,Perioperative Hemorrhage or Hematoma Rate,2,83,0,6,,07/01/2017,06/30/2019
GU,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Not Available,Not Available,Not Available,Not Available,5,04/01/2016,03/31/2019
GU,MORT_30_AMI,Death rate for heart attack patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
GU,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
GU,MORT_30_COPD,Death rate for COPD patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
GU,MORT_30_HF,Death rate for heart failure patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
GU,MORT_30_PN,Death rate for pneumonia patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
GU,MORT_30_STK,Death rate for stroke patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
GU,PSI_10_POST_KIDNEY,Postoperative Acute Kidney Injury Requiring Dialysis Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
GU,PSI_11_POST_RESP,Postoperative Respiratory Failure Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
GU,PSI_12_POSTOP_PULMEMB_DVT,Serious blood clots after surgery,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
GU,PSI_13_POST_SEPSIS,Blood stream infection after surgery,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
GU,PSI_14_POSTOP_DEHIS,A wound that splits open after surgery on the abdomen or pelvis,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
GU,PSI_15_ACC_LAC,Accidental cuts and tears from medical treatment,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
GU,PSI_3_ULCER,Pressure sores,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
GU,PSI_4_SURG_COMP,Deaths among Patients with Serious Treatable Complications after Surgery,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
GU,PSI_6_IAT_PTX,Collapsed lung due to medical treatment,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
GU,PSI_8_POST_HIP,Broken hip from a fall after surgery,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2019
