"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends.","Patients who reported PROBABLY YES they would recommend the facility to family or friends.","Patients who reported NO, they would not recommend the facility to family or friends.","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Iowa,98,2,0,99,92,7,1,95,86,12,2,94,82,17,1,93,50334,16880,35,01/01/2019,12/31/2019
Kansas,97,3,0,98,91,8,1,95,85,13,2,94,81,17,2,93,35123,8718,27,01/01/2019,12/31/2019
Kentucky,97,3,0,98,92,7,1,95,84,14,2,94,80,18,2,92,23921,5821,25,01/01/2019,12/31/2019
Louisiana,97,3,0,98,92,6,2,95,87,11,2,94,84,14,2,93,49736,11737,24,01/01/2019,12/31/2019
Maine,97,3,0,99,93,6,1,96,84,13,3,93,80,18,2,92,16173,5004,31,01/01/2019,12/31/2019
Maryland,97,3,0,98,92,6,2,95,85,12,3,94,81,17,2,93,14864,4373,29,01/01/2019,12/31/2019
Massachusetts,97,3,0,98,92,6,2,95,85,12,3,94,84,14,2,93,35063,10187,29,01/01/2019,12/31/2019
Michigan,97,3,0,99,92,7,1,95,84,14,2,93,78,20,2,92,37124,10788,29,01/01/2019,12/31/2019
Minnesota,97,3,0,99,91,8,1,95,84,14,2,94,80,18,2,93,36551,12210,34,01/01/2019,12/31/2019
Mississippi,97,3,0,98,92,6,2,95,87,10,3,94,84,14,2,94,24414,5779,24,01/01/2019,12/31/2019
Missouri,97,3,0,98,91,7,2,95,85,12,3,94,79,19,2,92,40420,10728,27,01/01/2019,12/31/2019
Montana,97,3,0,98,91,7,2,95,84,14,2,94,80,19,1,93,16998,5578,33,01/01/2019,12/31/2019
Nebraska,97,3,0,99,91,7,2,95,86,12,2,94,82,17,1,93,12880,4423,36,01/01/2019,12/31/2019
Nevada,96,3,1,97,87,10,3,92,82,15,3,93,82,15,3,92,12927,3331,26,01/01/2019,12/31/2019
New Hampshire,97,3,0,99,93,6,1,96,85,12,3,94,80,18,2,92,25774,7820,30,01/01/2019,12/31/2019
New Jersey,96,4,0,98,90,8,2,94,85,12,3,94,83,15,2,93,28146,6065,22,01/01/2019,12/31/2019
New Mexico,96,3,1,98,91,7,2,95,83,14,3,93,81,17,2,93,14920,3489,24,01/01/2019,12/31/2019
New York,96,4,0,98,91,7,2,94,82,15,3,93,79,19,2,92,103021,26180,26,01/01/2019,12/31/2019
North Carolina,97,3,0,98,93,6,1,96,87,11,2,94,84,14,2,94,132644,35575,27,01/01/2019,12/31/2019
North Dakota,96,4,0,98,90,8,2,94,78,18,4,91,75,23,2,91,6357,1953,31,01/01/2019,12/31/2019
Ohio,97,3,0,99,91,7,2,95,86,12,2,94,82,16,2,93,166550,43302,26,01/01/2019,12/31/2019
Oklahoma,97,3,0,99,92,6,2,95,88,10,2,95,86,12,2,94,53815,13527,25,01/01/2019,12/31/2019
Oregon,98,2,0,99,92,7,1,95,85,13,2,94,83,15,2,93,21841,6520,30,01/01/2019,12/31/2019
Pennsylvania,97,3,0,98,92,6,2,95,86,12,2,94,83,15,2,93,100267,28657,29,01/01/2019,12/31/2019
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,96,3,1,98,90,7,3,94,85,13,2,94,84,14,2,94,11276,2558,23,01/01/2019,12/31/2019
South Carolina,97,3,0,98,91,7,2,94,84,13,3,93,81,17,2,92,21660,5754,27,01/01/2019,12/31/2019
South Dakota,97,3,0,98,91,7,2,94,83,14,3,93,85,14,1,94,16177,3159,20,01/01/2019,12/31/2019
Tennessee,96,3,1,98,91,7,2,95,85,12,3,94,82,16,2,93,76604,20006,26,01/01/2019,12/31/2019
Texas,97,3,0,98,92,6,2,95,88,10,2,95,85,13,2,94,138626,32434,24,01/01/2019,12/31/2019
Utah,97,3,0,98,91,7,2,95,87,11,2,94,85,13,2,94,66744,17071,26,01/01/2019,12/31/2019
Vermont,98,2,0,99,92,6,2,95,85,13,2,94,82,17,1,93,12398,3757,32,01/01/2019,12/31/2019
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,97,3,0,98,93,6,1,96,86,12,2,94,82,16,2,93,36541,9497,26,01/01/2019,12/31/2019
Washington,97,3,0,98,91,8,1,95,83,14,3,93,82,16,2,93,61342,17026,28,01/01/2019,12/31/2019
West Virginia,96,4,0,98,92,7,1,95,82,15,3,93,80,18,2,92,24539,6056,25,01/01/2019,12/31/2019
Wisconsin,98,2,0,99,92,6,2,95,86,12,2,94,82,16,2,93,60614,20607,35,01/01/2019,12/31/2019
Wyoming,98,2,0,99,92,7,1,95,84,14,2,94,80,18,2,92,4902,1158,26,01/01/2019,12/31/2019
