Data.Medicare.gov location affected,Downloadable CSV revised file affected,Data Last Updated,Data Last Updated Details
https://data.medicare.gov/Hospital-Compare/Hospital-ACS-Measures/akfs-5dgr,Hospital ACS Measures,28-Oct-20,Data Refreshed 
https://data.medicare.gov/Hospital-Compare/Hospital-Compare-CASPER-ASPEN-Contacts/su86-ag6b,Hospital Compare- Casper/ASPEN Contacts,28-Oct-20,Data Refreshed
https://data.medicare.gov/Hospital-Compare/Hospital-General-Information/xubh-q36u,Hospital General Information,28-Oct-20,Data Refreshed
https://data.medicare.gov/Hospital-Compare/Hospital-Readmissions-Reduction-Program/9n3s-kdb3,Hospital Readmissions Reduction Program,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Hospital-Value-Based-Purchasing-HVBP-Clinical-Care/pudb-wetr,Hospital Value-Based Purchasing (HVBP)- Clinical Care Outcomes Scores,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Hospital-Value-Based-Purchasing-HVBP-Efficiency-Sc/su9h-3pvj,Hospital Value-Based Purchasing (HVBP)- Efficiency Scores,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Hospital-Value-Based-Purchasing-HVBP-Patient-Exper/avtz-f2ge,Hospital Value-Based Purchasing (HVBP)- Patient Experience of Care Domain Scores (HCAHPS),28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Hospital-Value-Based-Purchasing-HVBP-Safety/dgmq-aat3,Hospital Value-Based Purchasing (HVBP)- Safety,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Hospital-Value-Based-Purchasing-HVBP-Total-Perform/ypbt-wvdk,Hospital Value-Based Purchasing (HVBP)- Total Performance Score,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Inpatient-Psychiatric-Facility-Quality-Measure-Dat/q9vs-r7wp,Inpatient Psychiatric Facility Quality Measure Data – by Facility,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Inpatient-Psychiatric-Facility-Quality-Measure-Dat/dc76-gh7x,Inpatient Psychiatric Facility Quality Measure Data – by State,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Inpatient-Psychiatric-Facility-Quality-Measure-Dat/s5xg-sys6,Inpatient Psychiatric Facility Quality Measure Data – National ,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Measure-Dates/4j6d-yzce,Measure Dates,28-Oct-20,Data Refreshed
https://data.medicare.gov/Hospital-Compare/Medicare-Hospital-Spending-by-Claim/nrth-mfg3,Medicare Hospital Spending by Claim,28-Oct-20,No updates
https://data.medicare.gov/Hospital-Compare/Medicare-Hospital-Spending-Per-Patient-Hospital/rrqw-56er,Medicare Spending Per Beneficiary – Hospital,28-Oct-20,No updates
https://data.medicare.gov/Hospital-Compare/Medicare-hospital-spending-per-patient-Medicare-Sp/5hk7-b79m,Medicare Spending Per Beneficiary – Hospital Additional Decimal Places,28-Oct-20,No updates
https://data.medicare.gov/Hospital-Compare/Medicare-Hospital-Spending-Per-Patient-National/3n5g-6b7f,Medicare Spending Per Beneficiary– National,28-Oct-20,No updates
https://data.medicare.gov/Hospital-Compare/Medicare-Hospital-Spending-Per-Patient-State/rs6n-9qwg,Medicare Spending Per Beneficiary – State,28-Oct-20,No updates
https://data.medicare.gov/Hospital-Compare/Oncology-Care-Measures-PPS-Exempt-Cancer-Hospital/g3fg-3myg,Oncology Care Measures-PPS- Excempt Cancer Hospital,28-Oct-20,No updates
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-CAHPS-Survey-Foo/e6hj-umam,Outpatient and Ambulatory Surgery CAHPS Survey Footnotes,28-Oct-20,No updates  
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-CAHPS-Survey-mea/xzuw-fups,Outpatient and Ambulatory Surgery CAHPS Survey measure label crosswalk,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-Consumer-Assessm/48nr-hqxx,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers – Facility ,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-Consumer-Assessm/tf3h-mrrs,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers - National,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-Consumer-Assessm/x663-bwbj,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers - State,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-Consumer-Assessm/yizn-abxn,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for hospital outpatient departments - Facility,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-Consumer-Assessm/s5pj-hua3,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for hospital outpatient departments - National,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-Consumer-Assessm/6pfg-whmx,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for hospital outpatient departments - State,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Outpatient-Imaging-Efficiency-Hospital/wkfw-kthe,Outpatient Imaging Efficiency - Hospital,28-Oct-20,No updates; Open/Closed List applied 
https://data.medicare.gov/Hospital-Compare/Outpatient-Imaging-Efficiency-National/di9i-zzrc,Outpatient Imaging Efficiency - National,28-Oct-20,No updates; Open/Closed List applied 
https://data.medicare.gov/Hospital-Compare/Outpatient-Imaging-Efficiency-State/if5v-4x48,Outpatient Imaging Efficiency - State,28-Oct-20,No updates; Open/Closed List applied 
https://data.medicare.gov/Hospital-Compare/Patient-survey-HCAHPS-Hospital/dgck-syfz,Patient survey (HCAHPS) - Hospital,28-Oct-20,Data Refreshed
https://data.medicare.gov/Hospital-Compare/Patient-survey-HCAHPS-National/nsaf-d4nh/data,Patient survey (HCAHPS)  - National.csv,28-Oct-20,Data Refreshed
https://data.medicare.gov/Hospital-Compare/Patient-survey-HCAHPS-State/499t-8gqf/data,Patient survey (HCAHPS) - State.csv,28-Oct-20,Data Refreshed
https://data.medicare.gov/Hospital-Compare/Patient-Survey-PCH-HCAHPS-PPS-exempt-Cancer-Hospit/iy27-wz37,Patient Survey (PCH - HCAHPS) PPS-exempt Cancer Hospital - Hospital ,28-Oct-20,Data Refreshed 
https://data.medicare.gov/Hospital-Compare/Patient-Survey-PCH-HCAHPS-PPS-exempt-Cancer-Hospit/9g7e-btyt,Patient Survey (PCH - HCAHPS) PPS-exempt Cancer Hospital - National,28-Oct-20,Data Refreshed 
https://data.medicare.gov/Hospital-Compare/Patient-Survey-PCH-HCAHPS-PPS-exempt-Cancer-Hospit/qatj-nmws,Patient Survey (PCH - HCAHPS) PPS-exempt Cancer Hospital - State,28-Oct-20,Data Refreshed 
https://data.medicare.gov/Hospital-Compare/Safety-and-Health-Care-Associated-Measures-PPS-Exe/k653-4ka8,Safety and Health-Care Associated Measures – PPS-Exempt Cancer Hospital,28-Oct-20,Data Refreshed
https://data.medicare.gov/Hospital-Compare/Payment-and-value-of-care-Hospital/c7us-v4mf,Payment and Value of Care - Hospital,28-Oct-20,No updates
https://data.medicare.gov/Hospital-Compare/Payment-National/ygty-mm5a,Payment - National,28-Oct-20,No updates
https://data.medicare.gov/Hospital-Compare/Payment-State/98ix-2iqy,Payment - State,28-Oct-20,No updates
https://data.medicare.gov/Hospital-Compare/Prospective-Payment-System-PPS-Exempt-Cancer-Hospi/p7bc-fjpi,Prospective Payment System (PPS)-Exempt Cancer Hospital Quality Reporting (PCHQR) ,28-Oct-20,No updates
https://data.medicare.gov/Hospital-Compare/PSI-90-and-Component-Measures-Six-Digit-Precision/muwa-iene,PSI 90 and Component Measures - Six-Digit Precision,28-Oct-20,No updates
https://data.medicare.gov/Hospital-Compare/Outcome-Measures-PPS-Exempt-Cancer-Hospital-Hospit/6qip-a4gp,Outcome Measures – PPS-Exempt Cancer Hospital - Hospital,28-Oct-20,No updates
https://data.medicare.gov/Hospital-Compare/Outcome-Measures-PPS-Exempt-Cancer-Hospital-Nation/guec-4v2s,Outcome Measures – PPS-Exempt Cancer Hospital - National,28-Oct-20,No updates
https://data.medicare.gov/Hospital-Compare/Structural-Measures-Hospital/4hje-vua3,Structural Measures - Hospital,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Table-2-FY2016-Distribution-of-Net-Change-in-Base-/xrgf-x36b,Table 1: FY2018 Net Change in Base Operating DRG Payment Amount,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Table-1-FY2016-Net-Change-in-Base-Operating-DRG-Pa/5gv4-jwyv,Table 2: FY2018 Distribution of Net Change in Base Operating DRG Payment Amount,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Table-3-FY2016-Percent-Change-in-Medicare-Payments/u625-zae7,Table 3: FY2018 Percent Change in Medicare Payments,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Table-4-FY2016-Value-Based-Incentive-Payment-Amoun/vtqa-m4zn,Table 4: FY2018 Value-Based Incentive Payment Amount,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Timely-and-Effective-Care-Hospital/yv7e-xc69,Timely and effective care - Hospital,28-Oct-20,"Data Refreshed; No updates EDV -1, OP-22, OP-29, OP-30, OP-31, OP-33"
https://data.medicare.gov/Hospital-Compare/Timely-and-Effective-Care-National/isrn-hqyy,Timely and Effective Care - National,28-Oct-20,"Data Refreshed; No updates EDV -1, OP-22, OP-29, OP-30, OP-31, OP-33"
https://data.medicare.gov/Hospital-Compare/Timely-and-Effective-Care-State/apyc-v239,Timely and Effective Care - State,28-Oct-20,"Data Refreshed; No updates EDV -1, OP-22, OP-29, OP-30, OP-31, OP-33"
https://data.medicare.gov/Hospital-Compare/Unplanned-Hospital-Visits-Hospital/632h-zaca,Unplanned Hospital Visits - Hospital,28-Oct-20,No updates; Open/Closed List applied 
https://data.medicare.gov/Hospital-Compare/Unplanned-Hospital-Visits-National/cvcs-xecj,Unplanned Hospital Visits - National ,28-Oct-20,No updates; Open/Closed List applied 
https://data.medicare.gov/Hospital-Compare/Unplanned-Hospital-Visits-State/4gkm-5ypv,Unplanned Hospital Visits - State,28-Oct-20,No updates; Open/Closed List applied 
https://data.medicare.gov/Hospital-Compare/Value-of-care-National/gbq5-7hzr,Value of Care- National,28-Oct-20,No updates; Open/Closed List applied 
https://data.medicare.gov/Hospital-Compare/Veterans-Health-Administration-Behavioral-Health-D/6qxe-iqz8,Veterans Health Administration Behavioral Health Data,28-Oct-20,No updates
https://data.medicare.gov/Hospital-Compare/Veterans-Health-Administration-Measure-Dates/4aav-bsmy,Veterans Health Administration Measure Dates,28-Oct-20,No updates
https://data.medicare.gov/Hospital-Compare/Veterans-Health-Administration-Patient-Safety-Indi/esr2-9zyn,Veterans Health Administration Patient Safety Indicators Data,28-Oct-20,No updates
https://data.medicare.gov/Hospital-Compare/Veterans-Health-Administration-Provider-Level-Data/uyx4-5s7f,Veterans Health Administration Provider Level Data,28-Oct-20,No updates
https://data.medicare.gov/Hospital-Compare/Ambulatory-Surgical-Measures-Facility/4jcv-atw7,Ambulatory Surgical Measures-Facility,22-Jul-20,Dataset removed; included in the Unplanned Hospital Visits data sets
https://data.medicare.gov/Hospital-Compare/Ambulatory-Surgical-Measures-National/wue8-3vwe ,Ambulatory Surgical Measures-National,22-Jul-20,Data Refreshed; No updates IMM-3
https://data.medicare.gov/Hospital-Compare/Ambulatory-Surgical-Measures-State/axe7-s95e,Ambulatory Surgical Measures-State,22-Jul-20,No updates
 https://data.medicare.gov/Hospital-Compare/Complications-and-Deaths-Hospital/ynj2-r877,Complications and Deaths- Hospital,22-Jul-20,No updates
https://data.medicare.gov/Hospital-Compare/Complications-and-Deaths-National/qqw3-t4ie,Complications and Deaths - National,22-Jul-20,No updates
https://data.medicare.gov/Hospital-Compare/Complications-and-Deaths-State/bs2r-24vh,Complications and Deaths- State,22-Jul-20,Open/Closed List applied
https://data.medicare.gov/Hospital-Compare/Comprehensive-Care-For-Joint-Replacement-Model-Pro/tqkv-mgxq,Comprehensive Care For Joint Replacement Model - Provider Data,22-Jul-20,Open/Closed List applied
https://data.medicare.gov/Hospital-Compare/Data-Updates/bzsr-4my4,Data Updates,22-Jul-20,Open/Closed List applied
https://data.medicare.gov/Hospital-Compare/Footnote-Crosswalk/y9us-9xdf,Footnote Crosswalk,22-Jul-20,No updates
https://data.medicare.gov/Hospital-Compare/Healthcare-Associated-Infections-Hospital/77hc-ibv8,Healthcare Associated Infections - Hospital,22-Jul-20,Data Updated 
https://data.medicare.gov/Hospital-Compare/Healthcare-Associated-Infections-National/yd3s-jyhd,Healthcare Associated Infections - National,22-Jul-20,No Updates 
https://data.medicare.gov/Hospital-Compare/Healthcare-Associated-Infections-State/k2ze-bqvw,Healthcare Associated Infections - State,22-Jul-20,Data Refreshed; DoD now reporting HAI- 1 and HAI-2
https://data.medicare.gov/Hospital-Compare/Hospital-Acquired-Condition-Reduction-Program/yq43-i98g,Hospital-Acquired Condition Reduction Program,22-Jul-20,Data Refreshed; DoD now reporting HAI- 1 and HAI-2
https://data.medicare.gov/Hospital-Compare/Hospital-ACS-Measures/akfs-5dgr,Hospital ACS Measures,22-Jul-20,Data Refreshed; DoD now reporting HAI- 1 and HAI-2
https://data.medicare.gov/Hospital-Compare/Hospital-Compare-CASPER-ASPEN-Contacts/su86-ag6b,Hospital Compare- Casper/ASPEN Contacts,22-Jul-20,No updates
https://data.medicare.gov/Hospital-Compare/Hospital-General-Information/xubh-q36u,Hospital General Information,22-Jul-20,No updates
https://data.medicare.gov/Hospital-Compare/Hospital-Readmissions-Reduction-Program/9n3s-kdb3,Hospital Readmissions Reduction Program,22-Jul-20,Data Refreshed
https://data.medicare.gov/Hospital-Compare/Hospital-Value-Based-Purchasing-HVBP-Clinical-Care/pudb-wetr,Hospital Value-Based Purchasing (HVBP)- Clinical Care Outcomes Scores,22-Jul-20,Data Updated
https://data.medicare.gov/Hospital-Compare/Hospital-Value-Based-Purchasing-HVBP-Efficiency-Sc/su9h-3pvj,Hospital Value-Based Purchasing (HVBP)- Efficiency Scores,22-Jul-20,No updates 
https://data.medicare.gov/Hospital-Compare/Hospital-Value-Based-Purchasing-HVBP-Patient-Exper/avtz-f2ge,Hospital Value-Based Purchasing (HVBP)- Patient Experience of Care Domain Scores (HCAHPS),22-Jul-20,No updates 
https://data.medicare.gov/Hospital-Compare/Hospital-Value-Based-Purchasing-HVBP-Safety/dgmq-aat3,Hospital Value-Based Purchasing (HVBP)- Safety,22-Jul-20,No updates 
https://data.medicare.gov/Hospital-Compare/Hospital-Value-Based-Purchasing-HVBP-Total-Perform/ypbt-wvdk,Hospital Value-Based Purchasing (HVBP)- Total Performance Score,22-Jul-20,No updates 
https://data.medicare.gov/Hospital-Compare/Inpatient-Psychiatric-Facility-Quality-Measure-Dat/q9vs-r7wp,Inpatient Psychiatric Facility Quality Measure Data – by Facility,22-Jul-20,No updates 
https://data.medicare.gov/Hospital-Compare/Inpatient-Psychiatric-Facility-Quality-Measure-Dat/dc76-gh7x,Inpatient Psychiatric Facility Quality Measure Data – by State,22-Jul-20,No updates 
https://data.medicare.gov/Hospital-Compare/Inpatient-Psychiatric-Facility-Quality-Measure-Dat/s5xg-sys6,Inpatient Psychiatric Facility Quality Measure Data – National ,22-Jul-20,No updates 
https://data.medicare.gov/Hospital-Compare/Measure-Dates/4j6d-yzce,Measure Dates,22-Jul-20,No updates 
https://data.medicare.gov/Hospital-Compare/Medicare-Hospital-Spending-by-Claim/nrth-mfg3,Medicare Hospital Spending by Claim,22-Jul-20,No updates 
https://data.medicare.gov/Hospital-Compare/Medicare-Hospital-Spending-Per-Patient-Hospital/rrqw-56er,Medicare Spending Per Beneficiary – Hospital,22-Jul-20,Data Refreshed
https://data.medicare.gov/Hospital-Compare/Medicare-hospital-spending-per-patient-Medicare-Sp/5hk7-b79m,Medicare Spending Per Beneficiary – Hospital Additional Decimal Places,22-Jul-20,Open/Closed List applied
https://data.medicare.gov/Hospital-Compare/Medicare-Hospital-Spending-Per-Patient-National/3n5g-6b7f,Medicare Spending Per Beneficiary– National,22-Jul-20,Open/Closed List applied
https://data.medicare.gov/Hospital-Compare/Medicare-Hospital-Spending-Per-Patient-State/rs6n-9qwg,Medicare Spending Per Beneficiary – State,22-Jul-20,Open/Closed List applied
https://data.medicare.gov/Hospital-Compare/Oncology-Care-Measures-PPS-Exempt-Cancer-Hospital/g3fg-3myg,Oncology Care Measures-PPS- Excempt Cancer Hospital,22-Jul-20,Open/Closed List applied
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-CAHPS-Survey-Foo/e6hj-umam,Outpatient and Ambulatory Surgery CAHPS Survey Footnotes,22-Jul-20,Open/Closed List applied
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-CAHPS-Survey-mea/xzuw-fups,Outpatient and Ambulatory Surgery CAHPS Survey measure label crosswalk,22-Jul-20,No updates
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-Consumer-Assessm/48nr-hqxx,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers – Facility ,22-Jul-20,Data Refreshed 
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-Consumer-Assessm/tf3h-mrrs,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers - National,22-Jul-20,Data Refreshed 
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-Consumer-Assessm/x663-bwbj,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers - State,22-Jul-20,Data Refreshed 
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-Consumer-Assessm/yizn-abxn,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for hospital outpatient departments - Facility,22-Jul-20,Data Refreshed 
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-Consumer-Assessm/s5pj-hua3,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for hospital outpatient departments - National,22-Jul-20,Data Refreshed 
https://data.medicare.gov/Hospital-Compare/Outpatient-and-Ambulatory-Surgery-Consumer-Assessm/6pfg-whmx,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for hospital outpatient departments - State,22-Jul-20,Data Refreshed 
https://data.medicare.gov/Hospital-Compare/Outpatient-Imaging-Efficiency-Hospital/wkfw-kthe,Outpatient Imaging Efficiency - Hospital,22-Jul-20,Data Refreshed 
https://data.medicare.gov/Hospital-Compare/Outpatient-Imaging-Efficiency-National/di9i-zzrc,Outpatient Imaging Efficiency - National,22-Jul-20,Open/Closed List applied 
https://data.medicare.gov/Hospital-Compare/Outpatient-Imaging-Efficiency-State/if5v-4x48,Outpatient Imaging Efficiency - State,22-Jul-20,Open/Closed List applied 
https://data.medicare.gov/Hospital-Compare/Patient-survey-HCAHPS-Hospital/dgck-syfz,Patient survey (HCAHPS) - Hospital,22-Jul-20,Open/Closed List applied 
https://data.medicare.gov/Hospital-Compare/Patient-survey-HCAHPS-National/nsaf-d4nh/data,Patient survey (HCAHPS)  - National.csv,22-Jul-20,Data Refreshed 
https://data.medicare.gov/Hospital-Compare/Patient-survey-HCAHPS-State/499t-8gqf/data,Patient survey (HCAHPS) - State.csv,22-Jul-20,Data Refreshed 
https://data.medicare.gov/Hospital-Compare/Patient-Survey-PCH-HCAHPS-PPS-exempt-Cancer-Hospit/iy27-wz37,Patient Survey (PCH - HCAHPS) PPS-exempt Cancer Hospital - Hospital ,22-Jul-20,Data Refreshed 
https://data.medicare.gov/Hospital-Compare/Patient-Survey-PCH-HCAHPS-PPS-exempt-Cancer-Hospit/9g7e-btyt,Patient Survey (PCH - HCAHPS) PPS-exempt Cancer Hospital - National,22-Jul-20,Data Refreshed 
https://data.medicare.gov/Hospital-Compare/Patient-Survey-PCH-HCAHPS-PPS-exempt-Cancer-Hospit/qatj-nmws,Patient Survey (PCH - HCAHPS) PPS-exempt Cancer Hospital - State,22-Jul-20,Data Refreshed 
https://data.medicare.gov/Hospital-Compare/Safety-and-Health-Care-Associated-Measures-PPS-Exe/k653-4ka8,Safety and Health-Care Associated Measures – PPS-Exempt Cancer Hospital,22-Jul-20,Data Refreshed 
https://data.medicare.gov/Hospital-Compare/Payment-and-value-of-care-Hospital/c7us-v4mf,Payment and Value of Care - Hospital,22-Jul-20,Data Updated
https://data.medicare.gov/Hospital-Compare/Payment-National/ygty-mm5a,Payment - National,22-Jul-20,Open/Closed List applied
https://data.medicare.gov/Hospital-Compare/Payment-State/98ix-2iqy,Payment - State,22-Jul-20,Open/Closed List applied
https://data.medicare.gov/Hospital-Compare/Prospective-Payment-System-PPS-Exempt-Cancer-Hospi/p7bc-fjpi,Prospective Payment System (PPS)-Exempt Cancer Hospital Quality Reporting (PCHQR) ,22-Jul-20,Open/Closed List applied
https://data.medicare.gov/Hospital-Compare/PSI-90-and-Component-Measures-Six-Digit-Precision/muwa-iene,PSI 90 and Component Measures - Six-Digit Precision,22-Jul-20,Data Refreshed; No updates to PCH-25
https://data.medicare.gov/Hospital-Compare/Outcome-Measures-PPS-Exempt-Cancer-Hospital-Hospit/6qip-a4gp,Outcome Measures – PPS-Exempt Cancer Hospital - Hospital,22-Jul-20,Open/Closed List applied 
https://data.medicare.gov/Hospital-Compare/Outcome-Measures-PPS-Exempt-Cancer-Hospital-Nation/guec-4v2s,Outcome Measures – PPS-Exempt Cancer Hospital - National,22-Jul-20,Data Updated 
https://data.medicare.gov/Hospital-Compare/Structural-Measures-Hospital/4hje-vua3,Structural Measures - Hospital,22-Jul-20,Data Updated 
https://data.medicare.gov/Hospital-Compare/Table-2-FY2016-Distribution-of-Net-Change-in-Base-/xrgf-x36b,Table 1: FY2018 Net Change in Base Operating DRG Payment Amount,22-Jul-20,No updates 
https://data.medicare.gov/Hospital-Compare/Table-1-FY2016-Net-Change-in-Base-Operating-DRG-Pa/5gv4-jwyv,Table 2: FY2018 Distribution of Net Change in Base Operating DRG Payment Amount,22-Jul-20,No updates 
https://data.medicare.gov/Hospital-Compare/Table-3-FY2016-Percent-Change-in-Medicare-Payments/u625-zae7,Table 3: FY2018 Percent Change in Medicare Payments,22-Jul-20,No updates 
https://data.medicare.gov/Hospital-Compare/Table-4-FY2016-Value-Based-Incentive-Payment-Amoun/vtqa-m4zn,Table 4: FY2018 Value-Based Incentive Payment Amount,22-Jul-20,No updates 
https://data.medicare.gov/Hospital-Compare/Timely-and-Effective-Care-Hospital/yv7e-xc69,Timely and effective care - Hospital,22-Jul-20,No updates 
https://data.medicare.gov/Hospital-Compare/Timely-and-Effective-Care-National/isrn-hqyy,Timely and Effective Care - National,22-Jul-20,"Data Refreshed; No updates EDV -1, IMM-3, OP-31, OP-33, OP-22, OP-29, OP-30; Retired OP-5"
https://data.medicare.gov/Hospital-Compare/Timely-and-Effective-Care-State/apyc-v239,Timely and Effective Care - State,22-Jul-20,"Data Refreshed; No updates EDV -1, IMM-3, OP-31, OP-33, OP-22, OP-29, OP-30; Retired OP-5"
https://data.medicare.gov/Hospital-Compare/Unplanned-Hospital-Visits-Hospital/632h-zaca,Unplanned Hospital Visits - Hospital,22-Jul-20,"Data Refreshed; No updates EDV -1, IMM-3, OP-31, OP-33, OP-22, OP-29, OP-30; Retired OP-5"
https://data.medicare.gov/Hospital-Compare/Unplanned-Hospital-Visits-National/cvcs-xecj,Unplanned Hospital Visits - National ,22-Jul-20,Open/Closed List applied 
https://data.medicare.gov/Hospital-Compare/Unplanned-Hospital-Visits-State/4gkm-5ypv,Unplanned Hospital Visits - State,22-Jul-20,Open/Closed List applied 
https://data.medicare.gov/Hospital-Compare/Value-of-care-National/gbq5-7hzr,Value of Care- National,22-Jul-20,Open/Closed List applied 
https://data.medicare.gov/Hospital-Compare/Veterans-Health-Administration-Behavioral-Health-D/6qxe-iqz8,Veterans Health Administration Behavioral Health Data,22-Jul-20,Open/Closed List applied 
https://data.medicare.gov/Hospital-Compare/Veterans-Health-Administration-Measure-Dates/4aav-bsmy,Veterans Health Administration Measure Dates,22-Jul-20,No updates
https://data.medicare.gov/Hospital-Compare/Veterans-Health-Administration-Patient-Safety-Indi/esr2-9zyn,Veterans Health Administration Patient Safety Indicators Data,22-Jul-20,Data Refreshed 
https://data.medicare.gov/Hospital-Compare/Veterans-Health-Administration-Provider-Level-Data/uyx4-5s7f,Veterans Health Administration Provider Level Data,22-Jul-20,No updates 
,Veterans Health Administration Readmissions and Deaths COPD Data,22-Jul-20,No Updates
