"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
03C0001289,CARONDELET ST MARYS NORTHWEST LLC DBA CARONDELET FOOTHILLS SURGERY CENTER,2220 WEST ORANGE GROVE RD,TUCSON,AZ,85741,,(520) 877-5665,96,4,0,98,91,7,2,94,86,11,3,94,84,14,2,94,,1063,333,31,01/01/2022,12/31/2022
03C0001290,CAMP LOWELL SURGERY CENTER LLC DBA CAMP LOWELL SURGERY CENTER,4620 EAST CAMP LOWELL DR,TUCSON,AZ,85712,,(520) 618-6058,97,3,0,98,92,7,1,95,89,10,1,95,88,11,1,96,,919,367,40,01/01/2022,12/31/2022
03C0001298,SURGICAL ELITE OF AVONDALE,10815 WEST MCDOWELL RD SUITE 101,AVONDALE,AZ,85392,,(623) 433-0192,98,2,0,99,93,6,1,96,88,10,2,95,85,14,1,94,,1620,319,20,01/01/2022,12/31/2022
03C0001302,PINNACLE SURGERY CENTER OF PEORIA LLC,6790 W. THUNDERBIRD RD.,PEORIA,AZ,85381,,(623) 979-1717,98,2,0,99,89,9,2,94,89,9,2,95,81,18,1,93,,1497,346,23,01/01/2022,12/31/2022
03C0001305,DESERT RIDGE OUTPATIENT SURGERY CENTER,20940 NORTH TATUM BLVD SUITE 100,PHOENIX,AZ,85050,,(480) 502-4000,97,3,0,99,91,7,2,94,88,9,3,95,88,10,2,95,,1493,508,34,01/01/2022,12/31/2022
03C0001313,SOUTHWEST ENDOSCOPY AND SURGICENTER LLC,"2223 E. BASELINE RD, STE. B",GILBERT,AZ,85234,,(480) 289-5266,97,3,0,98,91,7,2,94,92,6,2,95,89,9,2,95,,1509,432,29,01/01/2022,12/31/2022
03C0001347,SURGCENTER AT PARADISE VALLEY LLC DBA SURGCENTER AT PIMA CROSSING,8415 NORTH PIMA RD SUITE 190,SCOTTSDALE,AZ,85258,,(480) 800-3206,95,4,1,97,92,6,2,95,86,12,2,94,83,14,3,93,,1326,355,27,01/01/2022,12/31/2022
03C0001352,SURGCENTER OF DEER VALLEY LLC,19820 NORTH 7TH ST SUITE 190,PHOENIX,AZ,85024,,(602) 904-7039,97,3,0,98,90,7,3,94,94,5,1,97,93,7,0,98,2;3,107,41,38,01/01/2022,12/31/2022
03C0001356,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF GLENDALE,18555 NORTH 79TH AVE BUILDING C,GLENDALE,AZ,85308,,(623) 776-2500,97,3,0,98,94,6,0,97,91,8,1,96,87,11,2,95,,931,226,24,01/01/2022,12/31/2022
03C0001357,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF GILBERT,2450 EAST GUADALUPE RD SUITE 101,GILBERT,AZ,85234,,(480) 398-8456,97,3,0,98,94,5,1,96,90,8,2,95,92,6,2,96,,648,176,27,01/01/2022,12/31/2022
03C0001359,SURGCENTER TUCSON LLC,3935 E. FT. LOWELL RD,TUCSON,AZ,85712,,(520) 396-4420,,,,,,,,,,,,,,,,,4,,,,,
03C0001361,SURGCENTER CAMELBACK,6245 NORTH 24TH PARKWAY SUITE 112,PHOENIX,AZ,85016,,(602) 682-7005,98,2,0,99,92,7,1,96,91,8,1,96,90,9,1,96,,1170,370,32,01/01/2022,12/31/2022
03C0001395,ORTHOARIZONA SURGERY CENTER GILBERT,1675 EAST MELROSE ST SUITE 201,GILBERT,AZ,85297,,(480) 519-8100,98,2,0,99,94,5,1,97,94,5,1,97,94,5,1,97,,1560,505,32,01/01/2022,12/31/2022
03C0001414,WESTGATE SURGERY CENTER,7730 NORTH 99TH AVE SUITE 100,GLENDALE,AZ,85307,,(623) 888-5500,97,2,1,98,90,9,1,94,90,9,1,96,88,12,0,96,,952,237,25,01/01/2022,12/31/2022
05C0001006,SAN GABRIEL VALLEY SURGICAL CENTER LP,1250 SOUTH SUNSET AVE SUITE 100,WEST COVINA,CA,91790,,(626) 960-6623,97,3,0,98,86,11,3,91,83,15,2,94,84,14,2,94,,714,240,34,01/01/2022,12/31/2022
05C0001174,MISSION AMBULATORY SURGICENTER,26730 CROWN VALLEY PARKWAY SUITE 100,MISSION VIEJO,CA,92691,,(949) 364-2201,97,2,1,98,88,9,3,93,85,12,3,94,84,12,4,93,,1517,444,29,01/01/2022,12/31/2022
05C0001198,HEALTHCARE PARTNER AMBULATORY SURGERY CENTER,"2600 REDONDO AVE, SUITE 103",LONG BEACH,CA,90806,,(562) 988-7162,94,6,0,97,86,10,4,91,84,11,5,93,78,18,4,91,,934,230,25,01/01/2022,12/31/2022
05C0001321,EL MIRADOR SURGICAL CENTER,1180 N. INDIAN CANYON #110,PALM SPRINGS,CA,92262,,(469) 893-6573,95,4,1,97,87,10,3,92,84,14,2,94,86,12,2,94,,1266,396,31,01/01/2022,12/31/2022
05C0001447,COAST SURGERY CENTER LP,3445 PACIFIC COAST HWY SUITE 110,TORRANCE,CA,90505,,(310) 325-4555,96,4,0,98,89,9,2,94,89,9,2,95,86,12,2,94,,1516,377,25,01/01/2022,12/31/2022
05C0001481,PAIN DIAGNOSTIC & TREATMENT CENTER,2805 J ST SUITE 200,SACRAMENTO,CA,95816,,(916) 231-8755,97,3,0,98,89,9,2,93,86,12,2,95,86,13,1,95,,1674,543,32,01/01/2022,12/31/2022
05C0001493,NORTH STATE SURGERY CENTERS LP DBA CT ST SURGERY CENTER,2184 CT ST,REDDING,CA,96001,,(530) 225-7417,99,1,0,99,92,7,1,96,92,7,1,96,91,8,1,96,,951,317,33,01/01/2022,12/31/2022
05C0001505,MAGNOLIA SURGERY CENTER,14571 MAGNOLIA ST # 107,WESTMINSTER,CA,92683,,(714) 903-1390,95,4,1,97,87,10,3,92,73,25,2,91,72,23,5,88,,1082,191,18,01/01/2022,12/31/2022
05C0001508,AMBULATORY SURGERY CENTER OF STOCKTON,2388 N. CALIFORNIA ST.,STOCKTON,CA,95204,,(209) 944-9100,94,5,1,96,88,10,2,93,89,8,3,95,85,12,3,94,,1017,357,35,01/01/2022,12/31/2022
05C0001529,SANTA BARBARA SURGERY CENTER,3045 DE LA VINA ST,SANTA BARBARA,CA,93105,,(805) 569-3226,97,3,0,99,90,8,2,94,90,9,1,96,90,8,2,96,,923,356,39,01/01/2022,12/31/2022
05C0001534,FOLSOM OUTPATIENT SURGERY CENTER LP DBA FOLSOM SURGERY CENTER,1651 CREEKSIDE DR SUITE 100,FOLSOM,CA,95630,,(916) 673-1990,98,2,0,99,93,6,1,96,92,7,1,96,90,9,1,96,,923,301,33,01/01/2022,12/31/2022
05C0001552,SIERRA PACIFIC SURGERY CENTER LP,1630 E. HERNDON AVE. #150,FRESNO,CA,93720,,(559) 256-1631,98,2,0,99,91,8,1,95,92,7,1,96,91,9,0,97,,1521,504,33,01/01/2022,12/31/2022
05C0001558,PACIFIC ENDO-SURGICAL CENTER LP,3445 PACIFIC COAST HWY SUITE 120,TORRANCE,CA,90505,,(310) 326-1666,97,3,0,98,89,9,2,94,85,14,1,94,83,16,1,94,,1201,326,27,01/01/2022,12/31/2022
05C0001571,UNIVERSITY SURGERY CENTER,1390 E. YOSEMITE AVE. STE. B,MERCED,CA,95340,,(209) 580-3409,97,3,0,99,87,10,3,92,88,10,2,94,87,11,2,95,,1602,357,22,01/01/2022,12/31/2022
05C0001572,ROSEVILLE SURGERY CENTER,1420 ROSEVILLE PARKWAY SUITE 100,ROSEVILLE,CA,95661,,(916) 677-2488,96,4,0,98,91,7,2,95,83,14,3,93,81,16,3,92,,1614,513,32,01/01/2022,12/31/2022
05C0001596,TRESANTI SURGICAL CENTER LLC,"5201 NORRIS CANYON RD., # 100",SAN RAMON,CA,94583,,(925) 973-0605,98,2,0,99,93,6,1,96,91,8,1,96,91,8,1,96,,1018,316,31,01/01/2022,12/31/2022
05C0001604,PROCEDURE CENTER OF SOUTH SACRAMENTO INC,"8120 TIMBERLAKE WAY, STE. 103",SACRAMENTO,CA,95823,,(916) 681-2350,97,3,0,98,91,7,2,94,87,11,2,94,85,13,2,94,,1772,428,24,01/01/2022,12/31/2022
05C0001643,NORTH STATE SURGERY CENTERS DBA MERCY SURGERY CENTER,2175 ROSALINE AVE SUITE A,REDDING,CA,96001,,(530) 245-4845,98,2,0,99,92,7,1,95,91,9,0,96,89,9,2,95,,946,331,35,01/01/2022,12/31/2022
05C0001711,ST JOSEPH'S SURGERY CENTER,1800 NORTH CALIFORNIA ST SUITE 1,STOCKTON,CA,95204,,(209) 467-6316,98,2,0,99,93,6,1,96,83,15,2,94,84,14,2,94,,927,262,28,01/01/2022,12/31/2022
05C0001719,SCRIPPS HEALTH,10010 CAMPUS POINT DR,SAN DIEGO,CA,92121,,(619) 743-5565,98,2,0,99,94,5,1,96,93,6,1,96,92,7,1,97,,3117,984,32,01/01/2022,12/31/2022
05C0001750,REAGAN ST SURGERY CENTER,10904 REAGAN ST,LOS ALAMITOS,CA,90720,,(562) 596-3140,96,3,1,98,88,9,3,93,88,11,1,95,85,13,2,94,,1009,269,27,01/01/2022,12/31/2022
05C0001756,ENCINITAS ENDOSCOPY CENTER LLC,"700 GARDEN VIEW CRT, STE. 101",ENCINITAS,CA,92024,,(760) 274-2700,97,3,0,98,90,8,2,94,85,13,2,94,87,11,2,95,,975,278,29,01/01/2022,12/31/2022
05C0001757,GRASS VALLEY SURGERY CENTER,408 SIERRA COLLEGE DR,GRASS VALLEY,CA,95945,,(530) 271-2282,98,2,0,99,92,7,1,96,90,9,1,95,89,11,0,96,,1156,460,40,01/01/2022,12/31/2022
05C0001764,COAST SURGERY CENTER LP,3445 PACIFIC COAST HWY #110,TORRANCE,CA,90505,,(310) 325-4555,97,3,0,98,90,8,2,94,92,6,2,96,88,10,2,95,,1519,470,31,01/01/2022,12/31/2022
05C0001803,PACIFIC ENDOSCOPY AND SURGERY CENTER LLC,17815 NEWHOPE ST SUITE R,FOUNTAIN VALLEY,CA,92708,,(714) 432-8881,94,5,1,96,93,6,1,96,84,14,2,93,79,18,3,92,,1747,383,22,01/01/2022,12/31/2022
05C0001813,RENAISSANCE SURGERY CENTER LLC,2365 EAST FIR AVE,FRESNO,CA,93720,,(559) 797-9100,97,2,1,98,91,7,2,94,91,7,2,96,88,10,2,95,,1523,559,37,01/01/2022,12/31/2022
05C0001840,OASIS SURGERY CENTER LP,815 AUTO CENTER DR.,PALMDALE,CA,93551,,(661) 206-6262,97,2,1,98,89,9,2,93,93,5,2,97,88,11,1,96,,1364,260,19,01/01/2022,12/31/2022
05C0001842,SCRIPPS ENCINITAS SURGERY CENTER LLC,320 SANTA FE DR  SUITE LL2,ENCINITAS,CA,92024,,(760) 632-3900,96,4,0,98,89,10,1,94,83,13,4,93,86,12,2,95,,837,257,31,01/01/2022,12/31/2022
05C0001860,TALBERT SURGICAL ASSOCIATES,"7677 CENTER AVE, # 104",HUNTINGTON BEACH,CA,92647,,(714) 881-8722,95,4,1,97,87,10,3,92,80,17,3,93,76,21,3,91,,2782,645,23,01/01/2022,12/31/2022
05C0001863,HACIENDA OUTPATIENT SURGERY CENTER LLC DBA HACIENDA SURGERY CENTER,4626 WILLOW RD SUITE 100,PLEASANTON,CA,94588,,(925) 734-6744,98,2,0,99,93,5,2,96,88,11,1,95,88,11,1,96,,1260,390,31,01/01/2022,12/31/2022
05C0001879,SCRIPPS HEALTH,10010 CAMPUS POINT DR,SAN DIEGO,CA,92121,,(619) 743-5565,98,2,0,99,94,5,1,96,92,7,1,96,90,8,2,96,,4626,1188,26,01/01/2022,12/31/2022
05C0001975,HUNTINGTON AMBULATORY SURGERY CENTER,625 SOUTH FAIR OAKS AVE SUITE 380,PASADENA,CA,91105,,(626) 229-8999,97,3,0,98,89,9,2,93,87,12,1,95,87,12,1,95,2,1245,358,29,01/01/2022,12/31/2022
05C0002058,UC REGENTS UCLA DEPT OF MEDICINE PROFESSIONAL GROUP,25775 WEST MCBEAN PARKWAY SUITE 115,LOS ANGELES,CA,90095,,(661) 253-7956,96,3,1,97,90,7,3,94,83,14,3,93,80,18,2,92,,1253,259,21,01/01/2022,12/31/2022
05C0002179,SCRIPPS HEALTH,10010 CAMPUS POINT DR,SAN DIEGO,CA,92121,,(619) 743-5565,98,2,0,99,91,8,1,95,91,8,1,96,89,10,1,96,,6526,1322,20,01/01/2022,12/31/2022
05C0002196,VENTANA SURGICAL CENTER LLC,18133 VENTURA BLVD SUITE 400,ADDISON,CA,91356,,(818) 668-6200,97,3,0,98,90,8,2,94,89,10,1,95,82,16,2,93,,1627,363,22,01/01/2022,12/31/2022
05C0002215,WEST COAST JOINT AND SPINE CENTER,8135 SARATOGA WAY,EL DORADO HILLS,CA,95762,,(000) 000-0000,98,2,0,99,92,6,2,95,92,4,4,95,91,7,2,96,,1227,406,33,01/01/2022,12/31/2022
05C0002282,SCRIPPS HEALTH DBA ASC JEFFERSON,2205 VISTA WAY,OCEANSIDE,CA,92054,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
06C0001028,KAISER PERMANENTE SURGERY CTR,2045 FRANKLIN ST,DENVER,CO,80205,,(303) 764-4420,98,2,0,99,91,8,1,95,85,13,2,94,80,17,3,92,,2600,813,31,01/01/2022,12/31/2022
06C0001029,PUEBLO AMBULATORY SURGERY CENTER LLC,25 MONTEBELLO RD,PUEBLO,CO,81001,,(719) 544-1600,,,,,,,,,,,,,,,,,4,,,,,
06C0001049,ROCKY MOUNTAIN ENDOSCOPY CENTERS LLC,10001 N. WASHINGTON ST.,THORNTON,CO,80229,,(303) 205-1090,,,,,,,,,,,,,,,,,4,,,,,
06C0001057,AUDUBON AMBULATORY SURGERY CENTER LLC,3030 N. CIR DR STE 101,COLORADO SPRINGS,CO,80909,,(719) 355-3422,97,3,0,99,91,7,2,95,88,10,2,95,84,14,2,94,,1179,313,27,01/01/2022,12/31/2022
06C0001058,GOLDEN RIDGE SURGERY CENTER LLC,"660 GOLDEN RIDGE RD., STE. 110",GOLDEN,CO,80401,,(303) 963-1507,97,3,0,98,91,6,3,94,90,8,2,95,85,14,1,95,,938,260,28,01/01/2022,12/31/2022
06C0001070,ROCKY MOUNTAIN ENDOSCOPY CENTERS LLC,7000 WEST COLFAX AVENUE,LAKEWOOD,CO,80214,,(303) 205-1090,,,,,,,,,,,,,,,,,4,,,,,
06C0001079,SUMMIT VIEW SURGERY CENTER,7730 SOUTH BROADWAY,LITTLETON,CO,80122,,(303) 730-2376,100,0,0,100,93,6,1,96,93,6,1,96,89,10,1,96,,1164,253,22,01/01/2022,12/31/2022
06C0001080,FLATIRONS SURGERY CENTER LLC,70 HEALTH PARK DR,LOUISVILLE,CO,80027,,(720) 890-2721,97,3,0,98,90,8,2,94,88,8,4,94,86,12,2,94,,1120,257,23,01/01/2022,12/31/2022
06C0001085,CROWN POINT SURGERY CENTER LLC,9397 CROWN CREST BLVD,PARKER,CO,80138,,(720) 974-6499,97,2,1,98,90,7,3,94,93,6,1,95,86,13,1,94,,1049,256,24,01/01/2022,12/31/2022
06C0001110,HARVARD PARK SURGERY CENTER LLC,1000 EAST HARVARD AVE,DENVER,CO,80210,,(303) 778-5773,96,3,1,98,90,8,2,94,86,11,3,94,81,16,3,93,,1053,373,35,01/01/2022,12/31/2022
06C0001131,AUDUBON AMBULATORY SURGERY CENTER LLC,"6011 E. WOODMAN RD., STE. 200",COLORADO SPRINGS,CO,80909,,(719) 355-3422,98,2,0,99,92,6,2,95,89,9,2,95,89,8,3,95,,930,232,25,01/01/2022,12/31/2022
06C0001133,GREENWOOD ASC LLC DBA COLORADO PREMIER SURGERY CENTER AT GREENWOOD VILLAGE,7447 EAST BERRY AVE SUITE 100,GREENWOOD VILLAGE,CO,80111,,(720) 493-4115,,,,,,,,,,,,,,,,,4,,,,,
06C0001145,KAISER PERMANENTE AMBULATORY SURG CTR LONE TREE,10240 PARK MEADOWS DRIVE,LONE TREE,CO,80124,,(000) 000-0000,98,2,0,99,93,6,1,96,91,7,2,95,87,11,2,95,,2708,875,32,01/01/2022,12/31/2022
06C0001163,SOUTH DENVER SURGERY CENTER,300 EAST MINERAL AVE #9,LITTLETON,CO,80122,,(720) 360-3400,98,2,0,99,94,5,1,97,89,9,2,95,87,11,2,95,,1621,464,29,01/01/2022,12/31/2022
06C0001164,GREENWOOD ASC LLC DBA COLORADO PREMIER SURGERY CENTER AT LAKEWOOD,355 UNION BLVD SUITE 10,LAKEWOOD,CO,80228,,(303) 689-8712,,,,,,,,,,,,,,,,,4,,,,,
07C0001034,FAIRFIELD COUNTY ENDOSCOPY CENTER,888 WHITE PLAINS STE. 210,TRUMBULL,CT,06611,,(203) 268-1193,,,,,,,,,,,,,,,,,4,,,,,
07C0001048,NORTH HAVEN SURGERY CENTER LLC,52 WASHINGTON AVE SUITE 1,NORTH HAVEN,CT,06473,,(203) 234-7727,98,2,0,99,93,6,1,96,89,11,0,96,88,11,1,95,,1045,266,25,01/01/2022,12/31/2022
10C0001025,SURGERY CENTER AT UNIVERSITY PARK LLC DBA PREMIER SURGERY CENTER OF SARASOTA,983 SOUTH BENEVA RD,SARASOTA,FL,34232,,(941) 365-5355,97,2,1,98,90,8,2,94,87,11,2,95,87,11,2,94,,1383,528,38,01/01/2022,12/31/2022
10C0001089,ST AUGUSTINE ENDOSCOPY CENTER LLC,212 SOUTHPARK CIR EAST,SAINT AUGUSTINE,FL,32086,,(904) 824-6108,98,2,0,99,90,7,3,94,93,6,1,97,92,6,2,97,,1721,598,35,01/01/2022,12/31/2022
10C0001203,UNIVERSITY SURGERY CENTER LTD,7251 UNIVERSITY BLVD SUITE 100,WINTER PARK,FL,32792,,(407) 677-0066,97,3,0,98,93,6,1,96,91,8,1,96,93,6,1,97,,795,195,25,01/01/2022,12/31/2022
10C0001214,THE OUTPATIENT CENTER OF BOYNTON BEACH,2351 SOUTH SEACREST BLVD,BOYNTON BEACH,FL,33435,,(561) 732-5900,95,4,1,97,87,9,4,91,82,13,5,93,80,17,3,92,,1168,280,24,01/01/2022,12/31/2022
10C0001236,DELRAY BEACH SURGERY CENTER,4800 LINTON BOULEVARD BUILDING B,DELRAY BEACH,FL,33445,,(561) 495-9111,95,4,1,97,87,10,3,92,81,14,5,92,77,19,4,91,,1405,516,37,01/01/2022,12/31/2022
10C0001264,TREASURE COAST SURGERY CENTER LLC DBA TREASURE COAST CENTER FOR SURGERY,1155 SOUTHEAST MONTEREY RD EXT,STUART,FL,34994,,(772) 286-8028,97,3,0,98,89,9,2,93,89,9,2,95,86,12,2,95,,1043,425,41,01/01/2022,12/31/2022
10C0001293,WINTER HAVEN AMBULATORY SURGICAL CENTER LLC,325 AVE B NW,WINTER HAVEN,FL,33881,,(469) 893-6573,97,3,0,98,89,8,3,93,87,10,3,94,87,12,1,95,,1163,325,28,01/01/2022,12/31/2022
10C0001302,TAMARAC SURGERY CENTER LLC DBA THE SURGERY CENTER OF FORT LAUDERDALE,4485 NORTH STATE RD 7,LAUDERDALE LAKES,FL,33319,,(954) 735-0096,94,4,2,96,87,9,4,92,80,15,5,91,76,19,5,90,,1268,260,21,01/01/2022,12/31/2022
10C0001308,UNIVERSITY EYE SURGERY CENTER,"13051 UNIVERSITY DR, STE. 102",FORT MYERS,FL,33907,,(239) 590-6111,96,3,1,98,90,8,2,94,89,9,2,95,88,10,2,95,,1547,522,34,01/01/2022,12/31/2022
10C0001313,DOCTORS SURGICAL PARTNERSHIP LTD DBA MELBOURNE SAME DAY SURGERY,1035 SOUTH APOLLO BLVD,MELBOURNE,FL,32901,,(321) 434-9134,,,,,,,,,,,,,,,,,4,,,,,
10C0001319,JACKSONVILLE ENDOSCOPY CENTERS LLC DBA JACKSONVILLE CENTER FOR ENDOSCOPY,1610 BARRS ST SUITE B,JACKSONVILLE,FL,32204,,(904) 387-6750,97,3,0,98,91,7,2,95,89,8,3,95,88,9,3,95,,1609,396,25,01/01/2022,12/31/2022
10C0001332,LASER AND SURGERY CENTER OF THE PALM BEACHES,3602 KYOTO GARDENS DR,PALM BEACH GARDENS,FL,33410,,(561) 799-3388,96,3,1,98,88,9,3,93,88,10,2,95,88,10,2,95,,1204,420,35,01/01/2022,12/31/2022
10C0001362,DESTIN SURGERY CENTER LLC,4485 FURLING LANE,DESTIN,FL,32541,,(850) 650-7606,98,2,0,99,93,6,1,96,93,6,1,97,91,8,1,97,,1285,485,38,01/01/2022,12/31/2022
10C0001363,DOCTORS GI PARTNERSHIP LTD DBA MELBOURNE GI CENTER,1051 SOUTH HICKORY ST SUITE K,MELBOURNE,FL,32901,,(513) 319-6256,98,2,0,99,93,6,1,96,88,10,2,94,86,12,2,94,,1836,580,32,01/01/2022,12/31/2022
10C0001371,CHARLOTTE ENDOSCOPIC SURGERY CENTER LLC DBA CHARLOTTE ENDOSCOPIC SURGERY CENTER,23970 SUNCOAST BLVD,PORT CHARLOTTE,FL,33908,,(947) 625-3636,98,2,0,99,91,7,2,95,89,9,2,95,91,9,0,97,2,634,279,44,01/01/2022,12/31/2022
10C0001377,OPHTHALMOLOGY SURGERY CENTER OF ORLANDO LLC DBA ORLANDO OPHTHALMOLOGY SURGERY CENTER,105 BONNIE LOCH CT,ORLANDO,FL,32806,,(407) 428-0040,95,4,1,97,88,9,3,93,79,16,5,92,79,18,3,91,,1306,457,35,01/01/2022,12/31/2022
10C0001389,BGC HOLDINGS INC,4800 BELFORT RD,JACKSONVILLE,FL,32256,,(904) 265-4801,96,3,1,98,92,6,2,95,91,8,1,95,89,10,1,96,,1008,298,30,01/01/2022,12/31/2022
10C0001390,CORAL GABLES SURGERY CENTER,"2645 DOUGLAS RD, SUITE 400",MIAMI,FL,33133,,(305) 461-3229,95,4,1,97,90,7,3,94,85,10,5,93,84,13,3,93,,1087,181,17,01/01/2022,12/31/2022
10C0001418,THE SURGERY CENTER AT JENSEN BEACH LLC,3995 NW GOLDENROD RD,JENSEN BEACH,FL,34957,,(772) 497-0020,97,3,0,98,90,8,2,94,88,11,1,95,87,12,1,95,,1101,441,40,01/01/2022,12/31/2022
10C0001428,SOUTH FLORIDA AMBULATORY SURGICAL CENTER LLC,6110 SOUTHWEST 70TH ST,SOUTH MIAMI,FL,33143,,(305) 662-3100,97,3,0,98,92,5,3,94,85,13,2,94,81,16,3,92,,1351,272,20,01/01/2022,12/31/2022
10C0001474,MURDOCK AMBULATORY SURGERY CENTER LLC,1400 EDUCATION WAY,PORT CHARLOTTE,FL,33948,,(941) 625-9800,98,2,0,99,88,9,3,93,89,9,2,95,86,12,2,95,,946,416,44,01/01/2022,12/31/2022
10C0001486,PARKCREEK SURGERY CENTER LLLP,6806 N. STATE RD. 7,COCONUT CREEK,FL,33073,,(954) 312-3507,96,4,0,98,90,8,2,94,92,6,2,96,88,10,2,95,,1556,371,24,01/01/2022,12/31/2022
10C0001496,FLORIDA SURGERY CENTER ENTERPRISES LLC,5013 NORTH ARMENIA AVE,TAMPA,FL,33603,,(813) 875-0562,94,5,1,97,90,8,2,94,85,12,3,93,82,15,3,92,,1924,353,18,01/01/2022,12/31/2022
