"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Illinois,97,3,0,98,92,6,2,95,87,11,2,94,81,17,2,93,77892,17766,24,04/01/2023,03/31/2024
Indiana,98,2,0,99,92,7,1,95,87,11,2,94,82,16,2,93,19973,5582,28,04/01/2023,03/31/2024
Iowa,98,2,0,99,93,6,1,96,87,11,2,95,83,15,2,94,22059,6491,31,04/01/2023,03/31/2024
Kansas,97,3,0,99,92,7,1,95,86,12,2,94,81,18,1,93,30268,7903,26,04/01/2023,03/31/2024
Kentucky,97,2,1,98,93,6,1,96,85,12,3,94,80,18,2,92,47011,9603,22,04/01/2023,03/31/2024
Louisiana,98,2,0,99,93,6,1,96,90,8,2,95,87,11,2,95,33046,7510,24,04/01/2023,03/31/2024
Maine,98,2,0,99,94,5,1,96,85,13,2,94,82,16,2,93,34820,10151,29,04/01/2023,03/31/2024
Maryland,97,3,0,98,92,6,2,95,85,12,3,93,81,16,3,92,39256,9023,23,04/01/2023,03/31/2024
Massachusetts,97,3,0,98,92,6,2,95,86,12,2,94,83,15,2,93,40286,9883,25,04/01/2023,03/31/2024
Michigan,97,3,0,98,92,6,2,95,84,13,3,93,78,19,3,91,62549,14948,24,04/01/2023,03/31/2024
Minnesota,98,2,0,99,92,7,1,95,85,13,2,94,81,18,1,93,20280,6102,30,04/01/2023,03/31/2024
Mississippi,97,2,1,98,92,7,1,95,85,12,3,94,82,16,2,93,28444,5880,21,04/01/2023,03/31/2024
Missouri,97,3,0,98,92,7,1,95,85,12,3,94,80,18,2,92,38130,8914,24,04/01/2023,03/31/2024
Montana,97,3,0,99,92,7,1,95,84,14,2,93,80,18,2,92,25214,6567,26,04/01/2023,03/31/2024
Nebraska,97,3,0,99,93,6,1,96,86,12,2,94,81,17,2,93,15068,4425,31,04/01/2023,03/31/2024
Nevada,95,4,1,97,89,9,2,93,83,14,3,93,80,17,3,92,24265,5340,22,04/01/2023,03/31/2024
New Hampshire,98,2,0,99,94,5,1,96,88,10,2,95,86,12,2,94,15218,4629,30,04/01/2023,03/31/2024
New Jersey,97,3,0,98,90,8,2,94,86,11,3,94,82,16,2,93,80929,18455,23,04/01/2023,03/31/2024
New Mexico,97,3,0,98,91,8,1,95,84,14,2,94,80,18,2,92,38089,8025,21,04/01/2023,03/31/2024
New York,97,3,0,98,91,7,2,95,84,13,3,93,80,18,2,92,153155,35439,23,04/01/2023,03/31/2024
North Carolina,97,3,0,99,93,6,1,96,89,9,2,95,85,13,2,94,92343,24521,27,04/01/2023,03/31/2024
North Dakota,97,3,0,99,93,5,2,96,83,14,3,93,76,22,2,92,11870,3365,28,04/01/2023,03/31/2024
Ohio,97,3,0,99,92,7,1,96,88,10,2,95,83,15,2,93,170306,40493,24,04/01/2023,03/31/2024
Oklahoma,97,3,0,98,92,6,2,95,86,12,2,94,84,14,2,94,47109,11748,25,04/01/2023,03/31/2024
Oregon,97,3,0,99,92,7,1,95,85,12,3,94,83,15,2,93,21046,5244,25,04/01/2023,03/31/2024
Pennsylvania,97,3,0,99,93,6,1,96,88,10,2,95,85,13,2,94,77924,23725,31,04/01/2023,03/31/2024
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,98,2,0,99,92,7,1,96,90,8,2,95,87,12,1,95,3010,922,32,04/01/2023,03/31/2024
South Carolina,96,4,0,98,92,6,2,95,84,13,3,93,80,17,3,92,26511,6156,23,04/01/2023,03/31/2024
South Dakota,98,2,0,99,92,7,1,95,84,14,2,94,83,16,1,94,18141,3070,17,04/01/2023,03/31/2024
Tennessee,96,4,0,98,92,6,2,95,85,12,3,94,82,16,2,93,74715,16033,22,04/01/2023,03/31/2024
Texas,97,3,0,98,92,6,2,95,88,9,3,95,84,14,2,94,140128,28679,21,04/01/2023,03/31/2024
Utah,97,3,0,99,92,7,1,95,89,10,1,95,86,12,2,95,80899,14663,21,04/01/2023,03/31/2024
Vermont,98,2,0,99,93,6,1,96,87,11,2,94,85,13,2,94,17546,5078,30,04/01/2023,03/31/2024
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,97,3,0,98,93,6,1,96,87,11,2,95,84,14,2,94,78272,18880,24,04/01/2023,03/31/2024
Washington,97,3,0,98,93,6,1,96,85,13,2,94,81,16,3,93,73298,16456,23,04/01/2023,03/31/2024
West Virginia,97,3,0,99,93,6,1,96,84,13,3,93,80,18,2,92,41735,10125,24,04/01/2023,03/31/2024
Wisconsin,98,2,0,99,93,6,1,96,88,10,2,94,83,16,1,94,45837,15239,34,04/01/2023,03/31/2024
Wyoming,98,2,0,99,93,6,1,96,84,14,2,94,81,18,1,93,4512,971,24,04/01/2023,03/31/2024
