"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Georgia,98,2,0,99,93,5,2,96,91,7,2,96,90,8,2,96,19713,4758,24,10/01/2022,09/30/2023
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,98,2,0,99,94,5,1,97,90,8,2,95,87,11,2,95,3965,1365,35,10/01/2022,09/30/2023
Idaho,99,1,0,99,94,5,1,97,91,6,3,95,87,10,3,94,2865,769,27,10/01/2022,09/30/2023
Illinois,97,3,0,98,92,6,2,95,88,10,2,95,85,13,2,94,8546,2527,30,10/01/2022,09/30/2023
Indiana,97,3,0,99,91,8,1,95,89,10,1,95,87,11,2,95,9220,3067,33,10/01/2022,09/30/2023
Iowa,98,2,0,99,91,8,1,95,90,8,2,95,88,11,1,95,1425,619,43,10/01/2022,09/30/2023
Kansas,98,2,0,99,87,10,3,92,88,10,2,95,86,13,1,95,924,350,38,10/01/2022,09/30/2023
Kentucky,,,,,,,,,,,,,,,,,,,,,
Louisiana,97,2,1,98,93,6,1,96,89,9,2,95,89,9,2,96,6532,1834,28,10/01/2022,09/30/2023
Maine,98,2,0,99,94,5,1,97,93,6,1,97,90,8,2,96,813,262,32,10/01/2022,09/30/2023
Maryland,97,3,0,98,91,7,2,95,87,11,2,94,83,14,3,93,30525,8351,27,10/01/2022,09/30/2023
Massachusetts,97,3,0,98,92,7,1,95,87,11,2,95,87,11,2,95,1154,380,33,10/01/2022,09/30/2023
Michigan,98,2,0,99,90,8,2,94,91,7,2,96,88,11,1,96,11790,3480,30,10/01/2022,09/30/2023
Minnesota,98,2,0,99,93,6,1,96,91,7,2,95,87,12,1,95,10870,3453,32,10/01/2022,09/30/2023
Mississippi,98,2,0,99,94,4,2,96,93,5,2,96,91,7,2,96,3373,989,29,10/01/2022,09/30/2023
Missouri,98,2,0,99,92,7,1,95,89,9,2,95,87,11,2,95,22046,6805,31,10/01/2022,09/30/2023
Montana,98,2,0,99,91,8,1,95,90,9,1,95,89,10,1,96,4013,1414,35,10/01/2022,09/30/2023
Nebraska,98,2,0,99,93,6,1,96,87,11,2,95,84,15,1,94,1223,408,33,10/01/2022,09/30/2023
Nevada,97,3,0,98,90,8,2,94,89,9,2,95,86,11,3,94,3913,797,20,10/01/2022,09/30/2023
New Hampshire,99,1,0,99,93,6,1,96,92,7,1,96,90,9,1,96,5419,1762,33,10/01/2022,09/30/2023
New Jersey,97,3,0,99,91,7,2,94,89,9,2,95,88,11,1,95,25621,7042,27,10/01/2022,09/30/2023
New Mexico,96,4,0,98,92,7,1,95,90,8,2,95,86,13,1,95,4078,1051,26,10/01/2022,09/30/2023
New York,,,,,,,,,,,,,,,,,,,,,
North Carolina,98,2,0,99,92,6,2,95,90,8,2,96,89,9,2,95,7476,1464,20,10/01/2022,09/30/2023
North Dakota,98,2,0,99,94,5,1,97,90,9,1,96,91,8,1,97,553,204,37,10/01/2022,09/30/2023
Ohio,98,2,0,99,93,6,1,96,92,7,1,96,90,9,1,96,18258,4694,26,10/01/2022,09/30/2023
Oklahoma,97,3,0,98,89,8,3,93,88,10,2,95,85,14,1,95,1130,370,33,10/01/2022,09/30/2023
Oregon,97,3,0,98,92,6,2,95,87,11,2,94,85,12,3,94,15882,5058,32,10/01/2022,09/30/2023
Pennsylvania,98,2,0,99,94,5,1,96,92,7,1,96,89,10,1,96,16316,5493,34,10/01/2022,09/30/2023
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,,,,,,,,,,
South Carolina,97,3,0,99,93,5,2,96,91,7,2,95,88,10,2,95,5053,1766,35,10/01/2022,09/30/2023
South Dakota,,,,,,,,,,,,,,,,,,,,,
Tennessee,98,2,0,99,93,6,1,96,91,8,1,96,89,10,1,96,37324,9459,25,10/01/2022,09/30/2023
Texas,97,3,0,98,91,7,2,95,89,9,2,95,87,11,2,95,106584,22955,22,10/01/2022,09/30/2023
Utah,97,2,1,99,94,4,2,96,89,9,2,95,88,10,2,95,2889,766,27,10/01/2022,09/30/2023
Vermont,,,,,,,,,,,,,,,,,,,,,
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,98,2,0,99,93,6,1,96,90,9,1,96,88,11,1,95,11703,3692,32,10/01/2022,09/30/2023
Washington,98,2,0,99,92,7,1,95,89,9,2,95,87,12,1,95,33358,8344,25,10/01/2022,09/30/2023
West Virginia,,,,,,,,,,,,,,,,,,,,,
Wisconsin,98,2,0,99,93,6,1,96,91,6,3,95,91,8,1,97,2079,665,32,10/01/2022,09/30/2023
Wyoming,98,2,0,99,90,8,2,94,90,8,2,95,89,10,1,96,1811,627,35,10/01/2022,09/30/2023
