"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,(205) 921-6200,99,1,0,100,96,3,1,98,90,8,2,95,90,9,1,96,3,299,79,26,10/01/2022,09/30/2023
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,(205) 932-5966,97,3,0,98,94,5,1,97,91,6,3,96,90,9,1,96,,772,192,25,10/01/2022,09/30/2023
010059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,LAWRENCE,(256) 974-2200,93,4,3,95,94,6,0,97,77,14,9,90,84,8,8,92,3,55,13,24,10/01/2022,09/30/2023
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,(256) 259-4444,,,,,,,,,,,,,,,,,4,,,,,
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,GENEVA,(334) 684-3655,98,2,0,99,95,4,1,97,89,9,2,95,89,10,1,96,,611,135,23,10/01/2022,09/30/2023
010065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,(256) 329-7100,95,4,1,97,92,6,2,95,81,15,4,92,79,18,3,92,,2667,699,27,10/01/2022,09/30/2023
010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9,ASHLAND,AL,36251,CLAY,(256) 354-2131,96,4,0,98,92,6,2,95,83,15,2,94,82,17,1,93,,443,141,33,10/01/2022,09/30/2023
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,(256) 235-5121,,,,,,,,,,,,,,,,,4,,,,,
010079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,(256) 233-9292,98,2,0,99,93,6,1,96,91,7,2,96,87,12,1,95,,1701,399,25,10/01/2022,09/30/2023
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,(256) 341-2000,97,3,0,98,91,7,2,95,80,16,4,92,78,20,2,92,,1574,365,23,10/01/2022,09/30/2023
010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,FAYETTE,(205) 487-7736,96,4,0,98,92,6,2,95,84,15,1,94,84,14,2,94,,1039,264,26,10/01/2022,09/30/2023
010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,(205) 387-4000,96,4,0,98,92,7,1,95,82,15,3,94,76,22,2,91,,1331,329,25,10/01/2022,09/30/2023
010092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,(205) 759-7111,96,4,0,98,91,7,2,95,81,17,2,93,81,17,2,93,,5047,1211,25,10/01/2022,09/30/2023
010100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,(251) 928-2375,98,2,0,99,91,8,1,95,89,7,4,94,89,10,1,96,,1062,328,31,10/01/2022,09/30/2023
010101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,(256) 761-4542,97,3,0,98,92,6,2,95,84,14,2,93,73,25,2,90,,991,195,20,10/01/2022,09/30/2023
010103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,(205) 783-3800,96,3,1,98,91,8,1,95,82,13,5,92,72,23,5,88,,1248,277,22,10/01/2022,09/30/2023
010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,(334) 361-4267,97,3,0,99,93,6,1,96,86,12,2,95,86,12,2,95,,886,308,35,10/01/2022,09/30/2023
010113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607,MOBILE,(251) 435-4700,97,2,1,98,91,8,1,95,84,13,3,93,79,19,2,92,,1247,299,25,10/01/2022,09/30/2023
010120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36460,MONROE,(251) 575-3111,97,2,1,98,94,5,1,97,85,12,3,94,87,12,1,95,,854,222,27,10/01/2022,09/30/2023
010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,PIKE,(334) 670-5000,97,3,0,99,92,7,1,95,81,16,3,93,81,17,2,93,,1773,489,28,10/01/2022,09/30/2023
010129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,BALDWIN,(251) 937-5521,97,3,0,98,92,7,1,95,86,10,4,94,81,16,3,93,,903,193,23,10/01/2022,09/30/2023
010139,BROOKWOOD BAPTIST MEDICAL CENTER,1280 COLUMBIANA ROAD STE 102,VESTAVIA,AL,35216,JEFFERSON,(205) 877-1000,94,5,1,97,93,6,1,96,84,13,3,92,79,18,3,91,,1423,288,20,10/01/2022,09/30/2023
010144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE,AL,36608,MOBILE,(251) 460-5220,93,5,2,96,92,7,1,96,81,12,7,91,84,12,4,92,,1247,337,28,10/01/2022,09/30/2023
010148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,CONECUH,(251) 578-2480,,,,,,,,,,,,,,,,,4,,,,,
010149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,MONTGOMERY,(334) 244-8330,97,3,0,98,91,7,2,95,87,11,2,95,91,8,1,96,,2321,634,28,10/01/2022,09/30/2023
010157,NORTH ALABAMA SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,COLBERT,(256) 386-1601,,,,,,,,,,,,,,,,,4,,,,,
010168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,RUSSELL,(334) 732-3000,98,2,0,99,91,7,2,95,92,6,2,96,91,7,2,96,,1338,480,36,10/01/2022,09/30/2023
010169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,ESCAMBIA,(251) 368-2500,,,,,,,,,,,,,,,,,4,,,,,
020001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,ANCHORAGE,(907) 562-2211,96,4,0,98,93,6,1,96,88,10,2,94,89,9,2,96,,1830,319,17,10/01/2022,09/30/2023
020026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,ANCHORAGE,(907) 729-3971,94,6,0,97,91,7,2,94,80,15,5,92,78,20,2,91,,2987,382,13,10/01/2022,09/30/2023
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,AK,99615,KODIAK ISLAND BOROUGH,(907) 486-9592,99,1,0,99,95,3,2,97,87,9,4,94,82,17,1,93,,563,107,19,10/01/2022,09/30/2023
030006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,PIMA,(520) 327-5461,97,2,1,98,93,5,2,96,90,8,2,94,83,15,2,93,,5062,1215,31,10/01/2022,09/30/2023
030007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,YAVAPAI,(928) 773-2357,97,3,0,99,91,8,1,95,82,15,3,92,74,24,2,90,,1412,434,31,10/01/2022,09/30/2023
030010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,PIMA,(520) 872-3000,93,6,1,96,87,10,3,92,77,18,5,90,70,25,5,88,,2229,545,24,10/01/2022,09/30/2023
030011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,PIMA,(520) 873-3000,92,6,2,95,88,9,3,93,75,19,6,90,72,23,5,89,,1570,440,28,10/01/2022,09/30/2023
030023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,COCONINO,(928) 779-3366,96,4,0,98,91,7,2,95,81,16,3,93,78,21,1,92,,1393,334,24,10/01/2022,09/30/2023
030030,ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015,MARICOPA,(602) 249-0212,95,3,2,97,86,11,3,92,74,20,6,90,69,24,7,86,,1655,275,17,10/01/2022,09/30/2023
030043,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,SIERRA VISTA,AZ,85635,COCHISE,(520) 263-2000,,,,,,,,,,,,,,,,,4,,,,,
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,AZ,85901,NAVAJO,(928) 537-4375,98,2,0,99,92,7,1,96,84,15,1,94,77,21,2,92,,2459,581,25,10/01/2022,09/30/2023
030069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CITY,AZ,86403,MOHAVE,(928) 855-8185,,,,,,,,,,,,,,,,,4,,,,,
030083,ABRAZO SCOTTSDALE CAMPUS,3929 EAST BELL ROAD,PHOENIX,AZ,85032,MARICOPA,(602) 923-5609,97,3,0,98,92,6,2,95,82,16,2,93,81,16,3,92,,1557,389,25,10/01/2022,09/30/2023
030094,ABRAZO ARROWHEAD HOSPITAL,18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308,MARICOPA,(623) 561-1000,94,5,1,97,85,12,3,91,77,15,8,90,75,20,5,89,,2013,461,23,10/01/2022,09/30/2023
030107,ARIZONA SPINE AND JOINT HOSPITAL,4620 EAST BASELINE ROAD,MESA,AZ,85206,MARICOPA,(480) 832-4770,97,3,0,98,91,8,1,95,90,8,2,95,87,11,2,95,,2308,941,41,10/01/2022,09/30/2023
030108,THE CORE INSTITUTE SPECIALTY HOSP,6501 NORTH 19TH AVENUE,PHOENIX,AZ,85015,MARICOPA,(602) 795-6020,94,5,1,97,89,9,2,93,85,9,6,92,83,13,4,92,,2440,706,29,10/01/2022,09/30/2023
030110,ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,MARICOPA,(623) 882-1970,95,4,1,97,90,8,2,94,83,14,3,93,81,17,2,93,,1728,368,21,10/01/2022,09/30/2023
030112,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,"2905 WEST WARNER ROAD, SUITE 1",CHANDLER,AZ,85224,MARICOPA,(480) 603-9000,98,2,0,99,92,6,2,95,92,7,1,96,90,9,1,96,,1482,451,30,10/01/2022,09/30/2023
030117,VALLEY VIEW MEDICAL CENTER,5330 SOUTH HIGHWAY 95,FORT MOHAVE,AZ,86426,MOHAVE,(928) 788-2273,,,,,,,,,,,,,,,,,4,,,,,
030131,O.A.S.I.S. HOSPITAL,750 NORTH 40TH STREET,PHOENIX,AZ,85008,MARICOPA,(602) 797-7700,98,2,0,99,91,7,2,95,91,8,1,96,92,7,1,96,,1907,938,49,10/01/2022,09/30/2023
030138,WESTERN REGIONAL MEDICAL CENTER,14200 WEST CELEBRATE LIFE WAY,GOODYEAR,AZ,85338,MARICOPA,(623) 207-3000,98,2,0,99,93,6,1,96,94,4,2,97,92,7,1,97,,1669,465,28,10/01/2022,09/30/2023
031313,HOLY CROSS HOSPITAL,1171 WEST TARGET RANGE ROAD,NOGALES,AZ,85621,SANTA CRUZ,(520) 285-3000,96,3,1,98,97,2,1,98,85,8,7,94,85,9,6,93,3,154,21,14,10/01/2022,09/30/2023
040002,JOHNSON REGIONAL MEDICAL CENTER,1100 EAST POPLAR STREET,CLARKSVILLE,AR,72830,JOHNSON,(479) 754-5454,97,3,0,98,92,6,2,95,83,14,3,93,77,21,2,91,,1729,347,20,10/01/2022,09/30/2023
040014,WHITE COUNTY MEDICAL CENTER,3214 EAST RACE AVENUE,SEARCY,AR,72143,WHITE,(501) 278-3100,,,,,,,,,,,,,,,,,4,,,,,
040015,MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET,MENA,AR,71953,POLK,(479) 394-6100,97,3,0,99,93,6,1,96,87,9,4,93,75,22,3,90,,878,216,25,10/01/2022,09/30/2023
040017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET,HARRISON,AR,72601,BOONE,(870) 414-4000,97,3,0,98,90,7,3,94,75,23,2,92,68,30,2,88,,1467,401,27,10/01/2022,09/30/2023
040020,ST BERNARDS MEDICAL CENTER,225 E WASHIINGTON AVENUE,JONESBORO,AR,72401,CRAIGHEAD,(870) 972-4100,96,3,1,97,89,9,2,93,86,10,4,93,81,16,3,92,,1105,250,23,10/01/2022,09/30/2023
040041,ST MARYS REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET,RUSSELLVILLE,AR,72801,POPE,(479) 968-2841,,,,,,,,,,,,,,,,,4,,,,,
040051,DREW MEMORIAL HEALTH SYSTEM,778 SCOGIN DRIVE,MONTICELLO,AR,71655,DREW,(870) 367-2411,96,4,0,98,91,7,2,95,83,15,2,93,79,18,3,92,,1254,246,20,10/01/2022,09/30/2023
040069,GREAT RIVER MEDICAL CENTER,1520 N DIVISION STREET,BLYTHEVILLE,AR,72315,MISSISSIPPI,(870) 838-7300,95,4,1,97,88,8,4,92,66,29,5,89,75,19,6,89,3,490,75,16,10/01/2022,09/30/2023
040071,JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,PINE BLUFF,AR,71603,JEFFERSON,(870) 541-7100,96,3,1,98,89,9,2,93,76,20,4,92,73,25,2,90,,2788,527,19,10/01/2022,09/30/2023
040078,NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,HOT SPRINGS,AR,71901,GARLAND,(501) 321-1000,,,,,,,,,,,,,,,,,4,,,,,
040084,SALINE MEMORIAL HOSPITAL,#1 MEDICAL PARK DRIVE,BENTON,AR,72015,SALINE,(501) 776-6000,,,,,,,,,,,,,,,,,4,,,,,
040118,"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",4800 EAST JOHNSON AVENUE,JONESBORO,AR,72405,CRAIGHEAD,(870) 972-7000,97,2,1,98,93,6,1,96,87,12,1,95,86,11,3,94,,2114,396,19,10/01/2022,09/30/2023
040156,"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",2100 NORTH SEVENTH STREET,WEST MEMPHIS,AR,72301,CRITTENDEN,(870) 394-7800,98,2,0,99,95,4,1,97,96,4,0,98,97,3,0,99,,401,101,25,10/01/2022,09/30/2023
041328,CHICOT MEMORIAL MEDICAL CENTER,2729 SOUTH HIGHWAY 65 & 82,LAKE VILLAGE,AR,71653,CHICOT,(870) 265-5351,99,1,0,100,92,7,1,95,96,4,0,97,85,10,5,92,3,247,35,14,10/01/2022,09/30/2023
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,97,2,1,98,92,7,1,95,84,13,3,93,80,18,2,92,,2054,503,24,10/01/2022,09/30/2023
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,(707) 252-4411,97,3,0,99,92,7,1,95,86,12,2,95,84,14,2,93,,1459,399,27,10/01/2022,09/30/2023
050026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE,LA MESA,CA,91942,SAN DIEGO,(619) 465-0711,97,2,1,98,89,9,2,94,85,12,3,94,84,14,2,93,,9723,2318,24,10/01/2022,09/30/2023
050039,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,95926,BUTTE,(530) 332-7300,96,3,1,97,87,10,3,92,81,16,3,93,87,12,1,95,,9685,866,10,10/01/2022,09/30/2023
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,(951) 845-1121,97,3,0,98,90,9,1,94,81,16,3,93,80,18,2,92,,803,176,22,10/01/2022,09/30/2023
050063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,LOS ANGELES,CA,90027,LOS ANGELES,(213) 413-3000,91,7,2,95,85,12,3,91,78,15,7,91,73,21,6,88,,2890,471,16,10/01/2022,09/30/2023
050069,PROVIDENCE ST. JOSEPH HOSPITAL,1100 WEST STEWART DR,ORANGE,CA,92868,ORANGE,(714) 633-9111,97,3,0,98,87,10,3,92,87,11,2,95,86,12,2,94,,3299,840,25,10/01/2022,09/30/2023
050070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,(650) 742-3200,96,3,1,98,93,6,1,96,85,12,3,94,84,13,3,93,,2655,946,36,10/01/2022,09/30/2023
050071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,SANTA CLARA,(408) 236-6400,96,3,1,98,92,7,1,95,88,10,2,95,86,12,2,94,,4916,1827,37,10/01/2022,09/30/2023
050072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1425 S MAIN STREET,WALNUT CREEK,CA,94596,CONTRA COSTA,(925) 295-4000,96,3,1,98,92,7,1,95,86,12,2,95,85,12,3,94,,5694,2029,36,10/01/2022,09/30/2023
050073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,VALLEJO,CA,94589,SOLANO,(707) 651-1000,96,4,0,98,92,7,1,96,86,12,2,95,85,12,3,94,,2957,955,32,10/01/2022,09/30/2023
050075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,275 WEST MACARTHUR BOULEVARD,OAKLAND,CA,94611,ALAMEDA,(510) 752-1000,96,4,0,98,92,7,1,95,84,13,3,93,82,15,3,93,,6257,1993,32,10/01/2022,09/30/2023
050076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,2425 GEARY BLVD,SAN FRANCISCO,CA,94115,SAN FRANCISCO,(415) 833-2646,97,2,1,98,92,7,1,95,85,12,3,94,83,14,3,93,,2837,945,33,10/01/2022,09/30/2023
050077,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,SAN DIEGO,(619) 294-8111,96,3,1,98,90,8,2,94,83,13,4,93,81,16,3,92,,6979,1636,23,10/01/2022,09/30/2023
050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,SAN PEDRO,CA,90732,LOS ANGELES,(310) 832-3311,97,3,0,98,90,8,2,94,85,12,3,94,82,16,2,93,,1510,276,18,10/01/2022,09/30/2023
050090,SONOMA VALLEY HOSPITAL,347 ANDRIEUX ST,SONOMA,CA,95476,SONOMA,(707) 935-5000,96,4,0,98,90,8,2,94,82,15,3,93,77,21,2,92,,1276,368,29,10/01/2022,09/30/2023
050100,SHARP MEMORIAL HOSPITAL,7901 FROST ST,SAN DIEGO,CA,92123,SAN DIEGO,(858) 939-3400,97,3,0,98,91,7,2,95,89,9,2,95,88,10,2,95,,13683,3225,24,10/01/2022,09/30/2023
050112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,1250 16TH STREET,SANTA MONICA,CA,90404,LOS ANGELES,(310) 319-4000,96,4,0,98,94,5,1,96,90,8,2,95,87,12,1,95,,2063,400,19,10/01/2022,09/30/2023
050118,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH STREET,MANTECA,CA,95336,SAN JOAQUIN,(209) 823-3111,94,5,1,97,82,14,4,89,75,20,5,91,70,26,4,88,,1797,404,22,10/01/2022,09/30/2023
050122,DAMERON HOSPITAL,525 WEST ACACIA STREET,STOCKTON,CA,95203,SAN JOAQUIN,(209) 944-5550,,,,,,,,,,,,,,,,,4,,,,,
050136,PETALUMA VALLEY HOSPITAL,400 N MCDOWELL BLVD,PETALUMA,CA,94954,SONOMA,(707) 778-1111,97,3,0,98,92,6,2,95,84,13,3,93,81,16,3,92,,1518,464,31,10/01/2022,09/30/2023
050137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA ST,PANORAMA CITY,CA,91402,LOS ANGELES,(818) 375-2000,97,2,1,98,93,6,1,96,89,9,2,95,87,10,3,94,,2939,985,34,10/01/2022,09/30/2023
050138,KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BLVD,LOS ANGELES,CA,90027,LOS ANGELES,(323) 783-4011,96,3,1,98,93,6,1,96,87,11,2,95,85,12,3,93,,5674,1711,30,10/01/2022,09/30/2023
050139,KAISER FOUNDATION HOSPITAL - DOWNEY,9333 IMPERIAL HIGHWAY,DOWNEY,CA,90242,LOS ANGELES,(562) 461-6007,97,3,0,98,93,6,1,96,89,9,2,95,85,12,3,93,,7266,1843,25,10/01/2022,09/30/2023
050140,KAISER FOUNDATION HOSPITAL FONTANA/ONTARIO,9961 SIERRA AVE,FONTANA,CA,92335,SAN BERNARDINO,(909) 427-5500,95,4,1,97,93,6,1,96,90,8,2,95,86,11,3,94,,8661,2788,32,10/01/2022,09/30/2023
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,,,,,,,,,,,,,,,,,4,,,,,
050167,SAN JOAQUIN GENERAL HOSPITAL,500 W HOSPITAL ROAD,FRENCH CAMP,CA,95231,SAN JOAQUIN,(209) 468-6000,,,,,,,,,,,,,,,,,4,,,,,
050168,PROVIDENCE ST. JUDE MEDICAL CENTER,101 E VALENCIA MESA DRIVE,FULLERTON,CA,92835,ORANGE,(714) 992-3000,97,3,0,98,88,9,3,93,89,9,2,95,86,11,3,93,,1755,465,26,10/01/2022,09/30/2023
050174,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL,1165 MONTGOMERY DR,SANTA ROSA,CA,95405,SONOMA,(707) 525-5300,96,3,1,98,91,7,2,95,85,12,3,94,84,14,2,94,,1885,492,26,10/01/2022,09/30/2023
050179,EMANUEL MEDICAL CENTER,825 DELBON AVE,TURLOCK,CA,95382,STANISLAUS,(209) 667-4200,94,5,1,96,86,10,4,91,78,18,4,91,71,25,4,89,,2382,434,18,10/01/2022,09/30/2023
050180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,1601 YGNACIO VALLEY RD,WALNUT CREEK,CA,94598,CONTRA COSTA,(925) 939-3000,94,5,1,97,83,12,5,89,81,14,5,92,82,16,2,93,,1010,254,25,10/01/2022,09/30/2023
050204,PALMDALE REGIONAL MEDICAL CENTER,38600 MEDICAL CENTER DRIVE,PALMDALE,CA,93552,LOS ANGELES,(661) 382-5000,94,5,1,97,87,10,3,92,80,15,5,92,79,17,4,91,,2169,442,20,10/01/2022,09/30/2023
