"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Idaho,99,1,0,99,94,5,1,97,92,6,2,96,88,10,2,95,2888,787,27,04/01/2022,03/31/2023
Illinois,97,3,0,99,92,6,2,95,89,9,2,95,87,11,2,95,8705,2594,30,04/01/2022,03/31/2023
Indiana,97,3,0,99,91,7,2,95,89,9,2,95,85,13,2,94,11449,3916,34,04/01/2022,03/31/2023
Iowa,98,2,0,99,92,7,1,95,90,8,2,95,89,10,1,96,1233,509,41,04/01/2022,03/31/2023
Kansas,98,2,0,99,89,9,2,94,88,10,2,95,85,14,1,95,959,369,39,04/01/2022,03/31/2023
Kentucky,,,,,,,,,,,,,,,,,,,,,
Louisiana,98,2,0,99,92,7,1,96,90,9,1,96,88,11,1,95,3764,1136,30,04/01/2022,03/31/2023
Maine,99,1,0,99,94,5,1,97,92,7,1,96,91,7,2,96,889,284,32,04/01/2022,03/31/2023
Maryland,97,3,0,98,91,7,2,95,87,11,2,95,84,13,3,93,28606,7634,27,04/01/2022,03/31/2023
Massachusetts,96,3,1,98,91,8,1,95,87,11,2,94,85,13,2,94,1154,408,35,04/01/2022,03/31/2023
Michigan,97,3,0,99,89,9,2,94,90,8,2,95,88,11,1,95,11466,3232,29,04/01/2022,03/31/2023
Minnesota,99,1,0,99,94,5,1,96,90,8,2,95,85,13,2,94,5359,1636,31,04/01/2022,03/31/2023
Mississippi,97,3,0,99,93,4,3,95,91,7,2,95,89,8,3,95,2682,735,27,04/01/2022,03/31/2023
Missouri,97,3,0,98,92,6,2,95,90,8,2,95,87,11,2,95,22263,7023,32,04/01/2022,03/31/2023
Montana,98,1,1,99,92,7,1,95,90,9,1,96,87,12,1,95,2965,959,32,04/01/2022,03/31/2023
Nebraska,98,2,0,99,93,6,1,96,86,11,3,94,85,13,2,94,1054,362,34,04/01/2022,03/31/2023
Nevada,97,3,0,99,90,8,2,94,89,9,2,95,86,12,2,94,4030,839,21,04/01/2022,03/31/2023
New Hampshire,99,1,0,99,93,5,2,96,93,5,2,96,90,9,1,96,4889,1660,34,04/01/2022,03/31/2023
New Jersey,97,3,0,98,90,8,2,94,89,9,2,95,87,11,2,95,25217,7139,28,04/01/2022,03/31/2023
New Mexico,96,3,1,98,92,6,2,95,88,10,2,95,86,12,2,94,2649,751,28,04/01/2022,03/31/2023
New York,,,,,,,,,,,,,,,,,,,,,
North Carolina,97,3,0,98,92,6,2,95,90,8,2,95,88,11,1,96,7074,1236,18,04/01/2022,03/31/2023
North Dakota,98,2,0,99,94,5,1,96,91,8,1,96,89,11,0,96,504,200,40,04/01/2022,03/31/2023
Ohio,98,2,0,99,93,6,1,96,92,7,1,96,89,10,1,96,15571,4192,27,04/01/2022,03/31/2023
Oklahoma,97,3,0,99,90,7,3,93,88,10,2,95,86,12,2,95,1187,400,34,04/01/2022,03/31/2023
Oregon,97,3,0,98,91,8,1,95,86,12,2,94,84,14,2,94,15118,4684,31,04/01/2022,03/31/2023
Pennsylvania,98,2,0,99,93,6,1,96,92,7,1,96,90,9,1,96,16677,5845,35,04/01/2022,03/31/2023
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,,,,,,,,,,
South Carolina,97,3,0,99,92,6,2,95,90,8,2,96,88,10,2,95,4861,1717,35,04/01/2022,03/31/2023
South Dakota,,,,,,,,,,,,,,,,,,,,,
Tennessee,97,3,0,99,93,6,1,96,89,10,1,95,88,10,2,95,31439,7959,25,04/01/2022,03/31/2023
Texas,97,3,0,98,92,6,2,95,90,8,2,95,87,11,2,95,95794,21203,22,04/01/2022,03/31/2023
Utah,98,2,0,99,92,7,1,95,89,9,2,96,89,10,1,96,2840,753,27,04/01/2022,03/31/2023
Vermont,,,,,,,,,,,,,,,,,,,,,
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,98,2,0,99,93,6,1,96,91,8,1,96,88,11,1,95,12548,3855,31,04/01/2022,03/31/2023
Washington,97,3,0,99,92,7,1,96,89,10,1,95,86,13,1,95,26477,6797,26,04/01/2022,03/31/2023
West Virginia,,,,,,,,,,,,,,,,,,,,,
Wisconsin,98,2,0,99,92,7,1,95,90,9,1,95,91,8,1,97,2119,678,32,04/01/2022,03/31/2023
Wyoming,97,3,0,99,92,6,2,95,90,8,2,95,89,10,1,96,1984,665,34,04/01/2022,03/31/2023
