"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Nevada,94,5,1,97,87,10,3,92,82,14,4,92,80,16,4,92,18000,4227,23,04/01/2022,03/31/2023
New Hampshire,98,2,0,99,94,5,1,97,88,10,2,95,84,14,2,94,13337,4277,32,04/01/2022,03/31/2023
New Jersey,96,4,0,98,90,8,2,94,85,12,3,94,82,15,3,92,22212,5223,24,04/01/2022,03/31/2023
New Mexico,96,3,1,98,90,8,2,94,84,14,2,93,80,18,2,92,37901,8148,22,04/01/2022,03/31/2023
New York,96,4,0,98,91,7,2,94,83,14,3,93,79,19,2,92,121843,29259,24,04/01/2022,03/31/2023
North Carolina,97,3,0,98,93,6,1,96,86,12,2,94,83,15,2,93,83244,22542,27,04/01/2022,03/31/2023
North Dakota,97,3,0,99,93,6,1,96,80,17,3,92,73,25,2,90,12715,3699,29,04/01/2022,03/31/2023
Ohio,97,3,0,98,92,7,1,95,87,11,2,94,82,16,2,93,178067,44613,25,04/01/2022,03/31/2023
Oklahoma,97,3,0,98,92,6,2,95,88,10,2,95,86,13,1,95,47914,12121,25,04/01/2022,03/31/2023
Oregon,97,3,0,98,91,8,1,95,84,14,2,94,82,16,2,93,21534,5459,26,04/01/2022,03/31/2023
Pennsylvania,97,3,0,99,92,7,1,95,88,10,2,94,84,14,2,94,76908,23350,31,04/01/2022,03/31/2023
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,99,1,0,99,91,7,2,95,91,8,1,96,92,7,1,97,1428,421,30,04/01/2022,03/31/2023
South Carolina,96,4,0,98,91,7,2,95,84,13,3,93,80,18,2,92,23381,5853,25,04/01/2022,03/31/2023
South Dakota,98,2,0,99,92,7,1,96,85,13,2,94,86,13,1,95,16503,2892,18,04/01/2022,03/31/2023
Tennessee,96,4,0,98,91,7,2,95,84,13,3,94,80,18,2,92,62969,14380,23,04/01/2022,03/31/2023
Texas,97,3,0,98,92,6,2,95,87,11,2,95,85,13,2,94,123014,26197,22,04/01/2022,03/31/2023
Utah,97,3,0,98,92,7,1,95,88,10,2,95,86,12,2,94,76924,17080,22,04/01/2022,03/31/2023
Vermont,98,2,0,99,92,7,1,95,86,12,2,94,84,15,1,94,15287,4493,30,04/01/2022,03/31/2023
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,97,3,0,98,92,7,1,95,87,11,2,94,82,16,2,93,71016,17385,25,04/01/2022,03/31/2023
Washington,96,4,0,98,91,7,2,95,83,15,2,93,81,17,2,93,72309,17149,24,04/01/2022,03/31/2023
West Virginia,97,3,0,98,92,7,1,96,83,15,2,93,79,19,2,92,34750,8200,24,04/01/2022,03/31/2023
Wisconsin,98,2,0,99,92,7,1,96,85,13,2,94,81,17,2,93,52338,17128,34,04/01/2022,03/31/2023
Wyoming,97,3,0,99,93,6,1,96,84,13,3,93,81,17,2,92,4991,1118,25,04/01/2022,03/31/2023
