"Facility Name","Facility ID","NPI","City/Town","State","ZIP Code","Year","ASC-9 Rate","ASC-9 Footnote","ASC-11 Rate","ASC-11 Footnote","ASC-12 Total Cases","ASC-12 Performance Category","ASC-12 RSHV Rate","ASC-12 Interval Lower Limit","ASC-12 Interval Upper Limit","ASC-12 Footnote","ASC-13 Rate","ASC-13 Footnote","ASC-14 Rate","ASC-14 Footnote","ASC-17 Total Cases","ASC-17 Performance Category","ASC-17 RSHV Rate","ASC-17 Interval Lower Limit","ASC-17 Interval Upper Limit","ASC-17 Footnote","ASC-18 Total Cases","ASC-18 Performance Category","ASC-18 RSHV Rate","ASC-18 Interval Lower Limit","ASC-18 Interval Upper Limit","ASC-18 Footnote","ASC-20 Sample","ASC-20 Rate","ASC-20 Footnote"
SPECIALTY ASC LLC,29C0001049,1003064890,LAS VEGAS,NV,89117,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,53,100,
WASC LLC DBA WOOSTER AMBULATORY SURGERY CENTER,36C0001248,1003079187,WOOSTER,OH,44691,2022,83.56,,N/A,5,376,No Different Than the National Rate,9.9,7.1,13.6,,100,,0,,108,No Different Than the National Rate,2.3,1.5,3.4,,44,No Different Than the National Rate,5.8,3.6,9.1,,,N/A,5
WASC LLC DBA WOOSTER AMBULATORY SURGERY CENTER,36C0001248,1003079187,WOOSTER,OH,44691,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,44,69.7,
NEW ALBANY SURGERY CENTER LLC,36C0001267,1003103474,NEW ALBANY,OH,43054,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.9,,N/A,5,228,No Different Than the National Rate,2.1,1.4,3.2,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
NEW ALBANY SURGERY CENTER LLC,36C0001267,1003103474,NEW ALBANY,OH,43054,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,84,95.2,
CITY PL SURGERY CENTER,26C0001033,1003110792,CREVE COUER,MO,63141,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,481,No Different Than the National Rate,2.1,1.5,3.1,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
CITY PL SURGERY CENTER,26C0001033,1003110792,CREVE COUER,MO,63141,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,88,96.6,
NORTHERN NJ ENDOSCOPY CENTER LLC,31C0001270,1003116823,NEWTON,NJ,7860,2022,31.57,,N/A,5,916,No Different Than the National Rate,10.7,7.9,14.4,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
NORTHERN NJ ENDOSCOPY CENTER LLC,31C0001270,1003116823,NEWTON,NJ,7860,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,8,N/A,1
MOUNTAIN WEST SURGERY CENTER LLC,46C0001039,1003119470,BOUNTIFUL,UT,84010,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,0.23,,289,No Different Than the National Rate,2.1,1.4,3,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
MOUNTAIN WEST SURGERY CENTER LLC,46C0001039,1003119470,BOUNTIFUL,UT,84010,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,132,87.7,
MEMORIAL HERMANN ENDOSCOPY CENTER NORTH LOOP,45C0001363,1003127606,HOUSTON,TX,77018,2022,41.18,,N/A,5,322,No Different Than the National Rate,11.1,7.9,15.5,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
MEMORIAL HERMANN ENDOSCOPY CENTER NORTH LOOP,45C0001363,1003127606,HOUSTON,TX,77018,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,34,94.1,
NEWPORT PLAZA SURGERY CENTER,05C0001672,1003138736,COSTA MESA,CA,92627,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,46,No Different Than the National Rate,2.2,1.4,3.4,,60,No Different Than the National Rate,6,3.9,9.3,,,N/A,5
NEWPORT PLAZA SURGERY CENTER,05C0001672,1003138736,COSTA MESA,CA,92627,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,64,100,
PSA AMBULATORY SURGERY CENTER OF KILLEEN LLC,45C0001569,1003166844,KILLEEN,TX,76542,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,38,No Different Than the National Rate,2.2,1.4,3.3,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
PSA AMBULATORY SURGERY CENTER OF KILLEEN LLC,45C0001569,1003166844,KILLEEN,TX,76542,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,29,89.7,
CANDESCENT EYE HEALTH SURGICENTER LLC,22C0001007,1003168907,DARTMOUTH,MA,2747,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.67,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
CANDESCENT EYE HEALTH SURGICENTER LLC,22C0001007,1003168907,DARTMOUTH,MA,2747,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,22,86.4,
CENTRAL OHIO ENDOSCOPY CENTER LLC,36C0001284,1003220187,COLUMBUS,OH,43202,2022,89.13,,N/A,5,3519,No Different Than the National Rate,13.1,10,16.4,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
CENTRAL OHIO ENDOSCOPY CENTER LLC,36C0001284,1003220187,COLUMBUS,OH,43202,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,44,100,
NORTHWEST ENDO CENTER LLC,14C0001168,1003260498,ARLINGTON HEIGHTS,IL,60005,2022,100,,N/A,5,1274,No Different Than the National Rate,10.2,7.4,13.6,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
NORTHWEST ENDO CENTER LLC,14C0001168,1003260498,ARLINGTON HEIGHTS,IL,60005,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,41,100,
PAIN CENTERS OF MINNESOTA CHASKA,24C0001090,1003272980,CHASKA,MN,55318,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
PAIN CENTERS OF MINNESOTA CHASKA,24C0001090,1003272980,CHASKA,MN,55318,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,30,96.7,
GREAT LAKES SURGERY CTR LLC,23C0001131,1003273129,ST JOSEPH,MI,49085,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.41,,40,No Different Than the National Rate,2.2,1.4,3.4,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
GREAT LAKES SURGERY CTR LLC,23C0001131,1003273129,ST JOSEPH,MI,49085,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,23,95.7,
CENTER FOR SOUTHSIDE SURGERY,15C0001199,1003292483,GREENWOOD,IN,46143,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
CENTER FOR SOUTHSIDE SURGERY,15C0001199,1003292483,GREENWOOD,IN,46143,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,14,88.3,
DESERT VISTA SURGICAL CENTER,03C0001439,1003332883,SCOTTSDALE,AZ,85258,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
DESERT VISTA SURGICAL CENTER,03C0001439,1003332883,SCOTTSDALE,AZ,85258,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
NEPHROLOGY PHYSICIANS LLC DBA AZURA SURGERY CENTER MICHIANA VASCULAR,15C0001203,1003357377,MISHAWAKA,IN,19355,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
NEPHROLOGY PHYSICIANS LLC DBA AZURA SURGERY CENTER MICHIANA VASCULAR,15C0001203,1003357377,MISHAWAKA,IN,19355,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,19,78.9,
RIVERVIEW SURGICAL CENTER LLC,28C0001065,1003374711,SOUTH SIOUX CITY,NE,68776,2022,N/A,1,N/A,5,N/A,N/A,N/A,N/A,N/A,5,98.96,,0,,123,No Different Than the National Rate,2.1,1.4,3.2,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
RIVERVIEW SURGICAL CENTER LLC,28C0001065,1003374711,SOUTH SIOUX CITY,NE,68776,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,49,75.7,
BEVERLY HILLS ENDOSURGICAL CENTER LLC,05C0002277,1003437336,BEVERLY HILLS,CA,90211,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,96.71,,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
BEVERLY HILLS ENDOSURGICAL CENTER LLC,05C0002277,1003437336,BEVERLY HILLS,CA,90211,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
MINNESOTA EYE INSTITUTE SURGERY CENTER LLC,24C0001043,1003802950,ALEXANDRIA,MN,56308,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
MINNESOTA EYE INSTITUTE SURGERY CENTER LLC,24C0001043,1003802950,ALEXANDRIA,MN,56308,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,15,72.7,
LAKEVIEW SURGERY CENTER,16C0001014,1003807835,WEST DES MOINES,IA,50266,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.22,,N/A,5,177,No Different Than the National Rate,2.2,1.5,3.3,,41,No Different Than the National Rate,5,3,8.1,,,N/A,5
LAKEVIEW SURGERY CENTER,16C0001014,1003807835,WEST DES MOINES,IA,50266,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,266,89.5,
UNIVERSITY SURGERY CENTER LTD,10C0001203,1003813221,WINTER PARK,FL,32792,2022,94.74,,N/A,5,755,No Different Than the National Rate,9.8,7.2,13.3,,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
UNIVERSITY SURGERY CENTER LTD,10C0001203,1003813221,WINTER PARK,FL,32792,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,59,94.9,
DOTHAN SURGERY CENTER LLC,01C0001039,1003815242,DOTHAN,AL,36301,2022,83.33,,N/A,5,3033,No Different Than the National Rate,11,8.8,13.9,,98.96,,0.1,,278,No Different Than the National Rate,2.4,1.6,3.6,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
DOTHAN SURGERY CENTER LLC,01C0001039,1003815242,DOTHAN,AL,36301,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,81.3,
SAGAMORE SURGICAL SERVICES INC,15C0001041,1003816307,LAFAYETTE,IN,47909,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SAGAMORE SURGICAL SERVICES INC,15C0001041,1003816307,LAFAYETTE,IN,47909,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,15,71,
NORTHRIDGE FACIAL PLASTIC SURGERY MEDICAL GROUP,05C0001366,1003824434,NORTHRIDGE,CA,91325,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,1,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
NORTHRIDGE FACIAL PLASTIC SURGERY MEDICAL GROUP,05C0001366,1003824434,NORTHRIDGE,CA,91325,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,6,N/A,1
SUMMIT SURGERY CENTER LLC,19C0001097,1003842527,COVINGTON,LA,70433,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SUMMIT SURGERY CENTER LLC,19C0001097,1003842527,COVINGTON,LA,70433,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,17,80.8,
AMBULATORY CENTER FOR ENDOSCOPY LLC,31C0001203,1003842626,NORTH BERGEN,NJ,7047,2022,75.44,,N/A,5,612,No Different Than the National Rate,11.7,8.7,15.9,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
AMBULATORY CENTER FOR ENDOSCOPY LLC,31C0001203,1003842626,NORTH BERGEN,NJ,7047,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,22,100,
WESTSIDE OUTPATIENT CENTER LLC,10C0001355,1003847500,ROYAL PALM BEACH,FL,33411,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,76,No Different Than the National Rate,2.1,1.3,3.1,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
WESTSIDE OUTPATIENT CENTER LLC,10C0001355,1003847500,ROYAL PALM BEACH,FL,33411,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,57,79.1,
SILVER SPRING OPHTHALMOLOGY LLC,21C0001177,1003853136,SILVER SPRING,MD,20910,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,0.82,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SILVER SPRING OPHTHALMOLOGY LLC,21C0001177,1003853136,SILVER SPRING,MD,20910,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,27,100,
OHIO EYE ASSOCIATES INC,36C0001024,1003855594,MANSFIELD,OH,44906,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.04,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
OHIO EYE ASSOCIATES INC,36C0001024,1003855594,MANSFIELD,OH,44906,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,96,71.9,
PIEDMONT ENDOSCOPY CENTER INC,34C0001028,1003858721,WINSTON SALEM,NC,27103,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
PIEDMONT ENDOSCOPY CENTER INC,34C0001028,1003858721,WINSTON SALEM,NC,27103,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,63,90.5,
SURGERY CENTER OF PINEHURST,34C0001114,1003860917,PINEHURST,NC,28374,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,98.74,,0.15,,416,No Different Than the National Rate,2.1,1.5,3.1,,192,No Different Than the National Rate,4.6,3,6.8,,,N/A,5
SURGERY CENTER OF PINEHURST,34C0001114,1003860917,PINEHURST,NC,28374,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,203,88.8,
PHYSICIANS SURGERY CENTER OF CHATTANOOGA LLC DBA PHYSICIANS SURGERY CENTER OF CHATTANOOGA,44C0001060,1003861998,CHATTANOOGA,TN,37412,2022,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,100,,0.21,,39,No Different Than the National Rate,2,1.3,3.1,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
PHYSICIANS SURGERY CENTER OF CHATTANOOGA LLC DBA PHYSICIANS SURGERY CENTER OF CHATTANOOGA,44C0001060,1003861998,CHATTANOOGA,TN,37412,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,107,79.4,
PINELLAS SURGERY CENTER LTD DBA CENTER FOR SPECIAL SURGERY,10C0001250,1003870825,SAINT PETERSBURG,FL,33703,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,250,No Different Than the National Rate,2,1.3,2.9,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
PINELLAS SURGERY CENTER LTD DBA CENTER FOR SPECIAL SURGERY,10C0001250,1003870825,SAINT PETERSBURG,FL,33703,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,34,82.3,
MEMPHIS SURGERY CENTER,44C0001004,1003871104,MEMPHIS,TN,38119,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,0.15,,83,No Different Than the National Rate,2,1.3,3.1,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
MEMPHIS SURGERY CENTER,44C0001004,1003871104,MEMPHIS,TN,38119,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,124,89,
WILDCREEK SURGERY CENTER,29C0001035,1003875873,SPARKS,NV,89431,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.47,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
WILDCREEK SURGERY CENTER,29C0001035,1003875873,SPARKS,NV,89431,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,16,100,
CENTRAL TEXAS ENDOSCOPY CENTER LLC,45C0001265,1003887225,BRYAN,TX,77802,2022,90.91,,N/A,5,2283,No Different Than the National Rate,9.9,7.6,12.8,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
CENTRAL TEXAS ENDOSCOPY CENTER LLC,45C0001265,1003887225,BRYAN,TX,77802,2022_Q4,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,41,78,
AUSTIN ENDOSCOPY CENTER II LP,45C0001295,1003887845,AUSTIN,TX,78745,2022,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
