"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Michigan,97,3,0,99,90,8,2,94,91,7,2,96,89,10,1,96,11567,3199,28,07/01/2022,06/30/2023
Minnesota,98,2,0,99,92,7,1,96,91,7,2,95,87,12,1,95,10663,3484,33,07/01/2022,06/30/2023
Mississippi,98,2,0,99,94,4,2,96,93,6,1,96,91,7,2,96,3243,991,31,07/01/2022,06/30/2023
Missouri,97,3,0,98,92,7,1,95,89,9,2,95,87,11,2,95,22277,6963,31,07/01/2022,06/30/2023
Montana,98,1,1,99,92,7,1,95,89,9,2,95,88,11,1,95,3001,962,32,07/01/2022,06/30/2023
Nebraska,98,2,0,99,93,6,1,96,86,11,3,94,84,15,1,94,1223,416,34,07/01/2022,06/30/2023
Nevada,97,3,0,99,90,8,2,94,89,9,2,95,85,13,2,94,3976,839,21,07/01/2022,06/30/2023
New Hampshire,99,1,0,99,93,6,1,96,93,6,1,96,89,10,1,96,5203,1754,34,07/01/2022,06/30/2023
New Jersey,97,3,0,99,91,7,2,94,89,9,2,95,88,11,1,95,25558,7115,28,07/01/2022,06/30/2023
New Mexico,96,3,1,98,91,7,2,94,88,10,2,95,85,14,1,94,3870,1023,26,07/01/2022,06/30/2023
New York,,,,,,,,,,,,,,,,,,,,,
North Carolina,98,2,0,99,91,7,2,95,89,9,2,96,88,10,2,96,7665,1442,19,07/01/2022,06/30/2023
North Dakota,98,2,0,99,95,4,1,97,91,8,1,96,90,9,1,96,543,218,40,07/01/2022,06/30/2023
Ohio,98,2,0,99,93,6,1,96,92,7,1,96,90,9,1,96,17829,4669,26,07/01/2022,06/30/2023
Oklahoma,97,3,0,98,89,8,3,93,88,10,2,95,84,15,1,94,1162,390,34,07/01/2022,06/30/2023
Oregon,97,3,0,98,91,7,2,95,87,11,2,94,84,14,2,94,15358,4845,32,07/01/2022,06/30/2023
Pennsylvania,98,2,0,99,93,6,1,96,92,7,1,96,89,10,1,96,17236,6062,35,07/01/2022,06/30/2023
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,,,,,,,,,,
South Carolina,97,3,0,99,92,6,2,95,91,7,2,96,88,10,2,95,4950,1721,35,07/01/2022,06/30/2023
South Dakota,,,,,,,,,,,,,,,,,,,,,
Tennessee,98,2,0,99,93,6,1,96,91,8,1,96,89,10,1,96,36684,9482,26,07/01/2022,06/30/2023
Texas,97,3,0,98,91,7,2,95,89,9,2,95,87,11,2,95,97533,21186,22,07/01/2022,06/30/2023
Utah,98,2,0,99,93,5,2,96,89,8,3,95,88,10,2,95,2868,784,27,07/01/2022,06/30/2023
Vermont,,,,,,,,,,,,,,,,,,,,,
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,98,2,0,99,92,7,1,96,91,8,1,96,89,10,1,96,12127,3827,32,07/01/2022,06/30/2023
Washington,98,2,0,99,92,7,1,96,89,9,2,95,87,12,1,95,31569,7907,25,07/01/2022,06/30/2023
West Virginia,,,,,,,,,,,,,,,,,,,,,
Wisconsin,98,2,0,99,92,6,2,95,90,9,1,96,88,11,1,96,2020,640,32,07/01/2022,06/30/2023
Wyoming,98,2,0,99,91,7,2,95,91,7,2,96,90,9,1,96,1859,638,34,07/01/2022,06/30/2023
