"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
North Carolina,97,3,0,99,92,7,1,96,87,11,2,94,84,14,2,94,153287,38766,25,07/01/2019,12/31/2020
North Dakota,96,4,0,98,90,8,2,95,78,18,4,92,72,26,2,90,6532,2037,31,07/01/2019,12/31/2020
Ohio,97,3,0,99,91,7,2,95,86,12,2,94,82,16,2,93,163028,41667,26,07/01/2019,12/31/2020
Oklahoma,97,3,0,99,92,6,2,95,88,10,2,95,86,12,2,94,49929,12056,24,07/01/2019,12/31/2020
Oregon,97,3,0,98,91,7,2,95,86,12,2,94,84,14,2,94,21579,6097,29,07/01/2019,12/31/2020
Pennsylvania,97,3,0,98,91,7,2,95,86,12,2,94,83,15,2,94,108171,29980,28,07/01/2019,12/31/2020
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,96,3,1,98,90,7,3,93,84,13,3,94,85,13,2,94,16974,4139,25,07/01/2019,12/31/2020
South Carolina,96,4,0,98,91,7,2,95,85,12,3,94,81,17,2,93,17022,4385,26,07/01/2019,12/31/2020
South Dakota,97,2,1,98,91,7,2,94,84,14,2,94,85,14,1,94,13990,3045,22,07/01/2019,12/31/2020
Tennessee,97,3,0,98,92,6,2,95,85,12,3,94,84,14,2,94,59878,14618,24,07/01/2019,12/31/2020
Texas,97,3,0,98,92,6,2,95,88,10,2,95,86,12,2,94,77932,17941,24,07/01/2019,12/31/2020
Utah,97,3,0,98,91,8,1,95,88,10,2,95,86,12,2,94,68495,16000,23,07/01/2019,12/31/2020
Vermont,98,2,0,99,92,6,2,95,85,13,2,94,83,15,2,93,13050,4012,32,07/01/2019,12/31/2020
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,97,3,0,98,93,6,1,96,86,12,2,94,82,16,2,93,37517,9235,25,07/01/2019,12/31/2020
Washington,97,3,0,98,91,8,1,95,83,14,3,93,82,16,2,93,67387,17799,27,07/01/2019,12/31/2020
West Virginia,97,3,0,98,91,7,2,95,82,16,2,93,80,18,2,93,21939,5554,25,07/01/2019,12/31/2020
Wisconsin,98,2,0,99,91,8,1,95,87,11,2,94,82,17,1,93,57154,19438,35,07/01/2019,12/31/2020
Wyoming,98,2,0,99,93,5,2,96,85,13,2,94,82,17,1,93,5004,1118,24,07/01/2019,12/31/2020
