"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date"
CO,PSI_14,Postoperative wound dehiscence rate,0,44,0,5,,07/01/2018,12/31/2019
CO,PSI_15,Abdominopelvic accidental puncture or laceration rate,1,47,0,1,,07/01/2018,12/31/2019
CO,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1,51,0,Not Available,,07/01/2018,12/31/2019
CT,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,24,1,2,,04/01/2017,10/02/2019
CT,MORT_30_AMI,Death rate for heart attack patients,0,23,0,6,,07/01/2017,12/01/2019
CT,MORT_30_CABG,Death rate for CABG surgery patients,0,9,0,1,,07/01/2017,12/01/2019
CT,MORT_30_COPD,Death rate for COPD patients,1,28,0,0,,07/01/2017,12/01/2019
CT,MORT_30_HF,Death rate for heart failure patients,0,27,1,2,,07/01/2017,12/01/2019
CT,MORT_30_PN,Death rate for pneumonia patients,1,25,3,1,,07/01/2017,12/01/2019
CT,MORT_30_STK,Death rate for stroke patients,1,23,1,3,,07/01/2017,12/01/2019
CT,PSI_03,Pressure ulcer rate,1,27,1,2,,07/01/2018,12/31/2019
CT,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,18,0,8,,07/01/2018,12/31/2019
CT,PSI_06,Iatrogenic pneumothorax rate,0,29,0,2,,07/01/2018,12/31/2019
CT,PSI_08,In-hospital fall with hip fracture rate,0,29,0,2,,07/01/2018,12/31/2019
CT,PSI_09,Perioperative hemorrhage or hematoma rate,0,28,0,0,,07/01/2018,12/31/2019
CT,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,25,0,2,,07/01/2018,12/31/2019
CT,PSI_11,Postoperative respiratory failure rate,0,25,0,2,,07/01/2018,12/31/2019
CT,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,28,0,0,,07/01/2018,12/31/2019
CT,PSI_13,Postoperative sepsis rate,1,24,0,2,,07/01/2018,12/31/2019
CT,PSI_14,Postoperative wound dehiscence rate,0,26,0,2,,07/01/2018,12/31/2019
CT,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,28,0,0,,07/01/2018,12/31/2019
CT,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0,31,0,Not Available,,07/01/2018,12/31/2019
DC,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,6,0,2,,04/01/2017,10/02/2019
DC,MORT_30_AMI,Death rate for heart attack patients,0,6,0,2,,07/01/2017,12/01/2019
DC,MORT_30_CABG,Death rate for CABG surgery patients,0,1,1,1,,07/01/2017,12/01/2019
DC,MORT_30_COPD,Death rate for COPD patients,0,8,0,0,,07/01/2017,12/01/2019
DC,MORT_30_HF,Death rate for heart failure patients,0,7,1,0,,07/01/2017,12/01/2019
DC,MORT_30_PN,Death rate for pneumonia patients,1,7,0,0,,07/01/2017,12/01/2019
DC,MORT_30_STK,Death rate for stroke patients,0,7,0,0,,07/01/2017,12/01/2019
DC,PSI_03,Pressure ulcer rate,3,5,0,0,,07/01/2018,12/31/2019
DC,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,5,0,3,,07/01/2018,12/31/2019
DC,PSI_06,Iatrogenic pneumothorax rate,0,8,0,0,,07/01/2018,12/31/2019
DC,PSI_08,In-hospital fall with hip fracture rate,0,8,0,0,,07/01/2018,12/31/2019
DC,PSI_09,Perioperative hemorrhage or hematoma rate,0,8,0,0,,07/01/2018,12/31/2019
DC,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,7,0,1,,07/01/2018,12/31/2019
DC,PSI_11,Postoperative respiratory failure rate,0,7,0,1,,07/01/2018,12/31/2019
DC,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,2,6,0,0,,07/01/2018,12/31/2019
DC,PSI_13,Postoperative sepsis rate,1,6,0,1,,07/01/2018,12/31/2019
DC,PSI_14,Postoperative wound dehiscence rate,0,7,0,1,,07/01/2018,12/31/2019
DC,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,8,0,0,,07/01/2018,12/31/2019
DC,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,3,5,0,Not Available,,07/01/2018,12/31/2019
DE,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,6,0,0,,04/01/2017,10/02/2019
DE,MORT_30_AMI,Death rate for heart attack patients,0,6,0,1,,07/01/2017,12/01/2019
DE,MORT_30_CABG,Death rate for CABG surgery patients,0,3,0,0,,07/01/2017,12/01/2019
DE,MORT_30_COPD,Death rate for COPD patients,0,7,0,0,,07/01/2017,12/01/2019
DE,MORT_30_HF,Death rate for heart failure patients,0,7,0,0,,07/01/2017,12/01/2019
DE,MORT_30_PN,Death rate for pneumonia patients,0,6,1,0,,07/01/2017,12/01/2019
DE,MORT_30_STK,Death rate for stroke patients,0,6,0,0,,07/01/2017,12/01/2019
DE,PSI_03,Pressure ulcer rate,3,4,0,0,,07/01/2018,12/31/2019
DE,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,5,0,1,,07/01/2018,12/31/2019
DE,PSI_06,Iatrogenic pneumothorax rate,0,7,0,0,,07/01/2018,12/31/2019
DE,PSI_08,In-hospital fall with hip fracture rate,0,7,0,0,,07/01/2018,12/31/2019
DE,PSI_09,Perioperative hemorrhage or hematoma rate,0,7,0,0,,07/01/2018,12/31/2019
DE,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,6,0,1,,07/01/2018,12/31/2019
DE,PSI_11,Postoperative respiratory failure rate,1,5,0,1,,07/01/2018,12/31/2019
DE,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1,6,0,0,,07/01/2018,12/31/2019
DE,PSI_13,Postoperative sepsis rate,0,6,0,1,,07/01/2018,12/31/2019
DE,PSI_14,Postoperative wound dehiscence rate,0,6,0,1,,07/01/2018,12/31/2019
DE,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,7,0,0,,07/01/2018,12/31/2019
DE,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,2,5,0,Not Available,,07/01/2018,12/31/2019
FL,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,3,136,6,24,,04/01/2017,10/02/2019
FL,MORT_30_AMI,Death rate for heart attack patients,1,146,1,32,,07/01/2017,12/01/2019
FL,MORT_30_CABG,Death rate for CABG surgery patients,1,63,0,13,,07/01/2017,12/01/2019
FL,MORT_30_COPD,Death rate for COPD patients,4,172,3,9,,07/01/2017,12/01/2019
FL,MORT_30_HF,Death rate for heart failure patients,7,156,12,11,,07/01/2017,12/01/2019
FL,MORT_30_PN,Death rate for pneumonia patients,21,143,19,5,,07/01/2017,12/01/2019
FL,MORT_30_STK,Death rate for stroke patients,7,129,4,36,,07/01/2017,12/01/2019
FL,PSI_03,Pressure ulcer rate,11,159,2,1,,07/01/2018,12/31/2019
FL,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,102,6,56,,07/01/2018,12/31/2019
FL,PSI_06,Iatrogenic pneumothorax rate,0,172,0,1,,07/01/2018,12/31/2019
FL,PSI_08,In-hospital fall with hip fracture rate,0,172,0,1,,07/01/2018,12/31/2019
FL,PSI_09,Perioperative hemorrhage or hematoma rate,3,163,0,4,,07/01/2018,12/31/2019
FL,PSI_10,Postoperative acute kidney injury requiring dialysis rate,2,148,1,12,,07/01/2018,12/31/2019
FL,PSI_11,Postoperative respiratory failure rate,2,148,1,14,,07/01/2018,12/31/2019
FL,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,4,161,1,4,,07/01/2018,12/31/2019
FL,PSI_13,Postoperative sepsis rate,3,148,0,13,,07/01/2018,12/31/2019
FL,PSI_14,Postoperative wound dehiscence rate,0,161,0,8,,07/01/2018,12/31/2019
FL,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,168,0,2,,07/01/2018,12/31/2019
FL,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,9,162,2,Not Available,,07/01/2018,12/31/2019
GA,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,66,0,24,,04/01/2017,10/02/2019
GA,MORT_30_AMI,Death rate for heart attack patients,0,59,0,51,,07/01/2017,12/01/2019
GA,MORT_30_CABG,Death rate for CABG surgery patients,0,18,0,3,,07/01/2017,12/01/2019
GA,MORT_30_COPD,Death rate for COPD patients,2,95,0,35,,07/01/2017,12/01/2019
GA,MORT_30_HF,Death rate for heart failure patients,0,89,3,37,,07/01/2017,12/01/2019
GA,MORT_30_PN,Death rate for pneumonia patients,9,100,0,22,,07/01/2017,12/01/2019
GA,MORT_30_STK,Death rate for stroke patients,3,65,0,46,,07/01/2017,12/01/2019
GA,PSI_03,Pressure ulcer rate,5,96,0,2,,07/01/2018,12/31/2019
GA,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,47,0,28,,07/01/2018,12/31/2019
GA,PSI_06,Iatrogenic pneumothorax rate,0,101,0,2,,07/01/2018,12/31/2019
GA,PSI_08,In-hospital fall with hip fracture rate,0,101,0,1,,07/01/2018,12/31/2019
GA,PSI_09,Perioperative hemorrhage or hematoma rate,0,85,0,7,,07/01/2018,12/31/2019
GA,PSI_10,Postoperative acute kidney injury requiring dialysis rate,1,73,0,7,,07/01/2018,12/31/2019
GA,PSI_11,Postoperative respiratory failure rate,4,70,0,7,,07/01/2018,12/31/2019
GA,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,5,80,0,7,,07/01/2018,12/31/2019
GA,PSI_13,Postoperative sepsis rate,2,70,0,9,,07/01/2018,12/31/2019
GA,PSI_14,Postoperative wound dehiscence rate,0,77,0,10,,07/01/2018,12/31/2019
GA,PSI_15,Abdominopelvic accidental puncture or laceration rate,1,84,0,9,,07/01/2018,12/31/2019
GA,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,5,98,0,Not Available,,07/01/2018,12/31/2019
GU,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Not Available,Not Available,Not Available,Not Available,5,04/01/2017,10/02/2019
GU,MORT_30_AMI,Death rate for heart attack patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019
GU,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019
GU,MORT_30_COPD,Death rate for COPD patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019
GU,MORT_30_HF,Death rate for heart failure patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019
GU,MORT_30_PN,Death rate for pneumonia patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019
GU,MORT_30_STK,Death rate for stroke patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019
GU,PSI_03,Pressure ulcer rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
GU,PSI_04,Death rate among surgical inpatients with serious treatable complications,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
GU,PSI_06,Iatrogenic pneumothorax rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
GU,PSI_08,In-hospital fall with hip fracture rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
GU,PSI_09,Perioperative hemorrhage or hematoma rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
GU,PSI_10,Postoperative acute kidney injury requiring dialysis rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
GU,PSI_11,Postoperative respiratory failure rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
GU,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
GU,PSI_13,Postoperative sepsis rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
GU,PSI_14,Postoperative wound dehiscence rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
GU,PSI_15,Abdominopelvic accidental puncture or laceration rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
GU,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
HI,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,10,0,1,,04/01/2017,10/02/2019
HI,MORT_30_AMI,Death rate for heart attack patients,0,8,0,5,,07/01/2017,12/01/2019
HI,MORT_30_CABG,Death rate for CABG surgery patients,0,2,0,4,,07/01/2017,12/01/2019
HI,MORT_30_COPD,Death rate for COPD patients,0,9,0,6,,07/01/2017,12/01/2019
HI,MORT_30_HF,Death rate for heart failure patients,0,12,0,2,,07/01/2017,12/01/2019
HI,MORT_30_PN,Death rate for pneumonia patients,0,12,0,4,,07/01/2017,12/01/2019
HI,MORT_30_STK,Death rate for stroke patients,0,10,0,3,,07/01/2017,12/01/2019
HI,PSI_03,Pressure ulcer rate,0,12,0,0,,07/01/2018,12/31/2019
HI,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,6,0,5,,07/01/2018,12/31/2019
HI,PSI_06,Iatrogenic pneumothorax rate,0,12,0,0,,07/01/2018,12/31/2019
HI,PSI_08,In-hospital fall with hip fracture rate,0,12,0,0,,07/01/2018,12/31/2019
HI,PSI_09,Perioperative hemorrhage or hematoma rate,0,11,0,1,,07/01/2018,12/31/2019
HI,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,11,0,0,,07/01/2018,12/31/2019
HI,PSI_11,Postoperative respiratory failure rate,0,11,0,0,,07/01/2018,12/31/2019
HI,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,11,0,1,,07/01/2018,12/31/2019
HI,PSI_13,Postoperative sepsis rate,0,11,0,0,,07/01/2018,12/31/2019
HI,PSI_14,Postoperative wound dehiscence rate,0,11,0,1,,07/01/2018,12/31/2019
HI,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,12,0,0,,07/01/2018,12/31/2019
HI,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0,12,0,Not Available,,07/01/2018,12/31/2019
