"Facility ID","Facility Name","Address","City","State","ZIP Code","County","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
03C0001302,PINNACLE SURGERY CENTER OF PEORIA LLC,6790 W. THUNDERBIRD RD.,PEORIA,AZ,85381,,(623) 979-1717,98,2,0,99,91,7,2,95,91,6,3,95,85,12,3,93,,728,187,26,07/01/2019,12/31/2020
03C0001305,DESERT RIDGE OUTPATIENT SURGERY CENTER,20940 NORTH TATUM BLVD SUITE 100,PHOENIX,AZ,85050,,(480) 502-4000,97,3,0,98,91,7,2,95,85,12,3,94,87,10,3,94,,935,306,33,07/01/2019,12/31/2020
03C0001356,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF GLENDALE,18555 NORTH 79TH AVE BUILDING C,GLENDALE,AZ,85308,,(623) 776-2500,97,3,0,98,91,8,1,95,93,5,2,96,92,6,2,96,,918,196,21,07/01/2019,12/31/2020
03C0001357,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF GILBERT,2450 EAST GUADALUPE RD SUITE 101,GILBERT,AZ,85234,,(480) 398-8456,98,2,0,99,93,5,2,96,91,8,1,96,86,12,2,94,,1069,261,24,07/01/2019,12/31/2020
03C0001395,ORTHOARIZONA SURGERY CENTER GILBERT,1675 EAST MELROSE ST SUITE 201,GILBERT,AZ,85297,,(480) 519-8100,,,,,,,,,,,,,,,,,4,,,,,
03C0001414,WESTGATE SURGERY CENTER,7730 NORTH 99TH AVE SUITE 100,GLENDALE,AZ,85307,,(623) 888-5500,,,,,,,,,,,,,,,,,4,,,,,
05C0001006,SAN GABRIEL VALLEY SURGICAL CENTER LP,1250 SOUTH SUNSET AVE SUITE 100,WEST COVINA,CA,91790,,(626) 960-6623,97,3,0,98,88,10,2,93,86,12,2,94,81,16,3,93,,1317,424,32,07/01/2019,12/31/2020
05C0001174,MISSION AMBULATORY SURGICENTER,26730 CROWN VALLEY PARKWAY SUITE 100,MISSION VIEJO,CA,92691,,(949) 364-2201,,,,,,,,,,,,,,,,,4,,,,,
05C0001198,HEALTHCARE PARTNER AMBULATORY SURGERY CENTER,"2600 REDONDO AVE, SUITE 103",LONG BEACH,CA,90806,,(562) 988-7162,95,4,1,97,90,8,2,94,83,14,3,93,80,16,4,91,,1524,465,31,07/01/2019,12/31/2020
05C0001205,NORTH ANAHEIM SURGERY CENTER LLC DBA UNITED PACIFIC SURGERY CENTER,1154 NORTH EUCLID ST,ANAHEIM,CA,92801,,(714) 635-6272,,,,,,,,,,,,,,,,,4,,,,,
05C0001321,EL MIRADOR SURGICAL CENTER,1180 N. INDIAN CANYON #110,PALM SPRINGS,CA,92262,,(469) 893-6573,95,5,0,97,89,8,3,93,87,10,3,95,83,14,3,93,,1110,350,32,07/01/2019,12/31/2020
05C0001447,COAST SURGERY CENTER LP,3445 PACIFIC COAST HWY SUITE 110,TORRANCE,CA,90505,,(310) 325-4555,96,4,0,98,90,7,3,94,91,7,2,95,84,13,3,93,,864,227,26,07/01/2019,12/31/2020
05C0001453,CHICO SURGERY CENTER LP,615 WEST EAST AVE,CHICO,CA,95926,,(530) 895-1800,,,,,,,,,,,,,,,,,4,,,,,
05C0001481,PAIN DIAGNOSTIC & TREATMENT CENTER,2805 J ST SUITE 200,SACRAMENTO,CA,95816,,(916) 231-8755,96,3,1,98,92,6,2,95,85,12,3,94,84,13,3,93,,1125,361,32,07/01/2019,12/31/2020
05C0001493,NORTH STATE SURGERY CENTERS LP DBA CT ST SURGERY CENTER,2184 CT ST,REDDING,CA,96001,,(530) 225-7417,98,2,0,99,89,9,2,94,88,9,3,95,90,8,2,95,,1091,381,35,07/01/2019,12/31/2020
05C0001505,MAGNOLIA SURGERY CENTER,14571 MAGNOLIA ST # 107,WESTMINSTER,CA,92683,,(714) 903-1390,95,4,1,97,89,9,2,93,77,19,4,91,77,18,5,90,,1239,312,25,07/01/2019,12/31/2020
05C0001508,AMBULATORY SURGERY CENTER OF STOCKTON,2388 N. CALIFORNIA ST.,STOCKTON,CA,95204,,(209) 944-9100,98,2,0,99,92,7,1,96,95,4,1,97,92,7,1,96,,1094,391,36,07/01/2019,12/31/2020
05C0001515,SEQUOIA SURGICAL PAVILION,"2405 SHADELANDS DR, SUITE 200",WALNUT CREEK,CA,94598,,(925) 280-3814,,,,,,,,,,,,,,,,,4,,,,,
05C0001529,SANTA BARBARA SURGERY CENTER,3045 DE LA VINA ST,SANTA BARBARA,CA,93105,,(805) 569-3226,97,3,0,98,87,11,2,93,86,13,1,95,86,12,2,94,,1081,415,38,07/01/2019,12/31/2020
05C0001534,FOLSOM OUTPATIENT SURGERY CENTER LP DBA FOLSOM SURGERY CENTER,1651 CREEKSIDE DR SUITE 100,FOLSOM,CA,95630,,(916) 673-1990,97,3,0,98,92,7,1,95,91,8,1,96,89,10,1,96,,1059,343,32,07/01/2019,12/31/2020
05C0001558,PACIFIC ENDO-SURGICAL CENTER LP,3445 PACIFIC COAST HWY SUITE 120,TORRANCE,CA,90505,,(310) 326-1666,98,2,0,99,88,9,3,92,86,12,2,93,79,18,3,92,,1278,390,31,07/01/2019,12/31/2020
05C0001571,UNIVERSITY SURGERY CENTER,1390 E. YOSEMITE AVE. STE. B,MERCED,CA,95340,,(209) 580-3409,96,4,0,98,88,8,4,92,86,12,2,94,87,10,3,94,,1328,317,24,07/01/2019,12/31/2020
05C0001572,ROSEVILLE SURGERY CENTER,1420 ROSEVILLE PARKWAY SUITE 100,ROSEVILLE,CA,95661,,(916) 677-2488,97,3,0,99,94,5,1,97,86,12,2,95,86,11,3,94,,855,257,30,07/01/2019,12/31/2020
05C0001596,TRESANTI SURGICAL CENTER LLC,"5201 NORRIS CANYON RD., # 100",SAN RAMON,CA,94583,,(925) 973-0605,98,2,0,99,93,6,1,96,95,4,1,97,94,5,1,98,,1000,343,34,07/01/2019,12/31/2020
05C0001604,PROCEDURE CENTER OF SOUTH SACRAMENTO INC,"8120 TIMBERLAKE WAY, STE. 103",SACRAMENTO,CA,95823,,(916) 681-2350,98,2,0,99,93,5,2,96,91,7,2,96,87,11,2,94,2,1582,399,25,07/01/2019,12/31/2020
05C0001643,NORTH STATE SURGERY CENTERS DBA MERCY SURGERY CENTER,2175 ROSALINE AVE SUITE A,REDDING,CA,96001,,(530) 245-4845,98,2,0,99,91,7,2,95,93,6,1,96,92,7,1,97,,915,344,38,07/01/2019,12/31/2020
05C0001711,ST JOSEPH'S SURGERY CENTER,1800 NORTH CALIFORNIA ST SUITE 1,STOCKTON,CA,95204,,(209) 467-6316,98,2,0,99,91,7,2,95,91,8,1,96,87,12,1,95,,814,245,30,07/01/2019,12/31/2020
05C0001719,SCRIPPS HEALTH,10010 CAMPUS POINT DR,SAN DIEGO,CA,92121,,(619) 743-5565,99,1,0,99,95,4,1,97,95,4,1,97,93,7,0,98,,2050,695,34,07/01/2019,12/31/2020
05C0001750,REAGAN ST SURGERY CENTER,10904 REAGAN ST,LOS ALAMITOS,CA,90720,,(562) 596-3140,98,2,0,99,90,8,2,94,89,9,2,95,86,13,1,95,,1077,372,35,07/01/2019,12/31/2020
05C0001756,ENCINITAS ENDOSCOPY CENTER LLC,"700 GARDEN VIEW CRT, STE. 101",ENCINITAS,CA,92024,,(760) 274-2700,98,2,0,99,92,6,2,95,92,6,2,96,92,7,1,97,,1109,345,31,07/01/2019,12/31/2020
05C0001757,GRASS VALLEY SURGERY CENTER,408 SIERRA COLLEGE DR,GRASS VALLEY,CA,95945,,(530) 271-2282,99,1,0,99,92,7,1,95,91,8,1,96,92,7,1,97,,968,382,39,07/01/2019,12/31/2020
05C0001764,COAST SURGERY CENTER LP,3445 PACIFIC COAST HWY #110,TORRANCE,CA,90505,,(310) 325-4555,98,2,0,99,91,7,2,95,91,8,1,95,90,8,2,96,,1378,406,30,07/01/2019,12/31/2020
05C0001803,PACIFIC ENDOSCOPY AND SURGERY CENTER LLC,17815 NEWHOPE ST SUITE R,FOUNTAIN VALLEY,CA,92708,,(714) 432-8881,95,4,1,97,92,6,2,95,83,16,1,94,80,18,2,92,,1203,262,22,07/01/2019,12/31/2020
05C0001840,OASIS SURGERY CENTER LP,815 AUTO CENTER DR.,PALMDALE,CA,93551,,(661) 206-6262,96,4,0,98,89,8,3,93,91,8,1,95,92,6,2,96,,1496,320,22,07/01/2019,12/31/2020
05C0001842,SCRIPPS ENCINITAS SURGERY CENTER LLC,320 SANTA FE DR  SUITE LL2,ENCINITAS,CA,92024,,(760) 632-3900,97,3,0,98,92,7,1,95,87,12,1,95,87,11,2,95,,1023,356,35,07/01/2019,12/31/2020
05C0001860,TALBERT SURGICAL ASSOCIATES,"7677 CENTER AVE, # 104",HUNTINGTON BEACH,CA,92647,,(714) 881-8722,95,4,1,97,87,9,4,91,80,17,3,92,75,21,4,90,,2253,573,25,07/01/2019,12/31/2020
05C0001863,HACIENDA OUTPATIENT SURGERY CENTER LLC DBA HACIENDA SURGERY CENTER,4626 WILLOW RD SUITE 100,PLEASANTON,CA,94588,,(925) 734-6744,97,3,0,98,93,6,1,96,90,8,2,95,89,9,2,95,,1091,385,35,07/01/2019,12/31/2020
05C0001879,SCRIPPS HEALTH,10010 CAMPUS POINT DR,SAN DIEGO,CA,92121,,(619) 743-5565,98,2,0,99,92,6,2,95,90,9,1,96,89,10,1,95,,3275,957,29,07/01/2019,12/31/2020
05C0001975,HUNTINGTON AMBULATORY SURGERY CENTER,625 SOUTH FAIR OAKS AVE SUITE 380,PASADENA,CA,91105,,(626) 229-8999,98,2,0,99,91,7,2,95,90,8,2,96,90,9,1,96,,1190,346,29,07/01/2019,12/31/2020
05C0002058,UC REGENTS UCLA DEPT OF MEDICINE PROFESSIONAL GROUP,25775 WEST MCBEAN PARKWAY SUITE 115,LOS ANGELES,CA,90095,,(661) 253-7956,95,4,1,97,88,9,3,93,79,16,5,91,77,19,4,90,,3402,798,23,07/01/2019,12/31/2020
05C0002196,VENTANA SURGICAL CENTER LLC,18133 VENTURA BLVD SUITE 400,ADDISON,CA,91356,,(818) 668-6200,,,,,,,,,,,,,,,,,4,,,,,
05C0002215,WEST COAST JOINT AND SPINE CENTER,8135 SARATOGA WAY,EL DORADO HILLS,CA,95762,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
06C0001028,KAISER PERMANENTE SURGERY CTR,2045 FRANKLIN ST,DENVER,CO,80205,,(303) 764-4420,97,2,1,98,92,7,1,96,85,13,2,94,83,15,2,93,,3464,1016,29,07/01/2019,12/31/2020
06C0001058,GOLDEN RIDGE SURGERY CENTER LLC,"660 GOLDEN RIDGE RD., STE. 110",GOLDEN,CO,80401,,(303) 963-1507,96,3,1,98,91,7,2,94,87,12,1,94,83,14,3,93,,957,315,33,07/01/2019,12/31/2020
06C0001079,SUMMIT VIEW SURGERY CENTER,7730 SOUTH BROADWAY,LITTLETON,CO,80122,,(303) 730-2376,98,2,0,99,91,7,2,95,86,11,3,94,83,15,2,94,,1174,284,24,07/01/2019,12/31/2020
06C0001080,FLATIRONS SURGERY CENTER LLC,70 HEALTH PARK DR,LOUISVILLE,CO,80027,,(720) 890-2721,97,3,0,99,90,8,2,94,90,7,3,95,85,13,2,94,,1360,315,23,07/01/2019,12/31/2020
06C0001085,CROWN POINT SURGERY CENTER LLC,9397 CROWN CREST BLVD,PARKER,CO,80138,,(720) 974-6499,97,2,1,98,91,8,1,95,93,5,2,96,89,10,1,96,,1216,306,25,07/01/2019,12/31/2020
06C0001110,HARVARD PARK SURGERY CENTER LLC,1000 EAST HARVARD AVE,DENVER,CO,80210,,(303) 778-5773,96,3,1,98,91,8,1,95,86,11,3,94,84,15,1,94,,1045,371,36,07/01/2019,12/31/2020
06C0001133,GREENWOOD ASC LLC DBA COLORADO PREMIER SURGERY CENTER AT GREENWOOD VILLAGE,7447 EAST BERRY AVE SUITE 100,GREENWOOD VILLAGE,CO,80111,,(720) 493-4115,97,3,0,99,89,9,2,94,86,11,3,94,82,15,3,93,,1499,348,23,07/01/2019,12/31/2020
06C0001145,KAISER PERMANENTE,10240 PARK MEADOWS DR,LONE TREE,CO,80108,,(303) 649-5628,98,2,0,99,93,6,1,96,91,8,1,96,88,10,2,95,,3887,1237,32,07/01/2019,12/31/2020
06C0001163,SOUTH DENVER SURGERY CENTER,300 EAST MINERAL AVE #9,LITTLETON,CO,80122,,(720) 360-3400,,,,,,,,,,,,,,,,,4,,,,,
06C0001164,GREENWOOD ASC LLC DBA COLORADO PREMIER SURGERY CENTER AT LAKEWOOD,355 UNION BLVD SUITE 10,LAKEWOOD,CO,80228,,(303) 689-8712,,,,,,,,,,,,,,,,,4,,,,,
07C0001048,NORTH HAVEN SURGERY CENTER LLC,52 WASHINGTON AVE SUITE 1,NORTH HAVEN,CT,06473,,(203) 234-7727,97,3,0,98,91,7,2,95,90,9,1,95,87,12,1,95,,714,194,27,07/01/2019,12/31/2020
10C0001025,SURGERY CENTER AT UNIVERSITY PARK LLC DBA PREMIER SURGERY CENTER OF SARASOTA,983 SOUTH BENEVA RD,SARASOTA,FL,34232,,(941) 365-5355,98,2,0,99,91,7,2,94,87,11,2,95,87,12,1,95,,1184,506,43,07/01/2019,12/31/2020
10C0001203,UNIVERSITY SURGERY CENTER LTD,7251 UNIVERSITY BLVD SUITE 100,WINTER PARK,FL,32792,,(407) 677-0066,98,2,0,99,94,5,1,97,94,6,0,97,91,8,1,96,,1187,336,28,07/01/2019,12/31/2020
10C0001214,THE OUTPATIENT CENTER OF BOYNTON BEACH,2351 SOUTH SEACREST BLVD,BOYNTON BEACH,FL,33435,,(561) 732-5900,97,3,0,98,88,9,3,92,85,12,3,94,86,11,3,94,,1178,352,30,07/01/2019,12/31/2020
10C0001264,TREASURE COAST SURGERY CENTER LLC DBA TREASURE COAST CENTER FOR SURGERY,1155 SOUTHEAST MONTEREY RD EXT,STUART,FL,34994,,(772) 286-8028,96,3,1,97,89,9,2,93,86,11,3,94,85,13,2,94,2,1420,554,39,07/01/2019,12/31/2020
10C0001293,WINTER HAVEN AMBULATORY SURGICAL CENTER LLC,325 AVE B NW,WINTER HAVEN,FL,33881,,(469) 893-6573,97,3,0,99,90,8,2,94,88,10,2,95,89,10,1,96,,929,314,34,07/01/2019,12/31/2020
10C0001302,TAMARAC SURGERY CENTER LLC DBA THE SURGERY CENTER OF FORT LAUDERDALE,4485 NORTH STATE RD 7,LAUDERDALE LAKES,FL,33319,,(954) 735-0096,97,2,1,98,86,9,5,90,82,15,3,93,82,15,3,92,,1394,364,26,07/01/2019,12/31/2020
10C0001308,UNIVERSITY EYE SURGERY CENTER,"13051 UNIVERSITY DR, STE. 102",FORT MYERS,FL,33907,,(239) 590-6111,,,,,,,,,,,,,,,,,4,,,,,
10C0001313,DOCTORS SURGICAL PARTNERSHIP LTD DBA MELBOURNE SAME DAY SURGERY,1035 SOUTH APOLLO BLVD,MELBOURNE,FL,32901,,(321) 434-9134,97,2,1,98,92,6,2,95,88,10,2,95,87,11,2,95,,827,318,39,07/01/2019,12/31/2020
10C0001319,JACKSONVILLE ENDOSCOPY CENTERS LLC DBA JACKSONVILLE CENTER FOR ENDOSCOPY,1610 BARRS ST SUITE B,JACKSONVILLE,FL,32204,,(904) 387-6750,,,,,,,,,,,,,,,,,4,,,,,
10C0001332,LASER AND SURGERY CENTER OF THE PALM BEACHES,3602 KYOTO GARDENS DR,PALM BEACH GARDENS,FL,33410,,(561) 799-3388,95,4,1,97,88,8,4,92,86,11,3,94,84,14,2,94,,1154,448,39,07/01/2019,12/31/2020
10C0001354,SURGERY CENTER OF SOUTHWEST FLORIDA INC,12631 WHITEHALL DR,FORT MYERS,FL,33907,,(239) 772-0500,,,,,,,,,,,,,,,,,4,,,,,
10C0001362,DESTIN SURGERY CENTER LLC,4485 FURLING LANE,DESTIN,FL,32541,,(850) 650-7606,98,2,0,99,94,5,1,97,91,8,1,96,91,8,1,96,,1034,408,39,07/01/2019,12/31/2020
10C0001363,DOCTORS GI PARTNERSHIP LTD DBA MELBOURNE GI CENTER,1051 SOUTH HICKORY ST SUITE K,MELBOURNE,FL,32901,,(513) 319-6256,97,2,1,98,94,5,1,96,88,10,2,94,86,12,2,94,,1013,340,34,07/01/2019,12/31/2020
10C0001371,CHARLOTTE ENDOSCOPIC SURGERY CENTER LLC DBA CHARLOTTE ENDOSCOPIC SURGERY CENTER,23970 SUNCOAST BLVD,PORT CHARLOTTE,FL,33908,,(947) 625-3636,,,,,,,,,,,,,,,,,4,,,,,
10C0001377,OPHTHALMOLOGY SURGERY CENTER OF ORLANDO LLC DBA ORLANDO OPHTHALMOLOGY SURGERY CENTER,105 BONNIE LOCH CT,ORLANDO,FL,32806,,(407) 428-0040,96,4,0,98,90,9,1,94,86,11,3,94,85,13,2,94,,1154,430,37,07/01/2019,12/31/2020
10C0001389,BGC HOLDINGS INC,4800 BELFORT RD,JACKSONVILLE,FL,32256,,(904) 265-4801,,,,,,,,,,,,,,,,,4,,,,,
10C0001418,THE SURGERY CENTER AT JENSEN BEACH LLC,3995 NW GOLDENROD RD,JENSEN BEACH,FL,34957,,(772) 497-0020,96,3,1,98,90,7,3,94,88,10,2,95,87,11,2,95,,1094,465,43,07/01/2019,12/31/2020
10C0001428,SOUTH FLORIDA AMBULATORY SURGICAL CENTER LLC,6110 SOUTHWEST 70TH ST,SOUTH MIAMI,FL,33143,,(305) 662-3100,97,3,0,98,89,8,3,93,87,11,2,94,85,11,4,93,,1215,282,23,07/01/2019,12/31/2020
10C0001461,UNIVERSITY INTERVENTIONAL CENTER,5102 NORTH DAVIS HWY,PENSACOLA,FL,32503,,(850) 549-4960,,,,,,,,,,,,,,,,,4,,,,,
10C0001474,MURDOCK AMBULATORY SURGERY CENTER LLC,1400 EDUCATION WAY,PORT CHARLOTTE,FL,33948,,(941) 625-9800,98,2,0,99,88,8,4,92,88,10,2,95,87,12,1,95,,813,391,48,07/01/2019,12/31/2020
10C0001490,ANDREWS INSTITUTE AMBULATORY SURGERY CENTER,1040 GULF BREEZE PARKWAY SUITE 100,GULF BREEZE,FL,32561,,(850) 916-8623,,,,,,,,,,,,,,,,,4,,,,,
10C0001505,LAKE ENDOSCOPY CENTER,17355 S.E. 109TH TERRACE RD,SUMMERFIELD,FL,34491,,(352) 245-0846,98,2,0,99,91,7,2,95,92,7,1,96,91,7,2,96,2,1110,588,53,07/01/2019,12/31/2020
10C0001512,TLC ASC LLC DBA TLC OUTPATIENT SURGERY AND LASER CENTER,201 WEST GUAVA ST,LADY LAKE,FL,32159,,(352) 391-5875,98,2,0,99,90,8,2,94,87,11,2,94,86,13,1,95,,1272,646,51,07/01/2019,12/31/2020
10C0001521,RIVERWALK AMBULATORY SURGERY CENTER,200 3RD AVE WEST SUITE 170,BRADENTON,FL,34205,,(941) 220-6786,,,,,,,,,,,,,,,,,4,,,,,
10C0001525,UNIVERSITY MEDICAL SERVICE ASSOCIATION INC DBA USF HEALTH ENDOSCOPY AND SURGERY CENTER,13330 USF LAUREL DR 2ND FLOOR,TAMPA,FL,33612,,(813) 974-2446,,,,,,,,,,,,,,,,,4,,,,,
10C0001528,CORAL RIDGE OUTPATIENT CENTER LLC,5301 NORTH DIXIE HWY.,OAKLAND PARK,FL,33334,,(954) 832-3300,95,5,0,98,91,6,3,94,86,13,1,94,86,12,2,94,,1149,336,29,07/01/2019,12/31/2020
10C0001539,SURGERY CENTER OF PEMBROKE PINES LLC DBA BROWARD SPECIALTY SURGICAL CENTER,7261 SHERIDAN ST SUITE 100A,HOLLYWOOD,FL,33024,,(954) 322-4222,96,3,1,98,87,10,3,92,86,12,2,94,84,13,3,93,,1564,334,21,07/01/2019,12/31/2020
10C0001545,SURGICARE OF MIRAMAR LLC,14601 SOUTHWEST 29TH ST SUITE 301,MIRAMAR,FL,33027,,(954) 266-3807,97,2,1,98,92,6,2,95,92,6,2,96,88,7,5,93,,887,200,23,07/01/2019,12/31/2020
10C0001549,TITUSVILLE CENTER FOR SURGICAL EXCELLENCE LLC,814 SOUTH WASHIGNTON AVE,TITUSVILLE,FL,32796,,(321) 567-6300,99,1,0,99,95,4,1,97,94,5,1,97,94,6,0,98,,1370,612,45,07/01/2019,12/31/2020
10C0001559,SAFETY HARBOR SURGERY CENTER LLC,3280 MCMULLEN BOOTH RD. STE. 110,CLEARWATER,FL,33761,,(727) 787-3000,,,,,,,,,,,,,,,,,4,,,,,
10C0001571,SURGERY CENTRE OF SW FLORIDA LLC,665 DEL PRADO BLVD S.,CAPE CORAL,FL,33990,,(239) 772-3636,97,3,0,98,91,7,2,95,88,10,2,95,88,10,2,95,,1211,489,40,07/01/2019,12/31/2020
10C0001576,THE OUTPATIENT CENTER OF DELRAY,4675 LINTON BLVD STE 101,DELRAY BEACH,FL,33445,,(561) 499-9585,95,4,1,97,93,6,1,96,87,11,2,95,86,12,2,94,,1189,442,37,07/01/2019,12/31/2020
10C0001660,HSS PALM BEACH AMBULATORY SURGERY CENTER,300 Palm Beach Lakes Blvd,West Palm Beach,FL,33401,,(561) 725-4300,,,,,,,,,,,,,,,,,4,,,,,
11C0001006,EMORY HEALTHCARE,"1365 CLIFTON RD, NE SUITE BT200",ATLANTA,GA,30322,,(404) 778-3348,97,2,1,98,90,8,2,94,89,9,2,96,88,10,2,95,,1509,235,16,07/01/2019,12/31/2020
11C0001049,RESURGENS SURGERY CENTER LLC,5671 PEACHTREE DUNWOODY RD SUITE 800,ATLANTA,GA,30342,,(404) 531-8532,98,2,0,99,94,5,1,96,92,6,2,96,92,7,1,97,,1386,395,28,07/01/2019,12/31/2020
11C0001056,THE ENDOSCOPY CENTER OF SOUTHEAST GEORGIA INC,200 MAPLE DR,VIDALIA,GA,30474,,(912) 538-1003,98,2,0,99,96,3,1,98,91,8,1,96,96,4,0,99,,1020,176,17,07/01/2019,12/31/2020
