"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Mississippi,97,3,0,98,92,6,2,95,85,12,3,94,83,15,2,93,27782,5758,21,07/01/2023,06/30/2024
Missouri,97,3,0,98,92,6,2,95,85,12,3,94,80,18,2,92,36215,8218,23,07/01/2023,06/30/2024
Montana,97,3,0,99,92,6,2,96,84,14,2,93,80,18,2,93,30126,7768,26,07/01/2023,06/30/2024
Nebraska,97,3,0,99,92,7,1,95,86,12,2,94,81,17,2,93,13779,3975,30,07/01/2023,06/30/2024
Nevada,95,4,1,97,89,9,2,93,82,15,3,93,79,17,4,91,24726,5372,22,07/01/2023,06/30/2024
New Hampshire,98,2,0,99,94,5,1,97,88,10,2,95,85,13,2,94,23038,6935,30,07/01/2023,06/30/2024
New Jersey,97,3,0,98,90,8,2,94,85,12,3,94,81,16,3,92,62000,12825,21,07/01/2023,06/30/2024
New Mexico,96,4,0,98,92,7,1,95,84,14,2,94,80,18,2,92,39146,8290,22,07/01/2023,06/30/2024
New York,96,4,0,98,91,7,2,95,84,13,3,93,80,17,3,92,163140,37195,23,07/01/2023,06/30/2024
North Carolina,97,3,0,98,93,6,1,96,86,12,2,94,81,16,3,92,103321,26700,26,07/01/2023,06/30/2024
North Dakota,98,2,0,99,93,6,1,96,84,13,3,93,76,23,1,92,11865,3328,28,07/01/2023,06/30/2024
Ohio,98,2,0,99,92,7,1,96,88,10,2,95,83,15,2,93,162688,37977,24,07/01/2023,06/30/2024
Oklahoma,97,3,0,98,92,7,1,95,86,11,3,94,84,14,2,94,48506,11817,25,07/01/2023,06/30/2024
Oregon,97,3,0,98,92,7,1,95,85,12,3,94,82,16,2,93,23650,5878,25,07/01/2023,06/30/2024
Pennsylvania,98,2,0,99,93,6,1,96,88,10,2,95,84,14,2,94,82444,25664,31,07/01/2023,06/30/2024
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,98,2,0,99,92,6,2,95,88,10,2,95,86,12,2,95,16574,3962,24,07/01/2023,06/30/2024
South Carolina,97,3,0,98,92,6,2,95,85,12,3,94,80,17,3,92,39465,8737,22,07/01/2023,06/30/2024
South Dakota,98,2,0,99,92,7,1,95,85,13,2,94,84,15,1,94,18550,3113,17,07/01/2023,06/30/2024
Tennessee,96,4,0,98,92,6,2,95,84,13,3,93,81,17,2,92,81849,17370,22,07/01/2023,06/30/2024
Texas,97,3,0,98,92,6,2,95,88,10,2,95,84,14,2,94,141324,28039,20,07/01/2023,06/30/2024
Utah,97,3,0,98,92,7,1,95,88,10,2,95,85,13,2,94,82582,14218,20,07/01/2023,06/30/2024
Vermont,98,2,0,99,93,6,1,96,86,12,2,94,85,13,2,94,17486,4904,28,07/01/2023,06/30/2024
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,97,3,0,98,93,6,1,96,86,12,2,94,82,16,2,93,83702,19767,24,07/01/2023,06/30/2024
Washington,97,3,0,98,93,6,1,96,85,13,2,94,81,17,2,93,74290,16345,22,07/01/2023,06/30/2024
West Virginia,97,3,0,98,92,7,1,96,83,14,3,93,79,19,2,92,43386,10542,25,07/01/2023,06/30/2024
Wisconsin,98,2,0,99,93,6,1,96,88,10,2,95,84,15,1,94,70972,22797,33,07/01/2023,06/30/2024
Wyoming,98,2,0,99,93,6,1,96,84,14,2,94,79,20,1,92,5684,1195,23,07/01/2023,06/30/2024
