"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Maryland,97,3,0,98,91,7,2,95,87,11,2,94,83,14,3,93,48866,12588,26,07/01/2023,06/30/2024
Massachusetts,98,2,0,99,92,7,1,96,88,10,2,95,87,11,2,95,1931,739,38,07/01/2023,06/30/2024
Michigan,98,2,0,99,91,7,2,95,92,7,1,96,88,11,1,95,13905,4199,31,07/01/2023,06/30/2024
Minnesota,99,1,0,99,93,6,1,96,92,7,1,96,89,10,1,96,12138,4024,33,07/01/2023,06/30/2024
Mississippi,98,2,0,99,92,6,2,95,91,8,1,96,88,10,2,95,4375,1262,29,07/01/2023,06/30/2024
Missouri,97,3,0,99,93,5,2,95,90,9,1,95,87,11,2,95,17339,5198,30,07/01/2023,06/30/2024
Montana,98,2,0,99,92,7,1,95,92,7,1,96,89,10,1,96,3183,1136,36,07/01/2023,06/30/2024
Nebraska,98,2,0,99,94,5,1,97,89,9,2,95,85,14,1,94,1199,372,31,07/01/2023,06/30/2024
Nevada,97,3,0,99,92,6,2,95,92,7,1,96,90,8,2,96,4552,1087,24,07/01/2023,06/30/2024
New Hampshire,98,2,0,99,93,6,1,96,91,8,1,96,89,10,1,96,6404,1802,28,07/01/2023,06/30/2024
New Jersey,98,2,0,99,92,6,2,95,90,8,2,95,87,12,1,95,20984,5681,27,07/01/2023,06/30/2024
New Mexico,97,3,0,98,91,7,2,94,89,9,2,95,84,15,1,94,4037,1045,26,07/01/2023,06/30/2024
New York,97,2,1,98,93,6,1,96,90,8,2,95,80,19,1,93,1613,561,35,07/01/2023,06/30/2024
North Carolina,97,3,0,98,93,5,2,96,90,8,2,96,89,9,2,96,10687,2580,24,07/01/2023,06/30/2024
North Dakota,98,1,1,99,95,4,1,97,88,10,2,95,89,9,2,96,1250,412,33,07/01/2023,06/30/2024
Ohio,98,2,0,99,93,6,1,96,92,7,1,96,90,9,1,96,16319,3937,24,07/01/2023,06/30/2024
Oklahoma,96,4,0,98,91,7,2,95,90,8,2,95,84,14,2,94,972,327,34,07/01/2023,06/30/2024
Oregon,97,2,1,98,91,7,2,95,86,12,2,94,85,12,3,94,15887,4921,31,07/01/2023,06/30/2024
Pennsylvania,98,2,0,99,94,5,1,96,92,7,1,96,90,9,1,96,15942,5219,33,07/01/2023,06/30/2024
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,,,,,,,,,,
South Carolina,98,2,0,99,94,5,1,96,91,7,2,96,91,8,1,96,4594,1577,34,07/01/2023,06/30/2024
South Dakota,,,,,,,,,,,,,,,,,,,,,
Tennessee,98,2,0,99,93,6,1,96,91,8,1,96,89,10,1,96,32435,7387,23,07/01/2023,06/30/2024
Texas,97,3,0,98,92,6,2,95,89,9,2,95,87,11,2,95,95957,20186,21,07/01/2023,06/30/2024
Utah,,,,,,,,,,,,,,,,,,,,,
Vermont,,,,,,,,,,,,,,,,,,,,,
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,98,2,0,99,93,6,1,96,91,7,2,96,89,9,2,95,14660,4330,30,07/01/2023,06/30/2024
Washington,98,2,0,99,93,6,1,96,88,10,2,95,87,11,2,95,33868,8027,24,07/01/2023,06/30/2024
West Virginia,,,,,,,,,,,,,,,,,,,,,
Wisconsin,98,2,0,99,95,4,1,97,92,7,1,96,91,7,2,96,2473,890,36,07/01/2023,06/30/2024
Wyoming,98,2,0,99,90,8,2,94,88,10,2,95,87,10,3,94,1460,481,33,07/01/2023,06/30/2024
