"Facility Name","Facility ID","State","Fiscal Year","PSI 90 Composite Value","PSI 90 Composite Value Footnote","PSI 90 W Z Score","PSI 90 W Z Footnote","PSI 90 Start Date","PSI 90 End Date","CLABSI SIR","CLABSI SIR Footnote","CLABSI W Z Score","CLABSI W Z Footnote","CAUTI SIR","CAUTI SIR Footnote","CAUTI W Z Score","CAUTI W Z Footnote","SSI SIR","SSI SIR Footnote","SSI W Z Score","SSI W Z Footnote","CDI SIR","CDI SIR Footnote","CDI W Z Score","CDI W Z Footnote","MRSA SIR","MRSA SIR Footnote","MRSA W Z Score","MRSA W Z Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Score Footnote","Payment Reduction","Payment Reduction Footnote"
WIREGRASS MEDICAL CENTER,010062,AL,2024,0.9805,,-0.1208,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.7685,,No,
RUSSELL MEDICAL CENTER,010065,AL,2024,1.0780,,0.7070,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.000,,-1.3018,,N/A,13,N/A,5,1.189,,2.1481,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.5178,,Yes,
MEDICAL CENTER BARBOUR,010069,AL,2024,0.9749,,-0.1681,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.7922,,No,
CLAY COUNTY HOSPITAL,010073,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-1.4163,,No,
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,010078,AL,2024,1.1798,,1.5718,,01/01/2021,06/30/2022,0.288,,-0.8997,,0.205,,-0.9190,,0.221,,-0.9794,,1.156,,2.0491,,1.366,,0.7590,,01/01/2022,12/31/2022,0.2636,,No,
ATHENS LIMESTONE HOSPITAL,010079,AL,2024,1.1177,,1.0447,,01/01/2021,06/30/2022,N/A,13,N/A,5,1.374,,1.2645,,0.000,,-1.3383,,0.334,,-0.4150,,0.000,,-1.3973,,01/01/2022,12/31/2022,-0.1683,,No,
SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,AL,2024,1.0750,,0.6820,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.446,,-0.4688,,N/A,13,N/A,5,0.099,,-1.1195,,0.678,,-0.3270,,01/01/2022,12/31/2022,-0.5226,,No,
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,010085,AL,2024,1.1855,,1.6203,,01/01/2021,06/30/2022,0.343,,-0.8081,,0.121,,-1.0758,,0.367,,-0.7423,,0.048,,-1.2724,,0.392,,-0.7785,,01/01/2022,12/31/2022,-0.5095,,No,
NORTHWEST MEDICAL CENTER,010086,AL,2024,0.9691,,-0.2172,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.2172,,No,
USA HEALTH UNIVERSITY HOSPITAL,010087,AL,2024,0.9826,,-0.1027,,01/01/2021,06/30/2022,1.038,,0.3495,,0.479,,-0.4072,,0.158,,-1.0817,,0.607,,0.4034,,1.735,,1.3415,,01/01/2022,12/31/2022,0.0838,,No,
WALKER BAPTIST MEDICAL CENTER,010089,AL,2024,0.9756,,-0.1621,,01/01/2021,06/30/2022,1.200,,0.6193,,0.000,,-1.3018,,0.000,,-1.3383,,0.544,,0.2145,,4.878,,2.2744,,01/01/2022,12/31/2022,0.0510,,No,
PROVIDENCE HOSPITAL,010090,AL,2024,1.0214,,0.2265,,01/01/2021,06/30/2022,0.416,,-0.6865,,0.288,,-0.7639,,1.026,,0.3280,,0.541,,0.2055,,0.592,,-0.4628,,01/01/2022,12/31/2022,-0.1922,,No,
GROVE HILL MEMORIAL HOSPITAL,010091,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
DCH REGIONAL MEDICAL CENTER,010092,AL,2024,0.9222,,-0.6159,,01/01/2021,06/30/2022,1.820,,1.6520,,0.471,,-0.4221,,0.952,,0.2078,,0.610,,0.4123,,1.304,,0.6611,,01/01/2022,12/31/2022,0.3159,,No,
HALE COUNTY HOSPITAL,010095,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
ELMORE COMMUNITY HOSPITAL,010097,AL,2024,0.9923,,-0.0207,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0207,,No,
D W MCMILLAN MEMORIAL HOSPITAL,010099,AL,2024,0.9822,,-0.1059,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.591,,0.3554,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.1247,,No,
THOMAS HOSPITAL,010100,AL,2024,0.9362,,-0.4971,,01/01/2021,06/30/2022,0.387,,-0.7348,,1.582,,1.6530,,1.489,,1.0799,,0.336,,-0.4090,,0.000,,-1.3973,,01/01/2022,12/31/2022,-0.0509,,No,
CITIZENS BAPTIST MEDICAL CENTER,010101,AL,2024,0.9657,,-0.2461,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,1.550,,2.3099,,N/A,13,N/A,5,01/01/2022,12/31/2022,1.0319,,Yes,
J PAUL JONES HOSPITAL,010102,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
PRINCETON BAPTIST MEDICAL CENTER,010103,AL,2024,1.1465,,1.2887,,01/01/2021,06/30/2022,0.357,,-0.7848,,0.223,,-0.8853,,0.688,,-0.2209,,0.208,,-0.7928,,1.808,,1.4567,,01/01/2022,12/31/2022,0.0102,,No,
GRANDVIEW MEDICAL CENTER,010104,AL,2024,1.0212,,0.2248,,01/01/2021,06/30/2022,0.564,,-0.4400,,0.774,,0.1438,,0.589,,-0.3817,,0.261,,-0.6339,,0.766,,-0.1881,,01/01/2022,12/31/2022,-0.2125,,No,
PRATTVILLE BAPTIST HOSPITAL,010108,AL,2024,0.9727,,-0.1866,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.615,,-0.1532,,N/A,13,N/A,5,0.411,,-0.1842,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.1747,,No,
BULLOCK COUNTY HOSPITAL,010110,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
WHITFIELD REGIONAL HOSPITAL,010112,AL,2024,1.0846,,0.7638,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.388,,-0.2532,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.2553,,No,
MOBILE INFIRMARY MEDICAL CENTER,010113,AL,2024,1.2628,,2.2767,,01/01/2021,06/30/2022,0.852,,0.0397,,0.431,,-0.4968,,1.068,,0.3962,,0.332,,-0.4210,,1.105,,0.3470,,01/01/2022,12/31/2022,0.3570,,No,
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",010114,AL,2024,0.9637,,-0.2631,,01/01/2021,06/30/2022,1.407,,0.9641,,0.582,,-0.2148,,0.846,,0.0357,,1.031,,1.6744,,2.218,,2.1039,,01/01/2022,12/31/2022,0.7167,,Yes,
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,010118,AL,2024,1.0229,,0.2398,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.520,,-0.3306,,N/A,11,2.1665,11,N/A,11,2.3099,11,N/A,11,2.2744,11,01/01/2022,12/31/2022,1.3320,,Yes,
MONROE COUNTY HOSPITAL,010120,AL,2024,0.9815,,-0.1124,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.7644,,No,
LAKELAND COMMUNITY HOSPITAL,010125,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.734,,0.7841,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.7841,,Yes,
TROY REGIONAL MEDICAL CENTER,010126,AL,2024,1.0444,,0.4221,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.4971,,No,
JACKSON MEDICAL CENTER,010128,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
NORTH BALDWIN INFIRMARY,010129,AL,2024,0.9613,,-0.2841,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,0.880,,0.0909,,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.5365,,No,
ST VINCENT'S ST CLAIR,010130,AL,2024,1.0862,,0.7771,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.000,,-1.3018,,N/A,13,N/A,5,0.678,,0.6162,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.0305,,No,
CRESTWOOD MEDICAL CENTER,010131,AL,2024,1.0819,,0.7407,,01/01/2021,06/30/2022,2.132,,2.1717,,0.000,,-1.3018,,1.271,,0.7259,,0.501,,0.0856,,0.000,,-1.3973,,01/01/2022,12/31/2022,0.1708,,No,
HILL HOSPITAL OF SUMTER COUNTY,010138,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
BROOKWOOD BAPTIST MEDICAL CENTER,010139,AL,2024,0.9681,,-0.2263,,01/01/2021,06/30/2022,1.353,,0.8742,,0.385,,-0.5828,,0.515,,-0.5019,,0.326,,-0.4390,,0.695,,-0.3002,,01/01/2022,12/31/2022,-0.1960,,No,
SPRINGHILL MEDICAL CENTER,010144,AL,2024,0.9873,,-0.0627,,01/01/2021,06/30/2022,1.372,,0.9058,,0.327,,-0.6911,,0.561,,-0.4272,,0.122,,-1.0506,,1.010,,0.1970,,01/01/2022,12/31/2022,-0.1881,,No,
EVERGREEN MEDICAL CENTER,010148,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
BAPTIST MEDICAL CENTER EAST,010149,AL,2024,0.9575,,-0.3159,,01/01/2021,06/30/2022,1.642,,1.3555,,1.024,,0.6108,,0.432,,-0.6367,,0.606,,0.4004,,1.489,,0.9531,,01/01/2022,12/31/2022,0.3945,,Yes,
THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,010150,AL,2024,0.9730,,-0.1846,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,11,2.1665,11,N/A,11,2.3099,11,N/A,11,2.2744,11,01/01/2022,12/31/2022,1.6416,,Yes,
NORTH ALABAMA SHOALS HOSPITAL,010157,AL,2024,0.9964,,0.0146,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.7009,,No,
RUSSELLVILLE HOSPITAL,010158,AL,2024,0.9702,,-0.2083,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.8123,,No,
COOSA VALLEY MEDICAL CENTER,010164,AL,2024,0.9616,,-0.2812,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.000,,-1.3018,,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.9998,,No,
JACK HUGHSTON MEMORIAL HOSPITAL,010168,AL,2024,0.9800,,-0.1253,,01/01/2021,06/30/2022,N/A,12,N/A,5,N/A,12,N/A,5,N/A,12,N/A,5,0.912,,1.3177,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.5962,,Yes,
ATMORE COMMUNITY HOSPITAL,010169,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-1.4163,,No,
ST VINCENT'S CHILTON,010173,AL,2024,0.9929,,-0.0154,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.7158,,No,
THOMASVILLE REGIONAL MEDICAL CENTER,010174,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
EAMC-LANIER,010175,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
PROVIDENCE ALASKA MEDICAL CENTER,020001,AK,2024,0.8161,,-1.5168,,01/01/2021,06/30/2022,0.405,,-0.7049,,0.903,,0.3848,,1.938,,1.8092,,0.192,,-0.8407,,0.769,,-0.1834,,01/01/2022,12/31/2022,-0.1753,,No,
MAT-SU REGIONAL MEDICAL CENTER,020006,AK,2024,0.9405,,-0.4600,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.000,,-1.3018,,0.000,,-1.3383,,0.000,,-1.4163,,2.143,,1.9855,,01/01/2022,12/31/2022,-0.6517,,No,
BARTLETT REGIONAL HOSPITAL,020008,AK,2024,0.9670,,-0.2351,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.649,,0.5293,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.1471,,No,
FAIRBANKS MEMORIAL HOSPITAL,020012,AK,2024,1.1286,,1.1369,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.935,,0.4445,,1.843,,1.6549,,0.300,,-0.5170,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.6798,,Yes,
ALASKA REGIONAL HOSPITAL,020017,AK,2024,0.9771,,-0.1491,,01/01/2021,06/30/2022,0.202,,-1.0430,,0.274,,-0.7901,,0.583,,-0.3915,,0.460,,-0.0373,,0.314,,-0.9016,,01/01/2022,12/31/2022,-0.5521,,No,
YUKON KUSKOKWIM DELTA REG HOSPITAL,020018,AK,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-1.4163,,No,
CENTRAL PENINSULA GENERAL HOSPITAL,020024,AK,2024,1.0389,,0.3755,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,3.273,,2.1665,,0.449,,-0.0703,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.8239,,Yes,
ALASKA NATIVE MEDICAL CENTER,020026,AK,2024,1.6092,,2.3062,,01/01/2021,06/30/2022,0.429,,-0.6649,,0.850,,0.2858,,0.440,,-0.6237,,0.145,,-0.9816,,1.117,,0.3659,,01/01/2022,12/31/2022,0.1146,,No,
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,030002,AZ,2024,1.3977,,2.3062,,01/01/2021,06/30/2022,1.491,,1.1040,,0.185,,-0.9563,,0.926,,0.1656,,0.706,,0.7001,,0.875,,-0.0161,,01/01/2022,12/31/2022,0.5506,,Yes,
TUCSON MEDICAL CENTER,030006,AZ,2024,0.9757,,-0.1610,,01/01/2021,06/30/2022,0.698,,-0.2168,,0.845,,0.2764,,0.931,,0.1737,,0.564,,0.2744,,0.746,,-0.2197,,01/01/2022,12/31/2022,0.0212,,No,
VERDE VALLEY MEDICAL CENTER,030007,AZ,2024,0.8544,,-1.1912,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.000,,-1.3018,,0.000,,-1.3383,,0.392,,-0.2412,,N/A,13,N/A,5,01/01/2022,12/31/2022,-1.0181,,No,
ST. MARY'S HOSPITAL,030010,AZ,2024,0.9231,,-0.6084,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.000,,-1.3018,,0.707,,-0.1901,,0.442,,-0.0913,,1.527,,1.0131,,01/01/2022,12/31/2022,-0.4263,,No,
ST JOSEPH'S HOSPITAL,030011,AZ,2024,1.0077,,0.1105,,01/01/2021,06/30/2022,0.000,,-1.3794,,0.000,,-1.3018,,0.996,,0.2793,,0.391,,-0.2442,,0.480,,-0.6396,,01/01/2022,12/31/2022,-0.5292,,No,
YAVAPAI REGIONAL MEDICAL CENTER,030012,AZ,2024,1.3377,,2.3062,,01/01/2021,06/30/2022,0.662,,-0.2768,,0.371,,-0.6089,,0.000,,-1.3383,,0.630,,0.4723,,0.330,,-0.8764,,01/01/2022,12/31/2022,-0.0536,,No,
