"Facility ID","Facility Name","MSA","MSA Title","HCAHPS HLMR","HCAHPS HLMR Percentile","HCAHPS Start Date","HCAHPS End Date","HCAHPS Footnote","COMP-HIP-KNEE","COMP-HIP-KNEE Percentile","COMP Start Date","COMP End Date","COMP Footnote","PRO","PRO Start Date","PRO End Date","Reconciliation Footnote"
050570,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",78,5%,07/01/2021,06/30/2022,,3.13421,49%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050580,LA PALMA INTERCOMMUNITY HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",78.5,6%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050581,LAKEWOOD REGIONAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",78.31,6%,07/01/2021,06/30/2022,,3.42561,29%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,*
050588,SAN DIMAS COMMUNITY HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",78.75,7%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050589,PLACENTIA LINDA HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",81.81,25%,07/01/2021,06/30/2022,,2.92728,66%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050597,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",82.94,37%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050603,MEMORIALCARE SADDLEBACK MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",84.13,52%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050624,HENRY MAYO NEWHALL  HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",83.31,42%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050663,LOS ANGELES COMMUNITY HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",68.5,0%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050678,MEMORIALCARE ORANGE COAST MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",83.75,47%,07/01/2021,06/30/2022,,3.43691,28%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050696,KECK HOSPITAL OF USC,31080,"Los Angeles-Long Beach-Anaheim, CA",86.19,79%,07/01/2021,06/30/2022,,2.98049,62%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050704,MISSION COMMUNITY HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",74.38,1%,07/01/2021,06/30/2022,,3.362,33%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",86.69,84%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050735,WHITTIER HOSPITAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",80.31,13%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050736,MONTEREY PARK HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",78.69,7%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050737,GARFIELD MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",82.44,31%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050739,CENTINELA HOSPITAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",77.88,5%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050740,CEDAR-SINAI MARINA DEL REY HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",82.13,28%,07/01/2021,06/30/2022,,3.97864,8%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,*
050745,CHAPMAN GLOBAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",80.88,17%,07/01/2021,06/30/2022,,3.09392,52%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050746,ORANGE COUNTY GLOBAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",80.13,12%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050755,SHERMAN OAKS HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",76.25,2%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050763,"L A DOWNTOWN MEDICAL CENTER, LLC",31080,"Los Angeles-Long Beach-Anaheim, CA",N/A,N/A,07/01/2021,06/30/2022,***,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050769,HOAG ORTHOPEDIC INSTITUTE,31080,"Los Angeles-Long Beach-Anaheim, CA",88.94,95%,07/01/2021,06/30/2022,,2.72427,82%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
070005,WATERBURY HOSPITAL,35300,"New Haven-Milford, CT",80.88,17%,07/01/2021,06/30/2022,,3.09518,52%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
070016,SAINT MARY'S HOSPITAL,35300,"New Haven-Milford, CT",81.94,26%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
070017,MIDSTATE MEDICAL CENTER,35300,"New Haven-Milford, CT",86,77%,07/01/2021,06/30/2022,,3.0995,51%,04/01/2019,03/31/2022,,Y,07/01/2021,06/30/2022,
070031,GRIFFIN HOSPITAL,35300,"New Haven-Milford, CT",84.31,55%,07/01/2021,06/30/2022,,4.32551,4%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100002,BETHESDA HOSPITAL EAST,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",77.06,3%,07/01/2021,06/30/2022,,2.59181,89%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100006,ORLANDO HEALTH ORLANDO REGIONAL MEDICAL CENTER,36740,"Orlando-Kissimmee-Sanford, FL",82,26%,07/01/2021,06/30/2022,,2.85588,72%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100008,BAPTIST HOSPITAL OF MIAMI,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",82.19,28%,07/01/2021,06/30/2022,,2.68843,85%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100029,STEWARD NORTH SHORE MEDICAL CENTER,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",72.44,0%,07/01/2021,06/30/2022,,3.36025,33%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100030,ORLANDO HEALTH-HEALTH CENTRAL HOSPITAL,36740,"Orlando-Kissimmee-Sanford, FL",83.5,44%,07/01/2021,06/30/2022,,3.78988,12%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100034,MOUNT SINAI MEDICAL CENTER,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",79.69,10%,07/01/2021,06/30/2022,,3.78852,13%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,*
100039,BROWARD HEALTH MEDICAL CENTER,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",78.63,7%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
100043,MEASE DUNEDIN HOSPITAL,45300,"Tampa-St. Petersburg-Clearwater, FL",87.13,88%,07/01/2021,06/30/2022,,2.36765,95%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100044,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,38940,"Port St. Lucie, FL",80,12%,07/01/2021,06/30/2022,,4.39948,3%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,*
100046,ADVENTHEALTH ZEPHYRHILLS,45300,"Tampa-St. Petersburg-Clearwater, FL",82.69,34%,07/01/2021,06/30/2022,,3.0554,55%,04/01/2019,03/31/2022,,Y,07/01/2021,06/30/2022,
100050,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",76.13,2%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,5,N,07/01/2021,06/30/2022,
100051,ORLANDO HEALTH SOUTH LAKE HOSPITAL,36740,"Orlando-Kissimmee-Sanford, FL",81.13,19%,07/01/2021,06/30/2022,,4.45671,2%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,*
100053,STEWARD HIALEAH HOSPITAL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",75.94,2%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
100055,ADVENTHEALTH NORTH PINELLAS,45300,"Tampa-St. Petersburg-Clearwater, FL",83.19,40%,07/01/2021,06/30/2022,,4.46319,2%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100057,ADVENTHEALTH WATERMAN,36740,"Orlando-Kissimmee-Sanford, FL",83.06,38%,07/01/2021,06/30/2022,,3.43517,28%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,*
100063,MORTON PLANT NORTH BAY HOSPITAL,45300,"Tampa-St. Petersburg-Clearwater, FL",86,77%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
100069,ADVENTHEALTH CARROLLWOOD,45300,"Tampa-St. Petersburg-Clearwater, FL",82.94,37%,07/01/2021,06/30/2022,,3.3174,36%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100071,BRAVERA HEALTH BROOKSVILLE,45300,"Tampa-St. Petersburg-Clearwater, FL",76.44,2%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
100073,HOLY CROSS HOSPITAL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",82.31,30%,07/01/2021,06/30/2022,,3.23601,41%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100075,ST JOSEPHS HOSPITAL,45300,"Tampa-St. Petersburg-Clearwater, FL",85.19,67%,07/01/2021,06/30/2022,,3.86273,11%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100080,HCA FLORIDA JFK HOSPITAL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",75.38,1%,07/01/2021,06/30/2022,,2.2878,97%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100084,UF HEALTH LEESBURG HOSPITAL,36740,"Orlando-Kissimmee-Sanford, FL",78.38,6%,07/01/2021,06/30/2022,,3.12063,50%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100110,HCA FLORIDA OSCEOLA HOSPITAL,36740,"Orlando-Kissimmee-Sanford, FL",77.63,4%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
100125,HOMESTEAD HOSPITAL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",84.13,52%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
100126,HCA FLORIDA PASADENA HOSPITAL,45300,"Tampa-St. Petersburg-Clearwater, FL",82.5,32%,07/01/2021,06/30/2022,,2.90812,67%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100127,MORTON PLANT HOSPITAL,45300,"Tampa-St. Petersburg-Clearwater, FL",86.44,81%,07/01/2021,06/30/2022,,3.07497,54%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100131,HCA FLORIDA AVENTURA HOSPITAL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",76.44,2%,07/01/2021,06/30/2022,,3.15098,48%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100132,SOUTH FLORIDA BAPTIST HOSPITAL,45300,"Tampa-St. Petersburg-Clearwater, FL",84.13,52%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
100154,SOUTH MIAMI HOSPITAL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",84.5,57%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
100161,HCA FLORIDA LAKE MONROE HOSPITAL,36740,"Orlando-Kissimmee-Sanford, FL",80.81,16%,07/01/2021,06/30/2022,,4.09273,6%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,*
100167,HCA FLORIDA MERCY HOSPITAL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",80.81,16%,07/01/2021,06/30/2022,,3.01212,59%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100168,BOCA RATON REGIONAL HOSPITAL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",78.13,5%,07/01/2021,06/30/2022,,3.95099,9%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,*
100173,ADVENTHEALTH TAMPA,45300,"Tampa-St. Petersburg-Clearwater, FL",80.81,16%,07/01/2021,06/30/2022,,3.30126,37%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100176,PALM BEACH GARDENS MEDICAL CENTER,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",77.13,3%,07/01/2021,06/30/2022,,4.44615,2%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,*
100180,HCA FLORIDA ST PETERSBURG HOSPITAL,45300,"Tampa-St. Petersburg-Clearwater, FL",77.5,4%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
100181,LARKIN COMMUNITY HOSPITAL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",N/A,N/A,07/01/2021,06/30/2022,***,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
100183,STEWARD CORAL GABLES HOSPITAL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",78.63,7%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
100187,STEWARD PALMETTO GENERAL HOSPITAL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",78,5%,07/01/2021,06/30/2022,,3.33615,35%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100189,HCA FLORIDA NORTHWEST HOSPITAL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",74.13,1%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
100191,HCA FLORIDA TRINITY HOSPITAL,45300,"Tampa-St. Petersburg-Clearwater, FL",81.94,26%,07/01/2021,06/30/2022,,3.41978,29%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,*
100200,BROWARD HEALTH IMPERIAL POINT,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",80.13,12%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
100204,HCA FLORIDA NORTH FLORIDA HOSPITAL,23540,"Gainesville, FL",80.5,14%,07/01/2021,06/30/2022,,2.41938,94%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100206,HCA FLORIDA SOUTH TAMPA HOSPITAL,45300,"Tampa-St. Petersburg-Clearwater, FL",83.56,44%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
100209,HCA FLORIDA KENDALL HOSPITAL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",76.38,2%,07/01/2021,06/30/2022,,3.40151,30%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100211,ADVENTHEALTH DADE CITY,45300,"Tampa-St. Petersburg-Clearwater, FL",78.13,5%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,5,N,07/01/2021,06/30/2022,
100224,HCA FLORIDA WOODMONT HOSPITAL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",75.31,1%,07/01/2021,06/30/2022,,3.22234,42%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100228,HCA FLORIDA WESTSIDE HOSPITAL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",77.69,4%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
100230,MEMORIAL HOSPITAL PEMBROKE,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",85.94,76%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
100253,Jupiter Medical Center,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",83.5,44%,07/01/2021,06/30/2022,,2.77483,80%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100258,DELRAY MEDICAL CENTER,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",71.63,0%,07/01/2021,06/30/2022,,4.10237,6%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,*
100259,HCA FLORIDA SOUTH SHORE HOSPITAL,45300,"Tampa-St. Petersburg-Clearwater, FL",78.13,5%,07/01/2021,06/30/2022,,3.26448,39%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100260,HCA FLORIDA ST LUCIE HOSPITAL,38940,"Port St. Lucie, FL",82.75,34%,07/01/2021,06/30/2022,,3.04184,56%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100264,HCA FLORIDA OAK HILL HOSPITAL,45300,"Tampa-St. Petersburg-Clearwater, FL",80.38,14%,07/01/2021,06/30/2022,,3.50832,24%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,*
100268,WEST BOCA MEDICAL CENTER,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",75.31,1%,07/01/2021,06/30/2022,,3.46296,27%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,*
100269,HCA FLORIDA PALMS WEST HOSPITAL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",77.69,4%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
100275,WELLINGTON REGIONAL MEDICAL CENTER,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",75.69,2%,07/01/2021,06/30/2022,,2.98467,61%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
100276,BROWARD HEALTH CORAL SPRINGS,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",79.81,11%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
